frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 207.0007 134.0022 557.9949 122.0012 562.0027 485.0092 198.9944 485.9928
frame00002.jpg 206.9468 134.5056 557.9513 121.9893 562.7339 484.9492 199.7426 486.0564
frame00003.jpg 206.7172 136.3556 557.6222 121.8158 563.5117 484.0848 200.3722 486.7005
frame00004.jpg 206.1037 136.7816 557.9271 121.5655 563.4001 483.8418 200.5525 487.9390
frame00005.jpg 205.9433 139.5755 557.0367 120.9338 564.2214 486.0509 200.9504 489.6553
frame00006.jpg 205.3596 140.3626 556.8831 119.9617 564.7283 483.4619 202.0902 491.6351
frame00007.jpg 205.5111 144.5719 555.3079 120.1291 564.8451 484.8035 202.8775 493.5178
frame00008.jpg 204.9082 144.2019 555.5511 119.4904 566.8346 483.3909 204.5557 494.8727
frame00009.jpg 205.2666 148.4968 554.3498 119.0079 566.7162 482.9324 204.8434 497.6468
frame00010.jpg 203.6240 148.8372 553.5442 118.4469 568.3277 481.7633 206.5268 499.7097
frame00011.jpg 203.2478 153.7602 552.6042 118.4374 569.2110 484.1798 206.7314 503.7791
frame00012.jpg 202.0113 154.5400 552.4733 117.7225 568.5873 481.6850 208.7579 505.6265
frame00013.jpg 201.4330 159.0976 550.1742 118.8945 572.2804 480.3331 209.7154 510.0778
frame00014.jpg 201.0426 163.4517 549.0947 118.8097 572.3295 481.0613 211.0288 513.2217
frame00015.jpg 200.3522 167.3802 547.9549 118.5328 572.9532 480.4376 212.6768 517.2088
frame00016.jpg 199.6947 171.9972 546.2391 118.6441 575.4480 479.8139 214.2015 521.3520
frame00017.jpg 198.6391 176.5038 545.8364 118.5193 578.0145 478.2044 216.7523 525.8673
frame00018.jpg 198.0699 181.1830 543.8582 118.7410 579.8392 476.9775 218.7335 530.8747
frame00019.jpg 197.6775 186.8435 542.8378 119.7832 581.6850 477.9428 221.5343 534.8711
frame00020.jpg 197.5629 192.3622 541.5028 120.4417 584.1798 476.0717 222.9617 540.8555
frame00021.jpg 197.0542 197.8435 540.8392 119.2899 585.4272 477.3191 226.6173 546.0621
frame00022.jpg 197.2932 204.3135 539.9591 118.9312 587.9220 476.0717 230.0802 551.2580
frame00023.jpg 196.7617 209.6465 538.9380 118.6430 591.1912 474.1407 233.0401 557.1547
frame00024.jpg 197.1363 216.2246 538.1738 118.3556 594.2391 474.1944 236.9993 562.0341
