frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 161.0016 63.9962 599.9988 76.0037 587.0003 542.9974 154.9991 528.0057
frame00002.jpg 161.0886 64.0207 599.9577 76.1140 586.7700 542.9432 154.9384 528.1480
frame00003.jpg 160.8862 63.9424 600.0226 76.1370 586.6746 544.0551 154.9869 528.3091
frame00004.jpg 161.0402 64.2090 600.1114 76.2199 586.9225 542.9126 155.2464 528.1169
frame00005.jpg 161.1871 64.2527 600.3367 76.1730 586.8607 542.7947 155.4584 528.0306
frame00006.jpg 161.5607 64.6088 600.3346 76.2975 586.9280 542.6860 155.9947 527.9891
frame00007.jpg 161.9763 64.6753 600.6300 76.6630 587.9220 543.4314 156.1290 527.9230
frame00008.jpg 162.3977 64.8184 600.8999 76.5633 588.5457 544.0551 156.6403 527.8764
frame00009.jpg 162.6503 64.9501 601.1840 76.7904 589.1694 545.9262 156.9527 527.8487
frame00010.jpg 163.0285 65.0054 601.5758 76.5870 589.7931 545.3025 157.2539 527.9648
frame00011.jpg 163.2423 64.8316 601.7959 76.6572 588.4942 542.9204 157.3570 527.8907
frame00012.jpg 163.2540 64.6173 601.9564 76.4624 590.4168 545.9262 157.3483 528.3571
frame00013.jpg 163.3209 64.8146 602.3459 76.3954 589.7931 544.0551 157.4261 528.1129
frame00014.jpg 163.2656 64.6535 602.4654 76.1964 590.4168 544.0551 157.5285 528.2910
frame00015.jpg 163.2845 64.7537 602.3494 76.1399 588.5457 544.6788 157.5415 528.4289
frame00016.jpg 163.3495 64.7921 602.3358 76.0437 589.3180 543.4531 157.4670 528.6992
frame00017.jpg 163.3554 65.0623 602.6613 76.1963 588.5457 545.9262 157.6971 528.1431
frame00018.jpg 163.5248 65.3159 602.4530 76.1873 589.1719 543.1641 157.8639 528.3676
frame00019.jpg 163.4355 65.1989 602.4160 76.2578 589.3377 543.1828 157.9353 528.6599
frame00020.jpg 163.6032 65.2210 602.4170 76.5039 590.4168 545.9262 158.0902 528.7449
frame00021.jpg 163.8073 65.4979 602.5427 76.5548 591.0405 545.9262 158.3075 528.6299
frame00022.jpg 163.9879 65.7270 602.6603 76.5283 591.0405 545.9262 158.4128 528.9113
frame00023.jpg 164.1747 65.9450 602.6502 76.5318 591.0405 545.9262 158.6604 529.0855
