frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 241.0000 167.0000 430.0000 172.0000 426.0000 440.0000 245.0000 437.0000 
frame00002.jpg 241.3370 167.6225 431.4243 172.9254 427.5058 442.0649 245.5407 438.2841 
frame00003.jpg 242.0328 167.6080 432.0640 172.9356 427.9862 442.1554 246.0671 438.2377 
frame00004.jpg 242.4606 167.7130 432.5483 173.2319 428.5305 442.6023 246.6540 438.7232 
frame00005.jpg 242.8802 167.8623 433.1215 173.4294 428.9612 443.0526 246.8933 438.9996 
frame00006.jpg 243.1881 168.2935 433.5775 173.7365 429.3355 443.5409 247.1463 439.3598 
frame00007.jpg 243.8748 169.5081 433.7829 174.7652 429.8439 444.1984 247.6700 439.7625 
frame00008.jpg 243.9126 169.6930 434.1093 174.8387 429.8099 444.7857 247.7125 440.0683 
frame00009.jpg 243.8199 169.7960 434.1669 174.9488 429.6774 444.5427 247.7701 440.1208 
frame00010.jpg 243.9918 170.2086 434.2344 175.3367 429.6878 445.1467 247.8703 440.3912 
frame00011.jpg 243.9406 170.5175 434.0063 175.6274 429.6268 445.1579 247.8761 440.5814 
frame00012.jpg 244.0531 171.1322 433.9978 176.1886 429.6930 445.9468 247.9253 440.8197 
frame00013.jpg 244.2291 172.6559 434.2478 177.6653 429.7471 446.6889 248.2918 441.5459 
frame00014.jpg 244.7809 174.0054 434.4004 179.2801 429.9305 447.6606 248.9644 442.7699 
frame00015.jpg 245.2520 175.5154 434.7018 180.8688 430.1195 448.8271 249.2681 443.9977 
frame00016.jpg 245.8589 176.8695 434.8255 182.0366 430.6422 449.8969 249.6684 444.8914 
frame00017.jpg 246.5235 177.3947 435.3376 182.9191 431.1463 450.7101 250.4121 445.7996 
frame00018.jpg 247.4342 178.4817 436.0140 183.6238 431.9431 451.6339 251.0784 446.3299 
frame00019.jpg 248.0888 179.0695 436.8329 184.3579 432.6696 452.3790 252.0076 447.0009 
frame00020.jpg 248.7941 179.2798 437.6853 184.5999 433.3123 452.8828 252.6256 447.7110 
frame00021.jpg 249.4585 179.5887 438.2818 185.0145 434.0234 453.4276 253.2373 448.3128 
frame00022.jpg 250.1938 179.8015 439.1531 185.2269 434.9037 453.6024 253.9919 448.7046 
frame00023.jpg 251.0586 180.0112 440.3862 185.1367 435.8260 453.3684 254.9160 448.1389 
frame00024.jpg 252.0728 179.9661 440.6889 185.4656 436.7173 453.0055 255.8241 448.6721 
frame00025.jpg 253.1280 179.7394 442.7261 184.8232 438.2308 452.3803 257.2309 447.3982 
frame00026.jpg 255.4802 179.7941 444.1415 184.3413 439.2859 451.8641 259.1352 446.3195 
frame00027.jpg 256.7188 178.6067 445.4908 183.6028 441.0629 450.3977 260.3459 444.8309 
frame00028.jpg 258.9225 178.0551 447.1729 182.5368 442.4087 449.1765 262.8221 443.2480 
frame00029.jpg 261.2658 178.1751 448.7249 182.7531 444.2077 448.8431 265.0233 443.4895 
frame00030.jpg 264.5972 180.6683 450.9356 185.6682 446.1763 449.6169 268.7264 444.2324 
frame00031.jpg 269.5737 187.0341 452.8010 192.1214 448.3818 452.7500 273.1173 447.1292 
frame00032.jpg 274.7321 197.0575 454.5317 201.8570 449.7982 457.3774 278.1291 451.7912 
frame00033.jpg 279.8218 207.9427 454.8189 212.6100 450.1862 461.8424 282.2178 455.7919 
frame00034.jpg 282.9498 216.0581 454.4734 220.9980 449.8694 462.9870 286.1231 457.4647 
frame00035.jpg 287.7772 223.9218 454.3416 228.4681 449.6180 463.7584 290.4591 457.8442 
frame00036.jpg 292.4296 230.2072 454.0865 235.5368 449.4725 462.9997 294.8663 457.2975 
frame00037.jpg 297.3514 236.3314 454.6823 241.3843 449.9118 462.1403 299.5579 456.2687 
frame00038.jpg 302.2165 242.8787 454.6777 248.1619 449.8739 461.1210 304.4600 455.6856 
frame00039.jpg 308.1174 248.8847 455.5005 253.4903 450.6426 459.9969 309.5960 453.7795 
frame00040.jpg 313.3648 252.9592 456.1684 257.7873 451.2690 457.0904 314.7328 450.8812 
frame00041.jpg 318.4282 254.8847 457.1581 259.5132 451.8005 452.0170 319.6974 445.7443 
frame00042.jpg 322.9951 253.9743 457.4885 258.8509 452.0606 444.7427 323.9262 438.7222 
frame00043.jpg 327.0494 250.9961 457.4527 256.1298 452.0936 436.1855 327.7869 430.4515 
frame00044.jpg 330.6983 247.1878 457.2077 251.9458 451.5323 426.6238 331.1032 420.5221 
frame00045.jpg 333.0515 241.8126 456.7264 246.7465 450.2390 416.4166 333.7319 410.6551 
frame00046.jpg 334.0974 236.0862 453.9740 241.0874 447.6932 405.6082 334.3493 400.2353 
frame00047.jpg 333.9099 230.1196 450.8374 235.1741 444.4291 395.4035 334.0556 389.9862 
frame00048.jpg 332.7061 225.3392 446.6150 230.2042 439.9545 386.2517 332.7237 381.1070 
frame00049.jpg 330.6031 221.8916 441.1171 226.7032 434.7456 378.3588 330.4543 373.6125 
frame00050.jpg 327.5779 220.2539 435.2151 224.9823 429.0378 372.6089 327.3415 367.8233 
frame00051.jpg 324.1768 220.6577 428.6682 225.4169 422.9117 368.3745 324.0831 364.3567 
frame00052.jpg 320.2920 221.8088 422.4450 226.1177 416.8173 365.7385 320.1235 361.9464 
frame00053.jpg 316.6763 222.7370 416.8839 227.1370 411.1352 363.5063 316.6218 359.9564 
frame00054.jpg 312.6765 226.3094 410.3308 230.5773 404.7890 363.0941 312.5002 360.2813 
frame00055.jpg 309.0025 230.3839 404.2899 234.3844 399.0054 363.6431 308.8315 361.2896 
frame00056.jpg 305.6769 234.8725 399.1270 238.4484 394.0043 364.7787 305.5870 362.9778 
frame00057.jpg 302.0698 239.4121 393.3493 242.6178 388.2220 365.5041 302.0613 364.4214 
frame00058.jpg 299.3288 243.5511 388.4792 246.1839 383.5844 366.0452 299.0251 365.4627 
frame00059.jpg 296.7408 245.7296 384.4213 247.7517 379.3945 365.1896 296.8336 365.2031 
frame00060.jpg 295.7798 247.8907 381.5566 249.3334 376.6953 364.0934 296.0056 364.9112 
frame00061.jpg 296.4134 249.4781 380.1978 250.3070 375.4799 362.4455 296.8786 363.9502 
frame00062.jpg 299.0041 250.7927 380.6443 251.0422 376.1216 360.3613 299.5305 362.7122 
frame00063.jpg 302.6427 251.5431 382.2570 251.0136 377.7298 357.7851 303.2246 360.6565 
frame00064.jpg 306.7541 250.7249 384.4624 249.6930 379.7268 353.9976 307.2064 357.7324 
frame00065.jpg 310.8909 249.4808 386.6794 248.0251 382.1927 349.8791 311.6664 354.2858 
frame00066.jpg 315.8737 247.2222 390.0865 244.9761 385.3885 344.9039 317.0776 350.0544 
frame00067.jpg 322.2207 244.3387 394.2407 241.6328 389.6464 339.2270 323.6883 345.2148 
frame00068.jpg 329.3817 241.9816 399.1485 238.4453 394.7180 334.0704 331.1387 340.4395 
frame00069.jpg 337.0007 239.7303 404.4321 235.5431 400.1634 328.7561 338.8327 335.4643 
frame00070.jpg 344.3889 236.4108 409.6567 231.9322 405.6382 323.1743 346.3160 330.2391 
frame00071.jpg 351.2899 232.7170 414.3120 227.8407 410.5208 317.0029 353.3119 324.8958 
frame00072.jpg 357.5540 230.0601 418.7100 224.5327 414.9628 311.7051 359.7129 319.8026 
frame00073.jpg 362.1549 228.8002 421.1620 223.0862 417.7572 308.1016 364.3394 316.6051 
frame00074.jpg 365.3367 228.3976 422.6100 222.2406 419.2069 305.4188 367.7733 314.5067 
frame00075.jpg 367.7214 228.9496 423.3638 222.3886 420.3854 303.9118 370.2490 313.1132 
frame00076.jpg 369.2110 230.7490 423.3799 223.6165 420.5881 303.6024 371.9359 313.2530 
frame00077.jpg 370.2185 233.5822 422.9247 226.3122 420.5751 304.3836 373.0341 314.6069 
frame00078.jpg 370.8984 236.5702 422.2193 228.9919 420.1980 305.7835 373.6386 316.4715 
frame00079.jpg 371.3801 240.0694 421.8208 231.6668 420.0421 307.5798 374.3352 317.9422 
frame00080.jpg 371.9142 242.4670 421.3838 234.3736 420.2457 309.1699 374.8589 320.3130 
frame00081.jpg 372.3206 245.0617 421.5597 236.4940 420.3736 310.5046 375.5991 321.3362 
frame00082.jpg 373.0229 246.6118 421.8569 237.7003 420.8868 311.1655 376.4028 322.2176 
frame00083.jpg 374.2757 247.0420 422.9679 238.0814 421.8912 311.2880 377.8391 322.0475 
frame00084.jpg 375.8758 247.1700 424.2996 238.1901 423.3621 311.1998 379.3919 321.5486 
frame00085.jpg 377.3817 247.6278 425.8880 238.8396 425.0973 311.5665 380.8394 322.1491 
frame00086.jpg 378.5946 248.3734 427.5769 239.4773 426.6623 312.5158 382.1864 322.9628 
frame00087.jpg 379.9913 249.4045 429.2993 240.5746 428.5203 313.9515 383.4665 324.1433 
frame00088.jpg 381.5573 250.5789 431.2625 241.9018 430.5464 315.7002 384.8901 325.4637 
frame00089.jpg 382.6497 250.6664 433.3279 242.4414 432.3929 317.0842 386.0696 326.6590 
frame00090.jpg 383.9360 250.8386 435.4182 242.5224 434.3037 318.0334 387.1664 327.5105 
frame00091.jpg 384.6516 250.3422 437.0629 242.6090 435.9531 318.8423 387.6539 327.9193 
frame00092.jpg 384.5645 249.7999 438.3004 242.2656 436.9246 320.0780 387.4464 328.7899 
frame00093.jpg 383.3768 249.6634 438.2706 242.7106 436.8190 321.7148 385.8397 330.1006 
frame00094.jpg 380.4866 248.7432 437.4577 242.0131 435.6139 323.1765 383.1671 331.2825 
frame00095.jpg 376.4575 247.1183 435.3571 240.7380 433.2311 323.8161 379.1568 331.4572 
frame00096.jpg 371.2022 245.7885 431.9765 240.1147 429.5419 325.1375 373.4550 332.1699 
frame00097.jpg 364.6674 243.6080 427.5739 238.6556 424.8098 326.0654 366.7378 332.3992 
frame00098.jpg 357.2624 241.5318 422.0855 237.1948 419.2856 327.1527 358.9746 332.9054 
frame00099.jpg 347.5006 239.5111 415.0884 235.7283 411.6947 328.5956 349.2999 333.6859 
frame00100.jpg 336.6639 238.6418 406.3637 235.3818 403.0053 330.8343 338.4047 335.1380 
frame00101.jpg 325.4114 237.6709 397.3551 235.7506 393.6159 333.5658 326.9153 336.7031 
frame00102.jpg 314.5128 238.0138 388.6072 236.9033 384.6761 337.2153 316.2338 339.7434 
frame00103.jpg 304.5369 240.2744 380.3911 239.7502 376.5994 342.2764 306.4882 343.7037 
frame00104.jpg 296.9427 241.6712 373.4951 242.4004 369.9136 345.9008 298.9095 346.2700 
frame00105.jpg 291.5468 242.2101 368.7818 243.5747 365.4365 348.4321 293.5324 347.5247 
frame00106.jpg 288.4812 241.1940 365.9454 243.5557 362.9670 349.4694 290.3592 347.2968 
frame00107.jpg 287.0217 239.1008 365.4241 242.0234 362.2220 349.8697 289.1993 346.1661 
frame00108.jpg 286.8055 235.3134 365.9363 239.4565 362.7819 348.3861 288.8904 343.7062 
frame00109.jpg 287.5490 230.7771 367.4807 235.7351 364.2695 346.5042 289.7047 340.5839 
frame00110.jpg 287.3280 225.6232 368.2109 231.5560 365.0441 344.3169 289.5974 337.1525 
frame00111.jpg 286.1842 219.9033 368.1808 227.0568 364.7693 341.9235 288.2635 333.7054 
frame00112.jpg 283.5945 213.2591 366.9669 221.1505 363.2778 338.5223 285.8638 329.1785 
frame00113.jpg 281.0072 206.3874 365.0547 215.2143 361.6292 334.7650 283.3818 324.5205 
frame00114.jpg 277.6506 199.0782 362.9934 208.7440 359.3979 330.6271 280.1227 319.2538 
frame00115.jpg 274.2311 192.0965 360.8205 202.6673 357.2534 327.0927 277.0311 314.7749 
frame00116.jpg 271.1357 185.9352 358.7032 197.3606 355.0627 323.9555 274.0009 310.7231 
frame00117.jpg 268.8967 180.8389 356.4018 193.1596 353.2662 321.7180 271.6060 307.2933 
frame00118.jpg 266.5283 175.4759 354.7040 188.2245 351.4647 319.1422 269.1193 303.6463 
frame00119.jpg 263.9226 170.9139 352.8153 184.3144 349.6784 317.7882 266.4261 301.2837 
frame00120.jpg 261.3703 167.4492 350.9707 181.5254 347.9898 317.6132 263.6826 300.0311 
frame00121.jpg 258.8322 163.1436 350.1674 178.2583 347.3374 318.0605 261.5427 299.1474 
frame00122.jpg 258.4277 159.7325 351.6151 175.8178 348.6119 319.5678 261.2877 299.2915 
frame00123.jpg 258.3675 158.1030 353.4471 175.4585 350.0348 323.0876 260.9657 301.5052 
frame00124.jpg 259.2012 157.9189 356.2932 176.3358 352.7363 328.1164 261.8651 304.8299 
frame00125.jpg 261.7423 156.1381 360.8754 175.9219 357.2207 332.3449 264.2744 307.2888 
frame00126.jpg 266.6090 155.5963 367.9458 176.8685 363.6983 337.4199 268.9685 310.5040 
frame00127.jpg 273.7298 158.3995 377.1579 180.9816 372.0173 345.3147 275.3694 316.1642 
frame00128.jpg 281.2744 162.3310 386.2054 186.5152 380.2735 354.1406 282.1524 323.0209 
frame00129.jpg 288.7917 166.5581 394.8945 192.1382 388.0122 362.3589 288.7975 329.0665 
frame00130.jpg 295.8826 169.3672 403.1493 196.9134 395.1953 369.2465 294.9433 333.8461 
frame00131.jpg 301.5389 170.2209 410.2004 199.1508 401.0110 375.2690 299.5826 337.4753 
