frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 234.0000 101.0000 495.0000 99.0000 494.0000 540.0000 242.0000 539.0000 
frame00002.jpg 237.1290 102.6004 498.3317 98.6945 496.1892 540.0929 244.8890 537.4519 
frame00003.jpg 238.3124 102.4756 499.6935 98.7347 496.8706 539.7671 245.7905 536.8864 
frame00004.jpg 240.3592 102.5555 501.0321 99.0899 497.6185 539.7554 247.0477 536.2301 
frame00005.jpg 241.5004 102.5520 502.2389 99.4178 498.4033 538.8155 248.6391 535.1832 
frame00006.jpg 242.9524 102.1045 503.5252 98.6141 499.2909 538.0857 249.6207 534.0564 
frame00007.jpg 244.2982 101.2882 504.4255 98.4094 500.0427 536.8426 250.6543 532.6765 
frame00008.jpg 245.6926 99.9885 505.7347 97.0199 500.8088 535.1573 251.9837 530.6642 
frame00009.jpg 247.0550 98.3094 506.8380 95.9378 501.6720 533.4183 252.9936 528.8062 
frame00010.jpg 248.6147 96.2951 507.8878 94.6822 502.5585 531.1345 254.1518 526.3372 
frame00011.jpg 249.9117 94.2034 508.7324 92.0032 503.6309 528.3545 255.7620 523.4762 
frame00012.jpg 251.7834 91.3972 510.0883 89.5862 504.2177 524.7508 256.9915 519.7967 
frame00013.jpg 252.7574 87.2517 511.3843 85.6987 505.1655 519.5523 259.1464 514.3540 
frame00014.jpg 254.8894 81.9031 512.9315 81.3184 506.0240 513.8018 260.8234 509.1795 
frame00015.jpg 256.9022 75.9186 514.2293 75.5123 507.2246 507.5452 263.0089 503.5115 
frame00016.jpg 258.7944 69.4296 516.3416 69.7071 509.1692 500.1993 265.3886 496.5201 
frame00017.jpg 260.9080 62.3744 519.0498 63.6425 511.0632 491.9014 267.9261 488.6610 
frame00018.jpg 263.3982 54.4783 521.6887 55.5647 513.1142 484.7160 270.9612 481.4927 
frame00019.jpg 265.8724 47.9432 523.9508 49.6730 514.2995 477.5013 273.3179 474.4885 
frame00020.jpg 268.1067 45.2789 525.3015 46.4202 515.5141 474.8082 275.5539 471.3943 
frame00021.jpg 269.1657 44.3024 527.6454 45.0149 516.0651 475.6894 276.6832 472.1016 
frame00022.jpg 268.2772 48.6224 529.1233 51.4817 516.9279 481.5772 276.0047 477.9135 
frame00023.jpg 267.1352 56.8642 530.6723 59.4666 517.2184 491.1884 275.4303 487.7764 
frame00024.jpg 267.0446 69.6624 529.4845 73.2158 515.6853 502.9533 275.6629 500.1727 
frame00025.jpg 266.0751 84.9499 530.7814 88.0387 515.7960 518.0359 274.7664 514.3402 
frame00026.jpg 265.2937 101.8618 528.6156 106.8848 512.7487 532.4775 273.1656 529.4501 
frame00027.jpg 263.1018 117.8422 526.9766 123.2480 510.7630 544.0907 272.7425 541.1945 
frame00028.jpg 262.3085 133.9022 525.4159 140.2901 508.1580 554.7694 271.9879 552.0824 
frame00029.jpg 263.6143 151.6928 523.9782 158.0443 506.5942 563.2979 273.6415 560.6035 
frame00030.jpg 266.3336 168.2310 525.1287 174.1942 506.6563 570.6269 275.9825 567.3795 
frame00031.jpg 270.9811 183.3460 525.9875 189.0965 506.5883 575.7736 280.5560 572.0316 
frame00032.jpg 276.5993 197.5307 527.0494 203.4483 506.3534 578.7983 285.2898 574.7735 
frame00033.jpg 282.1207 209.5601 527.7319 215.8889 506.8614 580.7746 290.7874 576.3594 
frame00034.jpg 287.9749 219.7337 529.7875 227.0333 507.6987 580.5773 295.8718 576.1758 
frame00035.jpg 294.0908 227.2876 531.1653 231.5811 508.1318 578.1336 301.0625 574.1443 
frame00036.jpg 299.8965 234.5598 533.0364 240.9366 508.7218 575.8388 305.6981 571.1130 
frame00037.jpg 305.3888 241.1530 531.7890 245.9262 507.2071 571.7315 309.7128 567.2438 
frame00038.jpg 309.1246 246.7675 529.2942 252.1632 505.0479 567.1001 312.0671 562.4588 
frame00039.jpg 311.4798 250.9809 526.7994 256.5291 501.5167 561.4784 313.4369 557.6887 
frame00040.jpg 312.6461 255.1440 521.1861 262.7661 497.1858 555.4413 314.2050 551.4903 
frame00041.jpg 312.4545 258.9461 516.8202 265.8846 492.9536 550.0331 313.6530 546.3689 
frame00042.jpg 312.3170 261.9445 511.8306 269.6268 487.6620 543.8576 313.5315 541.0947 
frame00043.jpg 312.0522 265.1494 506.2173 270.8742 483.5876 538.2500 313.0095 535.6261 
frame00044.jpg 312.4886 268.0737 499.9802 275.2401 478.6275 532.8380 312.6162 530.9552 
frame00045.jpg 312.1708 270.5255 496.8617 275.2401 475.0258 527.1277 312.4883 525.7498 
frame00046.jpg 312.7640 272.1060 493.1195 277.1112 471.1498 521.6893 312.3293 520.4112 
frame00047.jpg 312.6339 273.1097 488.1299 278.9823 467.7746 515.4827 312.1895 515.2361 
frame00048.jpg 313.0932 273.3512 485.0114 276.4875 464.4970 509.1779 312.7258 509.5072 
frame00049.jpg 313.4215 272.4648 480.6455 276.4875 461.7642 501.9348 313.0283 503.4906 
frame00050.jpg 314.0869 271.3186 480.5605 275.2581 459.5228 494.6129 313.8046 497.4951 
frame00051.jpg 315.6228 268.0622 476.2796 270.2505 457.4146 485.9564 315.4170 490.8270 
frame00052.jpg 317.7852 264.4640 476.4451 267.2948 456.2304 477.9868 317.4631 483.3296 
frame00053.jpg 319.5699 259.3189 474.4085 260.2713 456.3097 468.6069 319.3900 475.1478 
frame00054.jpg 321.2830 253.1086 473.1611 251.5395 455.7293 458.3426 320.6325 466.0692 
frame00055.jpg 323.5579 245.7332 475.0322 243.4314 455.7219 448.3349 322.7625 457.0861 
frame00056.jpg 324.8370 240.8624 473.1611 238.4418 455.3603 439.8264 324.5014 449.6387 
frame00057.jpg 325.7098 235.9382 472.2866 235.3600 454.5018 432.1890 324.7586 443.0421 
frame00058.jpg 326.3152 232.6295 468.7952 227.2152 453.5107 425.3534 325.0432 436.9347 
frame00059.jpg 328.7318 232.1324 466.9241 226.5915 452.3393 420.3789 327.7293 432.0949 
frame00060.jpg 330.1562 232.3771 468.1715 226.5915 452.1015 416.6061 328.7152 430.1185 
frame00061.jpg 331.1393 232.6276 465.0530 227.8389 451.0104 414.1453 329.7164 427.7737 
