frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 222.9200 165.5500 617.2100 152.0800 629.1900 433.0300 234.9700 446.5400
frame00002.jpg 223.0500 165.4900 617.2600 151.9600 629.2100 432.7000 235.1000 446.4900
frame00003.jpg 223.3600 165.4000 617.3500 152.0300 629.2200 432.5700 235.1800 446.3800
frame00004.jpg 223.6800 165.2100 617.4900 151.9200 629.3000 432.3700 235.3300 446.2300
frame00005.jpg 223.7700 165.0900 617.5700 151.6000 629.4300 432.0300 235.6700 446.1100
frame00006.jpg 223.9600 165.0700 617.6500 151.4700 629.6500 431.8000 235.8300 445.9500
frame00007.jpg 224.1100 165.0800 617.6100 151.3000 629.8100 431.6400 235.9600 446.0500
frame00008.jpg 224.3300 165.1200 618.0000 151.6300 629.9000 431.9500 236.0600 446.1500
frame00009.jpg 224.8300 165.2300 618.5400 152.3400 629.9800 432.5500 236.2300 446.0800
frame00010.jpg 225.2700 165.2900 618.9000 152.8100 630.1800 433.0600 236.3000 446.2800
frame00011.jpg 225.6000 165.3300 619.3000 153.1300 630.4300 433.5000 236.5200 446.2600
frame00012.jpg 225.8600 165.4300 619.6500 153.2300 630.7400 433.6900 236.7200 446.3400
frame00013.jpg 226.1300 165.6400 620.0800 153.3000 631.1000 433.9000 237.1800 446.3700
frame00014.jpg 226.2800 165.8000 620.3100 153.6300 631.3600 434.1200 237.3000 446.6500
frame00015.jpg 226.4500 165.9500 620.5400 153.8300 631.5500 434.4000 237.5000 446.8400
frame00016.jpg 226.4900 166.0000 620.6600 153.8400 631.6700 434.5700 237.5300 446.9900
frame00017.jpg 226.6100 166.0300 620.7300 153.8400 631.8400 434.5800 237.5400 447.0200
frame00018.jpg 226.7200 165.8400 620.8400 153.8600 631.9100 434.7300 237.6100 447.0200
frame00019.jpg 227.3000 165.6500 621.1200 154.4200 631.8400 435.5400 237.2700 446.9900
frame00020.jpg 227.9800 165.4600 621.6200 155.4100 631.6400 436.8500 236.8300 446.8800
frame00021.jpg 228.6800 165.3000 622.3400 156.3100 631.6700 438.0700 236.7700 446.8600
frame00022.jpg 229.1400 165.3900 622.8500 157.1300 631.6700 438.8900 236.7000 446.9500
frame00023.jpg 229.2300 165.4800 623.0900 157.5400 631.7600 439.4500 236.6700 447.1100
frame00024.jpg 229.5700 165.3100 623.4100 157.9000 631.7100 440.2600 236.3800 447.1500
frame00025.jpg 230.5000 164.8000 624.2100 159.2500 631.4300 441.9000 235.7600 446.8300
frame00026.jpg 232.0100 163.9000 625.4600 161.0300 631.0400 444.2500 235.0100 446.2300
frame00027.jpg 234.0900 162.6900 627.0800 162.9500 630.8200 447.1000 234.2800 445.3900
frame00028.jpg 236.4900 161.5900 629.0800 165.1000 630.6800 450.1800 233.8000 444.5100
frame00029.jpg 238.5200 160.7800 630.7600 166.8500 630.7800 452.7200 233.6000 443.8100
frame00030.jpg 239.6800 160.2800 631.9000 167.4100 631.1200 454.0300 233.6900 443.3400
frame00031.jpg 239.8600 159.9300 632.2800 167.2000 631.4800 454.1300 233.8800 443.0800
frame00032.jpg 239.9100 159.7700 632.5400 166.8200 631.8500 454.1500 234.1800 442.9600
frame00033.jpg 240.2300 159.5600 633.0600 167.2000 631.9900 454.6100 234.0700 442.9200
frame00034.jpg 241.0200 159.5000 633.9600 168.1900 632.0600 455.4900 233.9600 442.8800
frame00035.jpg 241.8200 159.2200 634.9300 169.1700 632.0500 456.6200 233.7700 442.9200
frame00036.jpg 243.0600 158.9800 636.0300 170.1600 632.2900 457.8800 233.7100 442.9200
frame00037.jpg 244.1900 158.7900 637.2300 171.4600 632.6700 459.2500 233.7300 442.9200
frame00038.jpg 245.6000 158.4800 638.8100 172.8100 632.9300 460.8700 233.8400 442.7500
frame00039.jpg 247.4400 158.0000 640.5000 174.3200 633.2000 462.7200 233.8300 442.4500
frame00040.jpg 249.4800 157.1000 642.2500 175.5900 633.6000 464.7500 233.7100 441.8300
frame00041.jpg 251.9400 156.1700 644.4400 177.0900 634.0300 466.8200 233.8600 441.0500
frame00042.jpg 254.8600 155.1200 647.0800 179.2900 634.3200 469.5300 233.8700 440.0100
frame00043.jpg 257.9500 154.1700 649.9400 181.6800 634.6300 472.4300 233.9200 439.1100
frame00044.jpg 261.1200 153.0300 652.7700 184.1300 634.9600 475.3800 233.9700 438.1700
frame00045.jpg 264.3000 152.0900 655.6000 186.1500 635.5700 477.9500 234.3100 437.2500
frame00046.jpg 267.0100 151.4400 658.1000 187.6000 636.4800 479.9900 234.8000 436.6600
frame00047.jpg 268.9900 150.9900 660.1600 188.6100 637.3700 481.4600 235.4000 436.3100
frame00048.jpg 270.6400 150.6700 662.1900 189.0900 638.6500 482.3700 236.3600 436.2400
frame00049.jpg 271.8500 150.4900 663.8200 189.5200 639.8200 483.0700 237.1100 436.3500
frame00050.jpg 273.1000 150.2400 665.3600 190.3500 640.6500 483.9400 237.5800 436.3400
frame00051.jpg 274.6900 149.9600 666.8600 191.7300 640.9000 485.3900 237.5900 436.0900
frame00052.jpg 276.5900 149.4800 668.2400 193.4900 640.7700 487.1100 237.1600 435.5800
frame00053.jpg 279.2100 148.8600 670.2000 195.4600 640.8700 489.1900 237.2400 434.8100
frame00054.jpg 282.1000 148.6700 672.3500 198.1400 640.8800 491.8600 237.1600 434.2500
frame00055.jpg 284.4700 148.7900 674.2300 201.0100 640.6700 494.7800 237.0300 434.0800
frame00056.jpg 286.5800 149.0500 675.9700 203.4300 640.8000 497.2900 237.1700 434.2100
frame00057.jpg 288.2000 149.6200 677.2900 205.1300 641.3600 498.9600 237.5700 434.7000
frame00058.jpg 289.3400 149.9900 678.4600 206.4700 641.7900 500.4600 237.7900 435.0600
frame00059.jpg 290.8900 150.2000 679.6900 208.0600 642.0000 502.0500 237.9000 435.1300
frame00060.jpg 292.3400 150.1000 680.6100 209.9000 641.6100 503.5300 237.5400 434.7800
frame00061.jpg 293.7900 149.8300 681.4300 211.2800 641.2600 504.7100 237.0500 434.1900
frame00062.jpg 295.4700 149.3900 682.4500 212.0300 641.4700 505.2100 237.2300 433.4300
frame00063.jpg 296.7800 148.8600 683.0300 212.2800 641.7700 504.8600 237.4200 432.5400
frame00064.jpg 297.9100 148.2000 683.5800 212.3600 641.9600 504.5300 237.5400 431.6500
frame00065.jpg 298.6600 147.6000 683.9100 212.0600 642.3500 503.7500 237.7500 430.8700
frame00066.jpg 298.6900 147.1400 683.8800 210.6800 643.2500 502.0100 238.3000 430.3200
frame00067.jpg 298.4500 146.4200 683.5500 208.6800 644.1900 499.8500 238.8800 430.0100
frame00068.jpg 297.8400 145.8500 683.0400 206.4800 645.1500 497.4100 239.4600 429.5500
frame00069.jpg 296.0000 146.0000 681.0000 203.0000 647.0000 497.0000 236.0000 426.0000
frame00070.jpg 296.2600 144.4600 681.5900 202.5200 646.0500 493.3800 239.5200 428.6100
frame00071.jpg 295.7500 143.8900 680.9700 200.6900 646.4500 491.4500 239.5000 427.9300
frame00072.jpg 295.5700 143.2500 680.5600 199.4200 646.5600 490.1500 239.2300 427.1600
frame00073.jpg 295.7400 142.5600 680.4900 198.5400 646.6100 489.3700 239.0500 426.2700
frame00074.jpg 295.9800 141.9600 680.6400 197.9100 646.8200 488.6600 238.9600 425.5500
frame00075.jpg 296.1800 141.4700 680.7700 197.5200 647.0600 488.1500 239.0400 425.0600
frame00076.jpg 296.3800 140.9200 680.9400 197.1200 647.3800 487.5600 239.3000 424.7100
frame00077.jpg 296.2500 140.6500 680.7300 196.2900 648.0700 486.1800 239.5000 424.4800
frame00078.jpg 295.4800 140.2600 679.8800 194.6800 648.7300 484.0900 239.9100 424.4200
frame00079.jpg 294.5000 139.7700 679.0000 192.4000 649.8600 481.1400 240.8600 424.4900
frame00080.jpg 293.5300 139.4600 677.7400 190.1900 650.9300 477.8300 241.7800 424.5700
frame00081.jpg 292.8500 138.9000 676.3900 188.5800 651.5200 474.9500 242.5400 424.3500
frame00082.jpg 293.1100 138.2200 675.5200 187.7500 651.9700 472.6100 243.5200 423.8300
frame00083.jpg 293.7000 137.6800 674.6200 188.1000 651.9500 471.1400 243.9800 422.9600
frame00084.jpg 294.3700 137.0300 673.5800 188.4500 651.5300 469.7700 244.4000 421.9800
frame00085.jpg 295.0000 136.4900 672.6100 188.3400 651.6200 468.0500 245.3400 421.1400
frame00086.jpg 295.1300 136.0700 671.6500 187.4000 652.0900 465.8600 246.5000 420.6900
frame00087.jpg 294.7900 135.6100 670.2600 185.9400 652.2700 463.3400 247.5900 420.4400
frame00088.jpg 294.1000 135.2100 668.7100 184.3600 652.5100 460.7500 248.5400 420.4100
frame00089.jpg 292.7900 134.6900 666.8100 182.0200 652.6200 457.7300 249.4400 420.4100
frame00090.jpg 291.1700 134.0200 664.7000 178.9500 652.6800 453.9700 250.3900 420.4400
frame00091.jpg 289.3600 133.5600 662.5300 175.5600 653.1700 450.0900 251.3300 420.4900
frame00092.jpg 287.2000 133.0000 660.0100 171.9400 653.3600 445.9900 252.0700 420.4600
frame00093.jpg 284.8100 132.3000 657.3700 168.2400 653.1300 441.8700 252.6300 420.4600
frame00094.jpg 282.6800 131.8300 655.0800 165.0300 653.1100 438.1800 253.1400 420.5600
frame00095.jpg 280.9900 131.4800 653.0500 162.4700 653.0600 435.2600 253.6800 420.6400
frame00096.jpg 279.6100 131.0700 651.3500 160.3600 652.6600 432.7300 254.1200 420.7300
frame00097.jpg 278.9000 131.1000 650.2700 159.0700 652.9200 431.0900 254.5700 420.9200
frame00098.jpg 278.1500 131.0700 649.2000 157.8600 652.9500 429.6300 255.1800 421.2500
frame00099.jpg 277.1200 130.9300 648.1600 156.0200 652.8000 427.6700 255.8700 421.7400
frame00100.jpg 276.1300 131.1100 647.1200 154.0700 653.2600 425.5500 256.6100 422.4100
frame00101.jpg 274.9200 131.0300 645.7700 152.1300 653.2100 423.4200 257.4000 422.8800
frame00102.jpg 274.0200 130.7500 644.7100 150.3700 652.9900 421.5300 257.8900 423.0100
frame00103.jpg 273.5200 130.6700 643.8800 149.3500 653.2000 420.1800 258.2800 423.1100
frame00104.jpg 272.9800 130.2700 642.9600 148.3000 652.9200 418.9400 258.5900 423.0600
frame00105.jpg 272.4900 130.0000 642.2600 147.0100 652.8300 417.4700 259.0100 423.0300
frame00106.jpg 272.0600 130.0300 641.7000 146.0800 653.1000 416.3900 259.4200 423.1600
frame00107.jpg 271.5900 130.1900 640.9400 145.1900 653.2300 415.2300 260.2100 423.6000
frame00108.jpg 271.0000 130.7200 640.1500 143.7200 653.1700 413.6000 261.2000 424.6100
frame00109.jpg 270.4200 131.3500 639.3700 142.2500 653.0500 411.8500 262.4800 425.7600
frame00110.jpg 270.8100 131.9000 639.0700 142.1300 652.5800 411.4300 263.5800 426.9000
frame00111.jpg 272.3200 132.4100 640.1700 143.6500 652.0700 412.6900 264.3900 427.6200
frame00112.jpg 274.6300 132.8500 642.3000 145.9200 652.0900 414.8500 265.0900 428.1100
frame00113.jpg 277.0200 132.7700 645.3300 148.2800 652.0300 417.6000 265.0800 428.1400
frame00114.jpg 278.7900 132.7000 648.2900 149.1000 653.5500 419.1000 265.4100 427.7200
frame00115.jpg 279.8100 132.2200 651.3800 148.3000 655.4700 419.2500 266.2200 427.1000
frame00116.jpg 280.9300 131.7400 654.9800 147.2100 656.9900 419.1900 267.0400 426.5100
