frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 234.9400 217.0900 584.4200 179.7400 630.2800 460.7900 280.8000 498.2000
frame00002.jpg 237.2700 215.7100 587.5600 180.6500 629.7600 463.4900 279.5500 497.3900
frame00003.jpg 244.6700 210.7700 596.7800 180.8600 628.4000 468.0200 275.8200 492.6800
frame00004.jpg 252.9700 207.4500 608.0500 180.2500 628.6000 477.6500 276.1900 494.0300
frame00005.jpg 259.9300 202.5000 617.9200 179.9800 629.4700 484.1400 276.3100 492.4900
frame00006.jpg 265.6800 197.4400 625.9800 180.4900 629.6400 489.6900 276.8000 490.4000
frame00007.jpg 270.2500 192.1400 633.2400 180.4500 629.2900 494.8500 276.6200 488.2400
frame00008.jpg 269.4800 190.6500 634.1600 181.0000 628.0100 497.4800 274.4500 488.6100
frame00009.jpg 266.9200 188.5700 629.9800 178.3000 627.6300 486.6500 267.7600 480.1800
frame00010.jpg 265.0600 182.6900 626.5800 171.5100 630.8700 468.2100 262.4700 465.3500
frame00011.jpg 265.2800 177.6400 625.9000 160.0100 640.2100 448.7800 268.6400 454.5500
frame00012.jpg 266.6000 174.8900 625.7400 150.8900 650.9900 429.7200 275.8900 445.0700
frame00013.jpg 267.1700 174.6600 626.2600 149.7900 653.6700 427.3400 278.1000 444.3900
frame00014.jpg 266.5300 177.8600 624.9300 151.8000 654.2500 427.6200 278.6100 446.4000
frame00015.jpg 266.2300 183.7200 622.7500 152.0200 658.8700 424.7100 284.7900 450.5100
frame00016.jpg 266.5600 192.0600 619.6300 148.7400 670.2800 415.0800 299.4800 455.8800
frame00017.jpg 270.8800 196.5900 621.6900 151.8300 677.2600 408.4900 305.0700 452.7900
frame00018.jpg 271.9900 200.1600 622.3600 154.3000 680.6400 409.1000 308.3700 455.3700
frame00019.jpg 268.7500 210.6400 617.2700 157.2600 685.7800 405.1100 313.8100 461.4900
frame00020.jpg 263.5600 220.2500 609.7900 158.9700 688.2200 400.0500 317.8400 467.0600
frame00021.jpg 258.6600 225.5100 602.4200 158.6400 688.5600 389.5000 318.2100 464.5200
frame00022.jpg 252.2600 230.1800 594.0400 157.2900 686.3500 379.5900 315.9100 462.3700
frame00023.jpg 244.6100 233.6500 584.6500 156.2300 681.6500 369.2500 310.8600 458.2800
frame00024.jpg 240.2100 235.1600 579.0900 154.2800 679.2600 362.3100 308.8500 455.8800
frame00025.jpg 234.0800 236.9700 571.0300 152.4000 675.1600 351.8700 305.2100 450.6000
frame00026.jpg 226.5700 239.3300 561.0700 150.9000 670.0900 340.0300 301.6800 444.3700
frame00027.jpg 218.2000 241.6900 549.9700 148.4600 663.7400 326.7600 297.1600 437.6900
frame00028.jpg 209.9800 246.6700 537.5000 146.0500 657.0900 310.4900 293.8500 430.9000
