frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 265.0000 119.0000 581.0000 119.0000 581.0000 411.0000 265.0000 411.0000
frame00002.jpg 266.5600 118.5700 582.9900 120.6900 581.0100 412.9900 265.4200 411.2300
frame00003.jpg 267.6900 118.6300 583.8100 122.3500 581.1900 413.6000 265.8800 410.9900
frame00004.jpg 269.4800 118.3500 585.0200 123.0900 582.0600 413.0100 267.3800 410.5500
frame00005.jpg 271.1200 118.8000 586.0400 124.1400 582.3700 413.2400 268.4200 411.0500
frame00006.jpg 271.6000 119.0400 586.1800 125.0900 581.9300 412.7000 268.6500 411.2200
frame00007.jpg 271.5900 119.1200 585.8900 124.9100 581.1300 411.8300 268.0500 411.2600
frame00008.jpg 269.9200 119.5100 584.5300 125.3400 579.2300 413.1400 265.8500 412.9100
frame00009.jpg 267.6800 120.4500 582.5200 126.7700 577.6600 413.7500 264.0200 413.7900
frame00010.jpg 266.1500 120.6400 581.5400 127.3900 576.5100 413.7000 262.9400 414.1800
frame00011.jpg 264.8200 119.7500 580.7300 126.4900 575.7100 412.5400 261.8700 414.0500
frame00012.jpg 264.0300 119.0200 580.4500 125.3500 575.5600 410.8000 261.6700 413.2100
frame00013.jpg 263.5200 117.7300 580.3100 124.5400 574.5600 410.9600 260.6900 413.3600
frame00014.jpg 262.3200 117.8900 579.4000 125.6000 573.0700 411.6500 259.2300 413.7000
frame00015.jpg 261.4800 117.4600 578.5500 126.5100 571.9900 412.1100 258.0900 413.3000
frame00016.jpg 261.4700 116.5800 578.6200 126.8900 571.3500 412.6200 257.5000 413.3000
frame00017.jpg 261.1000 117.1000 578.4600 128.8600 569.8900 414.1500 256.2100 414.4200
frame00018.jpg 260.5600 117.3300 577.8600 131.2100 568.5000 415.2500 255.1700 414.7400
frame00019.jpg 260.9000 116.5800 578.2500 131.8800 568.4200 414.9000 255.3600 414.2300
frame00020.jpg 261.9100 115.9900 579.4900 132.0300 568.8700 414.6100 255.9900 413.9900
frame00021.jpg 262.6400 115.7000 580.5100 132.5400 568.9200 415.2200 256.0400 414.2300
frame00022.jpg 262.6700 114.9900 580.9500 132.8900 568.3900 414.9800 255.3100 413.7300
frame00023.jpg 262.2600 113.5500 581.1400 132.6000 567.7600 414.3400 254.5400 412.6900
frame00024.jpg 262.3100 111.3800 581.6300 131.7200 567.5300 413.6500 254.2800 411.6500
frame00025.jpg 262.4600 110.5300 582.4100 131.4600 567.5800 412.7500 254.2500 411.2400
frame00026.jpg 262.6100 108.6100 583.0700 130.2500 567.3300 411.6600 253.9600 410.2900
frame00027.jpg 262.5700 107.5100 583.7800 129.9000 567.6100 411.5600 253.9100 410.2900
frame00028.jpg 263.4100 107.5600 585.3600 130.5600 568.3600 413.1500 254.1900 411.1300
frame00029.jpg 263.6000 107.3800 586.2100 131.5100 568.3100 414.0500 253.4700 411.1100
frame00030.jpg 263.0000 107.6000 586.5100 131.9100 568.4900 415.0200 253.3200 412.4300
frame00031.jpg 263.0500 108.6000 587.1200 132.8100 568.8300 416.0000 253.3200 413.6000
frame00032.jpg 263.2100 109.3700 587.8000 134.2300 568.7000 417.3000 253.1600 414.4600
frame00033.jpg 263.6900 109.6000 588.4800 135.0900 569.0300 417.2200 253.5400 414.3800
frame00034.jpg 264.5700 108.6600 589.4000 134.8100 569.1200 416.5300 253.8100 413.5700
frame00035.jpg 264.9300 108.0900 589.7100 135.1100 568.4900 416.4200 253.6500 413.9300
frame00036.jpg 265.3100 107.6800 590.1100 134.6700 568.5200 414.5600 254.1300 413.3700
frame00037.jpg 266.3700 106.4800 591.3000 133.4100 569.1100 413.0400 255.2200 412.7400
frame00038.jpg 267.3600 106.1800 592.3800 133.0600 569.5400 412.7600 255.9000 413.2900
frame00039.jpg 267.5300 106.7500 592.9900 133.3600 569.6600 412.7600 256.0000 414.2100
frame00040.jpg 267.4000 106.8500 593.3200 132.8200 570.0500 412.0000 256.2900 414.3800
frame00041.jpg 267.8100 106.7300 594.2200 131.9900 571.0500 411.0600 257.3500 414.4100
frame00042.jpg 268.9400 106.2900 595.4400 131.2300 571.8200 410.6600 258.3800 414.9400
frame00043.jpg 269.9000 106.7200 596.4800 131.7200 571.9300 410.2200 258.7800 415.0600
frame00044.jpg 270.7700 105.3900 596.9900 131.4200 571.4900 409.2000 258.8400 413.9800
frame00045.jpg 271.8300 104.0700 597.5900 131.2400 570.9700 408.3000 259.0400 412.9100
frame00046.jpg 272.8600 103.0400 597.7900 131.9400 569.7100 408.8000 258.6600 412.5700
frame00047.jpg 273.8800 102.7900 597.6400 134.1300 568.2400 410.0300 258.2000 412.6900
frame00048.jpg 275.5000 103.4900 598.1300 137.2800 566.8300 411.1700 258.1300 413.1500
frame00049.jpg 277.4300 104.0000 598.8500 139.5200 566.0300 411.7700 258.6600 413.6600
frame00050.jpg 280.2400 105.1600 600.3100 142.1400 565.8500 412.6300 259.8700 414.2300
frame00051.jpg 282.9900 106.3200 601.7600 144.8600 565.5800 414.7000 260.5300 415.9000
frame00052.jpg 285.0000 109.0800 602.8400 149.2200 565.2600 417.7400 260.9400 418.2100
frame00053.jpg 287.4700 111.3400 604.4300 153.0700 565.6200 420.4000 261.8700 419.5300
frame00054.jpg 289.8700 112.4900 606.1600 156.4400 565.7600 422.8100 262.6200 420.2100
frame00055.jpg 292.3500 113.0700 607.8300 159.0900 566.0000 423.7700 263.6200 420.0100
frame00056.jpg 295.3700 112.9800 609.9200 160.6400 566.1100 424.1600 264.8500 419.8100
frame00057.jpg 298.0600 111.9000 611.6900 161.5700 566.0600 423.5600 265.4100 418.1600
frame00058.jpg 300.1300 109.6400 613.3600 160.8500 566.4000 422.3500 266.1700 416.6600
frame00059.jpg 301.7800 108.5000 615.1900 160.1400 567.0600 421.4300 267.0600 416.0500
frame00060.jpg 302.5200 107.1600 616.3900 159.1400 567.2800 420.3800 266.8900 414.9500
frame00061.jpg 301.9700 105.5200 616.6400 157.6800 567.2000 419.2700 266.3000 414.1600
frame00062.jpg 301.3600 104.5200 616.8100 155.8200 567.1400 417.5200 266.1900 413.7400
frame00063.jpg 300.7000 103.4200 616.3400 154.4300 565.9600 416.2300 264.9900 413.1500
frame00064.jpg 299.6700 102.4900 615.4500 153.8100 564.5500 415.3700 263.6600 412.8400
frame00065.jpg 298.7400 101.6900 614.4600 153.3500 563.1100 414.8500 262.2500 412.7000
frame00066.jpg 297.6000 100.3400 613.1800 153.2000 561.0500 414.2900 260.1900 411.6000
frame00067.jpg 296.7800 98.8250 612.3600 153.2800 559.7200 413.9200 259.2600 410.8000
frame00068.jpg 297.0700 98.0630 612.2200 153.1400 558.9100 413.3800 258.7300 410.3900
frame00069.jpg 297.3500 97.7510 611.9800 153.4000 558.0600 412.8800 258.5400 410.3000
frame00070.jpg 298.0000 97.3910 611.8100 153.4200 557.2100 411.8400 258.4100 409.9400
frame00071.jpg 298.9900 96.1050 611.6000 152.1300 556.0600 409.4100 258.4300 408.6600
frame00072.jpg 300.0000 95.3370 611.1700 151.3800 554.7900 407.2800 258.5500 407.7000
frame00073.jpg 301.5700 93.8490 611.1400 150.3000 554.2000 406.5800 259.1200 407.3000
frame00074.jpg 303.5100 96.5630 611.5200 153.2900 553.8100 409.4600 259.9700 410.6500
frame00075.jpg 304.9900 100.1500 611.7400 156.9900 553.6400 411.9000 260.4000 413.2400
frame00076.jpg 306.1600 103.3800 611.9800 159.7300 553.9900 413.5800 261.3400 415.5300
frame00077.jpg 308.0700 105.8700 613.1900 161.1000 555.3400 414.5300 263.2800 417.7000
frame00078.jpg 309.5600 108.4100 614.0000 164.0000 556.0900 415.7400 264.3800 419.3700
frame00079.jpg 310.8900 109.6700 615.0000 166.0000 556.0200 416.8800 264.9400 420.5200
frame00080.jpg 312.5400 111.7700 614.0000 169.0000 554.8100 419.2700 264.9900 421.9500
frame00081.jpg 314.3300 112.6200 614.0000 171.0000 553.2700 419.8600 264.9300 421.6500
frame00082.jpg 316.7200 112.4300 615.0000 173.0000 551.8300 419.5900 265.3200 420.4900
frame00083.jpg 319.9600 112.5300 615.0000 175.0000 550.6400 420.1100 266.2300 420.4200
frame00084.jpg 322.9300 114.0100 615.0000 178.0000 549.4300 421.0400 266.7600 420.7100
frame00085.jpg 324.6700 114.6000 614.7700 178.1000 548.9100 421.6100 267.0200 420.6700
frame00086.jpg 325.5100 115.1800 615.0900 178.7400 549.4300 421.8000 267.7900 420.9500
frame00087.jpg 326.3000 115.5300 615.6400 178.5700 549.9700 421.4300 268.5700 420.8900
frame00088.jpg 326.8200 115.1300 616.0800 177.9600 550.4800 420.6500 269.0000 420.2000
frame00089.jpg 327.0100 113.7500 616.4200 176.1700 551.1200 419.2200 269.8300 419.4400
frame00090.jpg 327.1700 113.6000 616.3000 174.9100 551.2500 418.3000 270.4600 419.9500
frame00091.jpg 327.7300 114.8700 615.9800 175.1500 551.1700 418.0200 271.5800 421.0000
frame00092.jpg 329.5200 116.0700 615.6000 174.7500 550.8500 415.7200 273.6300 420.9600
frame00093.jpg 333.1800 117.6000 615.5700 173.5700 550.5600 412.4300 277.0800 420.8700
frame00094.jpg 337.4400 119.4100 615.2600 173.1100 549.7100 410.3600 279.8600 421.3000
frame00095.jpg 340.1900 120.3500 613.6800 173.4100 548.0100 408.8000 281.0700 420.4800
frame00096.jpg 341.8400 119.4000 612.0900 173.0100 546.8200 407.6200 281.9500 419.2100
frame00097.jpg 342.8400 118.1900 610.6800 172.0100 545.2000 405.8700 281.9700 417.6200
frame00098.jpg 343.0700 117.5000 608.6200 172.2000 542.9100 405.4400 281.4400 416.8700
frame00099.jpg 343.9400 117.8300 606.6100 173.1600 540.4900 404.8300 281.3700 416.5800
frame00100.jpg 345.5900 118.8400 604.4900 174.3000 537.4000 404.4500 281.1900 416.3700
frame00101.jpg 347.7700 120.1800 602.0600 177.3900 534.1400 405.8100 281.1300 416.2100
frame00102.jpg 351.6200 121.8100 600.8800 181.5500 532.0100 407.2500 282.8400 415.7400
frame00103.jpg 358.0600 124.3200 601.6900 185.0900 531.6800 407.9800 286.5600 415.4000
frame00104.jpg 364.8500 126.5100 602.9800 189.5000 531.2600 410.3000 289.9100 414.8100
frame00105.jpg 370.7100 129.4900 603.7100 195.3500 530.4500 413.7000 292.6600 415.3000
frame00106.jpg 375.7700 132.9800 604.4800 200.6200 530.9200 417.2600 295.7500 416.6600
frame00107.jpg 379.2300 137.0200 604.8000 206.1300 530.9900 421.9300 297.9400 419.3400
frame00108.jpg 380.8300 142.3000 603.8600 211.8000 530.4900 426.3600 299.0700 423.3700
frame00109.jpg 380.4000 147.2500 602.1300 216.0500 530.6200 430.2400 299.7600 427.3100
frame00110.jpg 378.5900 150.6400 600.0600 218.6100 531.0300 433.1000 300.0000 430.2400
frame00111.jpg 375.7200 153.0800 597.7000 219.0800 532.0000 434.2600 300.5000 432.8600
frame00112.jpg 372.2500 154.6300 595.4600 216.9000 533.6500 433.4400 301.3300 434.1700
frame00113.jpg 367.8000 154.2400 592.6000 213.7200 535.0100 432.2800 301.5200 434.6500
frame00114.jpg 362.5000 153.2700 589.2700 209.8900 536.6200 430.6600 301.6400 434.9400
frame00115.jpg 357.3600 152.6500 586.3800 205.1700 539.2500 428.1700 302.6200 435.1900
frame00116.jpg 352.4100 150.8500 584.2900 199.9100 542.6100 425.3700 303.4800 434.1700
frame00117.jpg 347.3900 148.1000 583.4800 194.8000 546.9300 423.4800 303.8300 433.0200
