frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 291.0000 150.0300 564.0600 149.9400 564.0600 444.0600 291.0300 443.9500
frame00002.jpg 291.7200 150.1300 564.5200 150.0800 565.0400 444.0700 292.1200 443.7300
frame00003.jpg 292.8700 149.0600 566.2200 149.9200 565.4500 443.7300 292.4200 442.8700
frame00004.jpg 292.0100 148.3400 565.7400 148.4700 564.4700 443.2300 291.0700 442.5600
frame00005.jpg 290.2000 148.8000 564.3100 148.3100 563.4400 443.5500 289.9600 443.2800
frame00006.jpg 289.5700 149.2000 563.4800 148.6800 563.0800 443.6700 289.9200 443.7400
frame00007.jpg 290.2900 149.7600 563.7300 149.4400 564.2400 443.6300 291.2300 443.6200
frame00008.jpg 292.0500 149.6300 565.0800 149.8200 564.9200 444.5500 291.8400 443.9600
frame00009.jpg 291.7400 150.6600 564.7700 150.8000 564.5300 445.4100 291.0300 445.0500
frame00010.jpg 290.4800 151.7400 563.8100 151.2300 563.8200 445.3100 290.5200 445.5200
frame00011.jpg 290.6600 151.6500 563.9700 151.0700 564.4400 445.0300 291.1100 444.9300
frame00012.jpg 291.2700 150.5900 564.3100 151.1000 564.0500 445.0300 290.8800 444.7400
frame00013.jpg 290.9600 150.9700 563.7400 151.3900 563.9800 445.1200 290.7100 444.5900
frame00014.jpg 291.2300 150.5800 564.2700 150.2300 565.1300 444.4600 291.5900 443.7400
frame00015.jpg 292.1700 150.6300 565.2500 150.6000 565.6300 445.3900 291.8400 444.1300
frame00016.jpg 292.7600 151.0200 565.5300 150.7700 565.5700 445.9200 291.9200 443.9200
frame00017.jpg 292.4400 150.7500 565.1600 150.4100 565.3400 446.5900 291.9900 444.8700
frame00018.jpg 292.3300 152.0600 565.5800 151.1600 565.5800 447.9500 293.3100 446.0100
frame00019.jpg 295.1100 152.1200 568.2300 151.7100 567.9200 448.2300 295.4400 443.2600
frame00020.jpg 298.2500 151.6600 571.6700 150.8000 569.5900 448.3600 297.2100 441.4400
frame00021.jpg 299.0300 151.0100 572.7300 150.6900 569.6800 448.2900 297.5900 440.8100
frame00022.jpg 298.7400 152.0200 572.8500 150.5600 569.2500 448.4100 297.6900 440.6200
frame00023.jpg 298.2000 152.8200 571.8200 150.8800 568.9500 449.2300 297.3300 441.4200
frame00024.jpg 298.2900 152.9500 570.8700 151.6300 568.9400 449.2500 296.7100 441.2800
frame00025.jpg 298.6300 152.4900 571.1700 151.8000 569.0800 449.9100 296.9900 441.3300
frame00026.jpg 300.2200 151.1800 572.6500 152.4400 568.9300 452.0700 295.7000 440.1400
frame00027.jpg 300.9200 149.2900 573.8700 153.1300 568.4800 453.8900 294.5200 438.3100
frame00028.jpg 301.6000 146.4100 575.8000 151.4700 568.6600 453.5100 294.2300 434.9300
frame00029.jpg 302.7500 143.3300 577.5500 149.3700 568.9100 454.0000 293.7300 431.9600
frame00030.jpg 302.5100 140.9100 578.3600 147.1600 568.0000 453.2600 292.9600 430.0400
frame00031.jpg 302.1200 139.0200 579.0400 145.1400 567.1800 452.9000 292.1300 427.8100
frame00032.jpg 302.1300 136.8600 580.1900 144.0500 566.8800 454.1200 291.7600 426.0200
frame00033.jpg 302.5400 135.0300 581.8000 144.5100 566.9200 455.6800 291.0800 424.7700
frame00034.jpg 303.0000 132.5200 582.4000 144.7400 566.5700 456.4500 290.7300 423.3300
frame00035.jpg 302.9900 130.3200 583.3200 143.6400 566.4900 455.7800 291.1400 421.6600
frame00036.jpg 303.8600 127.3800 584.4700 142.3400 566.9900 454.7300 291.9700 419.9300
frame00037.jpg 303.9600 125.3100 585.1700 140.7800 566.7000 453.5400 291.6800 419.2600
frame00038.jpg 302.8600 124.4600 584.1000 136.7200 564.8400 452.1400 290.5000 417.5500
frame00039.jpg 301.6100 124.2300 583.3300 133.2200 565.6100 451.4700 291.4700 416.4100
frame00040.jpg 303.2000 123.6900 585.4700 130.3100 568.6400 451.7000 294.1400 415.3400
frame00041.jpg 304.7500 124.4300 587.2100 128.2100 571.5200 452.0100 296.5100 415.3500
frame00042.jpg 307.0500 124.2700 588.8200 128.9800 572.6900 453.2800 297.6600 415.9500
frame00043.jpg 308.6400 125.1800 589.4100 129.8100 572.8500 454.0500 297.8800 416.9600
frame00044.jpg 308.3400 126.7700 587.6000 128.8700 572.1600 453.8200 298.2400 418.6200
frame00045.jpg 308.2700 129.8400 587.3200 129.6800 572.3800 456.3200 298.9100 420.7500
frame00046.jpg 308.7500 132.5500 587.0700 132.0100 571.5200 458.3600 298.4700 422.6400
frame00047.jpg 308.2500 135.0800 584.8100 133.2900 571.8200 458.5200 298.2500 424.4500
frame00048.jpg 308.6200 136.5600 584.3700 132.1900 572.4200 457.8700 299.6500 424.3300
frame00049.jpg 309.5500 137.1200 584.3900 130.7500 572.9100 457.1500 300.2800 423.6800
frame00050.jpg 309.7000 137.5100 584.2500 127.8600 573.7700 455.3200 301.4200 422.8300
frame00051.jpg 310.6600 136.3100 583.7200 123.6800 573.3600 452.3000 302.9800 422.0400
frame00052.jpg 310.1600 135.3500 581.2000 119.9900 573.2200 449.8700 304.3400 423.2800
frame00053.jpg 309.2600 136.4900 579.6100 116.3800 573.5100 447.0000 306.2500 423.9000
frame00054.jpg 308.9900 137.3000 577.6100 114.2800 573.7300 444.5900 307.2200 424.3400
frame00055.jpg 308.8000 139.0800 575.0800 111.1400 572.6800 442.1100 307.1400 424.1900
frame00056.jpg 306.4700 142.0100 570.6200 106.7700 569.2600 439.3600 306.6900 426.2300
frame00057.jpg 303.6400 145.9700 565.1800 103.8700 566.4000 438.2900 305.3200 427.9500
frame00058.jpg 302.8100 147.6500 561.1200 103.5600 565.4100 438.0600 305.6600 429.9300
frame00059.jpg 303.3000 151.2600 560.0100 101.4700 564.0200 438.1800 306.4800 429.3800
frame00060.jpg 304.1000 152.8100 554.9300 99.1990 561.4500 434.0600 306.2600 429.6300
frame00061.jpg 303.3900 155.0200 550.1500 95.1110 559.2300 431.8400 306.0900 429.9300
frame00062.jpg 302.2300 156.6100 546.9800 92.5720 557.1600 430.1300 306.8900 431.4400
frame00063.jpg 301.8700 157.8900 543.9500 91.4720 556.2800 428.4800 307.4100 432.8700
frame00064.jpg 302.1100 158.5400 542.2800 90.7550 555.1200 426.1700 307.8100 433.7900
frame00065.jpg 302.1200 159.9800 540.1400 89.4840 553.9300 424.3700 308.2400 435.4500
frame00066.jpg 302.0400 161.8400 537.5500 89.1240 552.8500 422.6300 308.3600 437.1500
