frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 286.0000 180.0000 544.0000 180.0000 544.0000 390.0000 286.0000 390.0000
frame00002.jpg 286.8900 179.1200 544.9200 179.6500 544.8600 389.2600 286.7800 389.3700
frame00003.jpg 287.8500 178.5100 545.3200 179.2400 545.2200 388.7300 287.5800 388.0000
frame00004.jpg 288.6200 177.9500 545.7800 178.6700 545.5400 388.3500 287.8800 387.3500
frame00005.jpg 288.4900 177.0100 545.7200 178.2600 545.1300 387.7700 287.1700 386.3800
frame00006.jpg 284.0200 175.5100 541.7800 178.1400 541.0000 386.5100 284.1200 386.5000
frame00007.jpg 282.6100 175.3500 539.5800 177.7000 538.4200 386.6600 281.7000 385.2200
frame00008.jpg 282.5900 175.0300 539.3400 177.5200 538.1200 386.3100 281.3500 384.5900
frame00009.jpg 282.2900 174.9700 539.1300 177.4600 538.0500 385.5200 281.9300 385.1800
frame00010.jpg 283.1300 174.9900 539.3200 177.3900 537.4600 386.1600 281.2500 383.7900
frame00011.jpg 283.3000 174.9500 539.0000 178.1400 537.2200 386.2800 281.5800 383.2300
frame00012.jpg 283.1300 175.0900 538.3000 179.2600 537.1900 386.6500 280.9600 384.2800
frame00013.jpg 283.3400 176.3600 538.3000 179.3000 536.4400 387.1400 281.8700 384.3500
frame00014.jpg 283.5300 177.0000 537.9800 180.4000 536.2100 387.5800 280.2200 384.9000
frame00015.jpg 283.3100 177.9200 537.5800 181.2300 535.3400 388.7000 280.9100 385.7400
frame00016.jpg 283.0900 178.9400 536.8500 183.0400 534.6700 390.1400 280.5300 386.1900
frame00017.jpg 283.0700 179.1400 536.5700 184.5700 533.7400 391.2900 279.8000 385.6800
frame00018.jpg 283.2700 178.5600 536.2400 185.3800 532.6500 391.0200 279.2300 384.3000
frame00019.jpg 283.4600 176.1600 535.8600 184.1200 531.8500 389.0000 279.0800 381.5900
frame00020.jpg 284.1700 174.3000 535.7100 182.2700 532.0600 386.4500 281.5600 378.0500
frame00021.jpg 288.0200 172.1100 538.9000 180.2100 535.3600 383.9100 285.0700 375.5800
frame00022.jpg 292.9600 169.9800 542.9100 178.3900 539.3100 381.3500 289.0400 372.8100
frame00023.jpg 297.2500 168.0000 546.2600 176.3100 543.2700 378.1900 294.8500 370.1500
frame00024.jpg 302.0100 166.5000 550.1600 173.8500 546.3600 375.7000 299.4300 367.6800
frame00025.jpg 306.4000 165.4000 553.5000 172.4400 549.8000 373.7500 303.9100 365.3000
frame00026.jpg 308.9400 167.1000 555.3700 173.3000 551.2200 374.1200 306.6900 367.5600
frame00027.jpg 308.6200 171.9200 553.4800 176.8200 549.6300 376.8500 305.0100 371.3000
frame00028.jpg 306.5400 175.0400 550.1100 178.8600 547.0200 377.7800 303.7200 372.7600
frame00029.jpg 305.6000 177.4600 547.8900 182.0900 544.7600 379.9600 302.9600 375.1000
frame00030.jpg 305.8800 181.6500 546.9400 186.7000 543.9800 382.6500 302.5000 377.9300
frame00031.jpg 306.5000 182.7400 546.0100 187.5500 543.0100 381.8700 303.9400 377.3700
frame00032.jpg 306.3500 183.9000 544.4300 189.2100 541.0300 382.8000 303.9700 378.3600
frame00033.jpg 305.8000 187.4400 541.8800 193.9900 537.6000 386.7500 302.2700 380.8700
frame00034.jpg 304.6600 191.9200 538.7300 199.3500 535.2100 389.2000 301.8500 384.0900
frame00035.jpg 304.5400 195.1000 536.8300 201.7800 533.9300 389.4100 301.7800 385.9500
frame00036.jpg 305.4500 196.9500 536.3000 201.8200 534.5800 387.3500 304.2300 386.1400
frame00037.jpg 308.2000 197.9800 536.4600 199.9100 535.9500 383.9600 306.8900 385.5400
frame00038.jpg 310.1500 197.5200 537.1900 197.8800 537.4000 380.3300 311.2100 384.2000
frame00039.jpg 313.7500 197.3200 538.4000 196.9100 539.4300 378.0300 315.2200 382.7600
frame00040.jpg 316.8500 197.0600 539.7700 195.9300 540.5900 375.1400 319.0000 380.2900
frame00041.jpg 319.3200 195.6100 539.6800 194.7000 541.4600 371.7100 321.5900 377.9600
frame00042.jpg 323.5600 194.1900 542.3000 193.1600 544.4500 368.5900 326.7000 375.4100
frame00043.jpg 328.8100 192.9100 545.9300 191.8800 547.4900 365.8400 331.7500 372.9700
frame00044.jpg 335.0700 191.8300 549.8900 190.3600 551.9000 363.4800 337.8400 370.6700
frame00045.jpg 341.6900 190.4100 554.6400 190.2900 556.1400 361.5600 343.3500 368.0800
frame00046.jpg 346.7600 189.8000 557.8200 190.2000 558.3700 360.2800 347.8600 365.1600
frame00047.jpg 349.2100 188.8800 558.4400 190.0300 558.5900 358.6000 350.0200 363.3000
frame00048.jpg 350.1000 187.1900 557.7400 189.5600 557.1300 356.5800 350.7000 360.2800
frame00049.jpg 351.8200 186.6900 557.5200 189.8800 556.7700 355.5200 352.1900 358.7500
frame00050.jpg 353.8700 188.5000 557.1800 193.0500 556.1000 357.4900 353.1200 359.5700
frame00051.jpg 353.2200 192.4600 554.8200 196.7300 553.4800 359.1900 352.3000 361.4100
frame00052.jpg 352.2700 195.5100 551.6000 200.0900 549.9000 361.4000 350.1700 363.1000
frame00053.jpg 351.3300 198.2500 548.4500 203.4600 546.3300 363.3000 349.2200 363.2000
frame00054.jpg 350.5200 201.0100 545.5100 207.2600 543.4000 365.4100 347.5800 364.9600
frame00055.jpg 349.5200 202.1200 542.8600 209.4300 539.7600 365.8000 345.1200 363.7100
frame00056.jpg 347.5600 201.5700 539.4000 209.9700 536.0300 364.7700 343.6700 361.7800
frame00057.jpg 345.1500 201.0900 535.3200 209.8600 531.7800 363.7200 341.4900 359.8100
frame00058.jpg 342.3100 201.2400 530.9800 210.3200 527.5600 362.2000 338.6100 359.3900
frame00059.jpg 340.0800 202.4000 527.0100 210.4500 523.4000 361.4300 336.4400 358.0500
frame00060.jpg 337.8800 202.5800 523.7600 210.9600 520.4500 360.5300 335.0900 357.7600
frame00061.jpg 337.0700 203.2200 520.6700 211.6000 517.6100 359.8000 332.9700 357.1800
frame00062.jpg 335.5900 203.9000 517.5500 212.2700 513.8700 359.2700 331.2700 355.5500
frame00063.jpg 333.6100 203.7200 514.1200 212.9500 510.7600 358.1300 329.3300 354.7500
frame00064.jpg 332.4500 204.0200 511.5800 212.6300 508.2500 357.3300 329.0500 353.3200
frame00065.jpg 331.4900 204.1300 508.9400 212.2000 505.9000 355.2900 327.8700 351.7100
frame00066.jpg 331.2800 204.4400 507.2200 211.1700 504.8700 352.9700 328.6900 350.8600
frame00067.jpg 331.8500 204.0600 506.2000 209.7700 504.1300 350.5900 329.6500 348.7300
frame00068.jpg 332.7300 203.6900 505.1600 209.3700 503.1600 348.8300 330.3000 347.0900
frame00069.jpg 332.0200 202.4000 503.5500 208.8900 500.9900 346.9900 330.0900 344.4400
frame00070.jpg 330.7400 199.8500 500.7400 206.6200 497.9500 342.6300 328.2200 340.1000
frame00071.jpg 329.0400 194.2800 498.0600 200.8300 495.1400 335.6600 328.0100 332.9000
