frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 81.9400 119.0000 515.0300 118.9800 515.0300 373.0000 82.0410 372.9800
frame00002.jpg 80.0120 122.5000 512.7800 122.0800 513.4100 374.6400 80.1030 375.4000
frame00003.jpg 78.7160 123.6900 511.2300 123.0900 512.6400 375.3900 79.3520 376.4700
frame00004.jpg 78.6110 124.7100 510.7900 124.0300 512.4600 376.1900 79.2880 377.4400
frame00005.jpg 78.3310 125.7400 510.3700 124.8100 512.2300 376.7300 79.0260 378.3400
frame00006.jpg 78.2140 126.3800 510.0800 125.2100 512.4200 376.6200 79.1920 378.4600
frame00007.jpg 78.4510 126.4500 510.1700 125.2300 512.7600 377.5600 79.4030 379.5300
frame00008.jpg 78.8250 128.3200 510.3700 126.8600 512.8800 378.5700 79.8440 380.8500
frame00009.jpg 78.8060 129.0400 509.8700 127.4500 512.9000 379.7200 79.2230 382.0600
frame00010.jpg 78.4010 131.0600 509.6300 129.4800 512.6500 381.2800 79.1850 383.8100
frame00011.jpg 78.4660 131.6000 509.6100 130.0900 513.0600 381.7500 79.4670 384.2400
frame00012.jpg 79.5060 132.7400 510.3100 131.4400 514.2000 384.0300 80.4260 385.9800
frame00013.jpg 80.9050 134.3400 511.7400 133.3000 515.1000 384.7400 81.4980 386.3300
frame00014.jpg 81.8470 133.5600 512.4000 132.8600 515.4900 384.2700 81.7370 385.3800
frame00015.jpg 82.5370 133.7400 513.0400 133.5900 515.5300 386.1100 81.8160 386.6300
frame00016.jpg 82.2490 134.9000 512.9600 135.1300 515.1700 386.6700 81.0670 387.0400
frame00017.jpg 81.8410 135.0200 512.4500 135.4300 514.9200 387.4500 81.0380 388.0100
frame00018.jpg 82.3070 136.1900 512.8200 136.4900 515.5400 388.0500 81.6700 388.6100
frame00019.jpg 82.8280 136.4300 513.3100 136.6100 516.0100 388.0200 82.0140 388.6300
frame00020.jpg 82.9090 136.4400 513.3400 136.4800 515.8800 387.3700 81.9890 388.2200
frame00021.jpg 82.5640 135.4000 513.2100 135.4500 515.7200 386.5200 81.6920 387.4300
frame00022.jpg 82.1570 134.6700 513.1300 134.7900 515.3500 385.4500 81.5720 386.4000
frame00023.jpg 81.9920 133.1400 513.0800 133.5000 515.3900 384.5100 81.5370 385.2900
frame00024.jpg 82.1450 133.1000 513.4000 133.7300 515.7600 385.6700 81.4130 386.2900
frame00025.jpg 81.7560 133.5400 513.4900 134.0900 515.6000 385.7400 80.9450 386.4900
frame00026.jpg 81.5320 133.7400 513.2400 134.3100 515.3900 386.1400 81.1560 386.7700
frame00027.jpg 81.9110 134.4100 513.0700 135.0600 515.1000 386.1700 81.4340 386.8200
frame00028.jpg 82.3610 134.7100 512.8100 135.2600 515.0000 386.0200 82.2540 386.6400
frame00029.jpg 83.3360 134.8600 513.0200 135.3100 515.7400 385.6700 83.1220 386.3000
frame00030.jpg 84.1310 134.7500 514.0500 135.0400 516.9200 385.8600 83.9660 386.4800
frame00031.jpg 84.6540 134.7600 515.1600 134.5500 517.8800 385.3200 84.5050 386.1900
frame00032.jpg 84.7630 133.7800 515.6300 133.5100 518.1600 384.9400 84.9810 385.7600
frame00033.jpg 85.5630 134.1100 516.2200 133.8900 518.9200 385.6400 85.6760 386.2000
frame00034.jpg 86.0590 134.5000 516.8200 134.3100 519.1600 385.6200 86.1680 386.1500
frame00035.jpg 86.9080 134.5100 517.4800 134.1700 520.0900 385.6400 87.1900 386.0300
frame00036.jpg 88.6520 134.6000 518.8000 134.3300 522.0900 386.0100 89.1930 385.8800
frame00037.jpg 91.0760 135.3000 520.9100 134.9500 523.9900 386.8600 91.5160 386.4000
frame00038.jpg 92.9670 135.8500 522.3700 135.3300 525.0800 386.8600 92.8340 386.2500
frame00039.jpg 94.1570 136.2900 523.1400 135.5800 525.9200 387.6900 93.6930 386.9200
frame00040.jpg 94.8280 137.5900 523.5500 136.7300 526.3900 388.9600 94.1780 388.4100
frame00041.jpg 95.5010 139.4200 523.7000 138.0500 526.8900 390.6800 94.6150 390.1800
frame00042.jpg 95.7800 141.5300 523.4200 139.9400 526.6400 392.1100 94.5170 392.0000
frame00043.jpg 95.2840 142.9300 522.4200 141.0500 525.8400 392.9800 93.6670 393.2500
frame00044.jpg 94.5230 145.0100 520.8800 142.9200 525.5700 395.8800 93.1860 396.8300
frame00045.jpg 94.8990 149.7300 520.5800 146.9100 525.6400 399.1300 93.4680 400.5600
frame00046.jpg 95.1300 151.5700 519.9400 148.4300 525.6800 399.4300 93.6380 401.2700
frame00047.jpg 95.7980 152.9200 519.9300 149.2900 526.3400 400.5400 94.4520 402.6600
frame00048.jpg 96.3270 154.2100 520.0000 150.1400 526.8400 400.5200 94.9090 403.2300
frame00049.jpg 96.5280 154.5400 519.9700 149.7600 527.0600 400.0800 95.2730 403.2100
frame00050.jpg 96.5980 154.5700 519.8100 149.2500 526.8600 398.8700 95.4110 402.3900
frame00051.jpg 95.8510 152.6000 519.1100 146.9600 526.1900 395.7300 95.0910 399.6700
frame00052.jpg 95.8610 150.0200 519.1300 144.2900 526.7600 393.2700 95.9560 397.2900
frame00053.jpg 96.9560 148.0400 520.1100 141.9600 527.4200 390.6600 97.1550 394.6800
