frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 329.9500 196.0000 565.0500 195.9500 564.9900 435.9900 330.0400 435.9600
frame00002.jpg 329.9900 196.6200 564.8400 197.1200 564.7500 435.8500 329.7800 435.3100
frame00003.jpg 330.4600 196.1600 565.2900 196.5200 565.4800 435.6000 330.7300 435.0500
frame00004.jpg 331.2500 196.1800 566.0900 196.2700 566.1100 435.4200 331.3100 434.9400
frame00005.jpg 331.5200 196.4500 566.2800 196.2500 566.5600 435.3600 331.6900 435.3500
frame00006.jpg 331.2100 196.7500 566.0700 195.3500 566.7200 434.4200 331.7000 435.4800
frame00007.jpg 330.1100 196.7900 565.1900 194.9400 565.9800 434.7700 330.6800 436.2500
frame00008.jpg 329.0300 197.1200 564.2600 195.4100 565.3700 434.8000 329.8200 436.2500
frame00009.jpg 329.0000 196.2800 564.3000 194.7200 565.5200 434.4600 330.0000 435.5100
frame00010.jpg 329.1800 196.1400 564.4700 194.7400 565.4900 434.5600 329.9900 435.4500
frame00011.jpg 329.4600 195.9200 564.7200 194.8900 565.4600 434.6200 330.1000 435.0900
frame00012.jpg 330.1900 196.2700 565.2700 195.9500 565.7800 436.0100 330.4900 435.9000
frame00013.jpg 330.9800 197.3000 565.7900 197.5500 566.0600 437.5400 330.9200 436.8100
frame00014.jpg 331.6600 199.0300 566.2400 199.6300 566.5700 439.0900 331.6600 438.0100
frame00015.jpg 333.0000 200.1700 567.0600 201.0600 567.2700 440.6900 332.6600 439.2900
frame00016.jpg 333.6500 202.3300 567.2700 203.6200 567.1200 442.7200 332.8200 441.0600
frame00017.jpg 334.1600 203.0700 567.3900 204.5000 567.3800 442.1900 333.4100 440.4700
frame00018.jpg 334.7300 202.4600 567.5600 203.5700 567.4700 441.8000 333.8400 440.5300
frame00019.jpg 334.7900 204.1700 567.4100 205.0700 567.5600 443.3600 334.1900 442.2800
frame00020.jpg 335.4700 205.3400 567.7300 206.7600 567.6300 443.8400 334.6100 442.4400
frame00021.jpg 335.7300 205.3700 567.6400 206.7800 567.2800 444.0000 334.6300 442.9500
frame00022.jpg 335.2000 206.1300 566.7800 207.3900 566.4000 443.7400 334.1200 442.9600
frame00023.jpg 334.7200 205.8400 566.0800 207.3400 565.3600 443.5000 333.4700 442.7500
frame00024.jpg 333.6300 204.4500 564.8000 206.2900 563.7900 441.2000 332.0400 440.7100
frame00025.jpg 332.1400 202.9800 563.1300 204.4900 562.3500 439.7400 330.9800 440.2000
frame00026.jpg 331.0600 202.7800 561.7200 203.9000 561.1700 438.6600 330.2800 439.8600
frame00027.jpg 329.8700 202.3400 560.2100 203.3500 559.6000 437.3400 329.3300 439.2100
frame00028.jpg 329.2000 201.5900 558.9800 202.4800 558.5100 436.1700 328.9800 438.8100
frame00029.jpg 328.9900 201.1100 558.0700 202.5200 557.3600 435.2800 328.4500 437.7600
frame00030.jpg 328.4500 200.3000 556.9000 202.3000 555.7100 434.9700 327.4800 437.3900
frame00031.jpg 327.8900 200.2000 555.8000 203.0300 554.2700 434.9300 326.7500 436.7500
frame00032.jpg 327.9600 199.3200 555.4000 203.3600 553.3200 434.8400 326.5000 436.0600
frame00033.jpg 328.6000 199.2600 555.3100 204.0000 552.9400 434.4400 326.8400 435.4900
frame00034.jpg 329.4000 198.7000 555.3200 204.3500 552.0900 434.1300 326.8800 434.8600
frame00035.jpg 329.4600 198.4200 554.6500 204.9200 550.9000 433.6300 326.7000 434.5500
frame00036.jpg 330.0100 198.6400 554.4100 205.7000 550.3000 433.5000 327.3400 434.5000
frame00037.jpg 330.8200 197.8500 554.2100 205.3100 549.6500 432.4300 327.5900 433.6200
frame00038.jpg 331.0700 198.2600 553.6100 206.2400 548.9700 432.6600 327.8600 433.6300
frame00039.jpg 331.9400 197.8700 553.7500 206.2000 549.0200 431.5500 328.5900 432.5600
frame00040.jpg 332.4000 197.4400 553.5900 205.7300 548.4900 430.6600 328.7300 432.1300
frame00041.jpg 332.0900 197.0800 552.8800 205.4300 547.4900 429.7800 328.1200 431.3800
frame00042.jpg 331.5600 196.6200 552.0200 205.3000 546.3300 429.8600 327.4700 431.4400
frame00043.jpg 331.0300 196.8400 551.3700 205.7400 545.3800 429.7400 326.9300 431.5000
