frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 235.0000 173.0000 462.0000 178.0000 459.0000 404.0000 236.0000 400.0000 
frame00002.jpg 236.2004 175.5585 463.0000 179.0000 462.2287 404.1269 237.1730 400.2980 
frame00003.jpg 236.1319 175.4824 462.9681 179.7196 462.2710 404.4512 237.3253 400.4174 
frame00004.jpg 236.3784 175.3176 463.2393 179.4182 462.2802 404.1119 237.0696 400.1446 
frame00005.jpg 236.2881 174.6498 463.0951 178.8785 463.0000 403.0000 237.1768 400.0340 
frame00006.jpg 237.0000 174.0000 463.0000 177.0000 462.0000 403.0000 237.2150 399.2840 
frame00007.jpg 235.0000 173.0000 463.0718 177.6478 462.6153 402.6331 237.2487 398.6858 
frame00008.jpg 236.1241 172.8722 463.1437 177.2410 462.6316 402.1714 237.0703 397.8915 
frame00009.jpg 235.6808 171.7776 463.5349 175.8804 462.4266 401.7314 237.3104 397.3861 
frame00010.jpg 235.7763 171.5263 464.0000 176.0000 462.8846 401.6447 236.9999 396.6432 
frame00011.jpg 235.3584 171.0994 463.0581 175.4689 462.6837 400.9543 236.7809 396.1075 
frame00012.jpg 234.8625 170.4840 462.5738 175.1130 462.0039 400.6561 235.9458 396.0934 
frame00013.jpg 234.2753 170.1566 464.0000 175.0000 461.5974 400.3922 235.5375 395.6703 
frame00014.jpg 233.7744 169.9942 463.0000 174.0000 461.0077 400.5514 234.9075 395.6223 
frame00015.jpg 233.0213 169.7975 460.9253 175.0272 460.3116 400.6708 233.7598 395.9026 
frame00016.jpg 231.7265 169.5261 459.9959 175.0657 459.0687 400.6328 232.5802 396.3641 
frame00017.jpg 230.4601 169.8449 459.0992 175.2099 458.0000 401.0000 231.8001 396.2650 
frame00018.jpg 229.3441 170.0307 457.8669 175.2233 456.7493 401.5828 230.6236 397.0341 
frame00019.jpg 227.7639 170.6230 456.7286 175.4088 455.6330 402.3176 229.6851 397.9617 
frame00020.jpg 227.1624 171.8522 455.6975 177.3191 454.9883 403.7013 227.8293 399.3675 
frame00021.jpg 226.0514 173.3201 456.9449 178.5665 453.5014 405.4249 226.6453 401.2560 
frame00022.jpg 224.0662 175.2676 455.6975 181.0613 452.7034 406.7883 225.1881 402.7263 
frame00023.jpg 222.1538 176.9910 452.5790 183.5561 450.4447 408.7508 223.2784 404.8265 
frame00024.jpg 220.0596 178.9627 451.3316 185.4272 448.8394 410.8424 221.2841 406.9230 
frame00025.jpg 217.9233 181.6274 449.4605 187.9220 446.7284 413.5984 219.5564 409.6045 
frame00026.jpg 215.6196 183.8711 447.5894 190.4168 444.7399 416.0666 216.6348 412.3717 
frame00027.jpg 213.2348 186.0077 445.0946 193.5353 442.7489 418.7965 213.4763 415.1996 
frame00028.jpg 210.2179 188.0837 441.9761 195.4064 440.4004 421.2417 210.2839 417.9822 
frame00029.jpg 206.8410 190.4168 440.1050 199.1486 437.1556 425.0881 206.5715 422.0282 
frame00030.jpg 203.4567 193.1374 435.3550 201.0162 433.8680 429.2942 202.0654 425.6338 
frame00031.jpg 198.3757 194.8515 433.8680 203.5146 430.8920 431.1152 197.6416 428.5122 
frame00032.jpg 194.5098 196.4084 430.1258 205.3857 426.3836 436.1549 193.3769 432.1770 
frame00033.jpg 190.3228 198.0286 427.6310 207.8805 423.2651 439.8971 189.2060 434.5590 
frame00034.jpg 186.7621 199.4273 424.5125 209.7516 421.3940 441.1445 184.8815 437.0546 
frame00035.jpg 182.2188 200.2666 421.3940 211.6227 417.0281 444.2630 180.8890 439.2688 
frame00036.jpg 178.6434 201.0423 418.8973 212.4306 415.5520 444.0879 177.5573 441.5702 
frame00037.jpg 174.9697 201.4983 418.8992 214.1175 413.9096 447.3815 173.6825 443.6953 
frame00038.jpg 170.7182 202.0940 414.5333 214.7412 410.7911 448.0052 168.8247 445.4476 
frame00039.jpg 166.2796 202.1859 411.6873 215.9163 406.9970 449.6476 164.5211 447.1950 
