frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 328.0500 215.0400 543.0400 214.9600 543.0000 441.0000 328.0300 440.9600
frame00002.jpg 328.7000 213.6700 543.4300 212.7900 543.5400 438.9300 329.2600 439.5000
frame00003.jpg 329.3300 213.5100 543.9100 211.8200 544.4400 438.7400 330.3100 440.0400
frame00004.jpg 330.0100 214.3800 543.9700 212.5200 544.4300 438.7900 330.6400 440.1500
frame00005.jpg 329.4700 214.8100 542.8400 212.1300 543.6200 438.4300 329.8600 440.4500
frame00006.jpg 327.8500 216.4300 541.0500 213.4500 542.1500 439.5300 328.8900 441.8900
frame00007.jpg 327.0000 218.2500 539.9100 215.3500 541.4500 441.2700 328.6700 443.6000
frame00008.jpg 327.2200 220.9900 539.8100 218.1500 541.4400 443.6300 329.1300 445.8600
frame00009.jpg 327.2400 223.0200 539.1200 220.4600 540.2800 444.9800 328.2100 447.3800
frame00010.jpg 325.4600 224.8400 537.3500 222.4000 538.4900 446.0300 327.1000 448.7300
frame00011.jpg 324.9500 226.2600 536.1400 223.1200 537.9700 446.0900 326.8400 449.6500
frame00012.jpg 324.2900 227.1500 534.7800 223.2100 537.2800 444.9100 326.6500 449.8100
frame00013.jpg 323.7600 227.6800 533.5300 222.2100 537.2600 443.4300 327.1400 450.0500
frame00014.jpg 323.5000 228.3900 532.7800 221.9400 536.2800 441.4800 327.2700 449.9500
frame00015.jpg 322.1700 228.2800 530.5400 220.1800 534.6400 438.7500 326.2600 448.9700
frame00016.jpg 320.5900 227.2700 528.2500 218.0700 532.9800 435.1800 325.4600 446.3800
frame00017.jpg 319.3000 224.9400 526.3300 214.6700 531.9400 433.0200 324.2900 445.0500
frame00018.jpg 318.1000 225.3300 525.1700 214.9100 530.9400 433.6000 323.5900 445.8400
frame00019.jpg 317.6500 225.4300 525.0300 215.5400 530.7200 433.5900 323.5400 445.6400
frame00020.jpg 318.4500 225.0500 525.3300 214.8900 531.3800 432.7600 324.4800 444.9500
frame00021.jpg 318.6100 224.9300 525.8500 214.5300 531.1700 432.1800 325.0500 445.4600
frame00022.jpg 318.1400 225.6000 525.3800 214.5700 531.2900 431.4200 324.9500 445.0500
