frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 207.0007 134.0022 557.9949 122.0012 562.0027 485.0092 198.9944 485.9928 
frame00002.jpg 207.0859 134.8367 557.6823 121.7437 562.5703 484.6767 199.6627 486.5822 
frame00003.jpg 206.7890 135.8835 557.6035 121.6366 562.9445 484.3675 200.1852 487.8100 
frame00004.jpg 206.6129 137.1644 557.2897 121.3469 563.4854 484.2250 200.7579 488.8789 
frame00005.jpg 206.0582 138.5078 556.9376 121.0883 564.1193 484.2553 201.0966 490.2903 
frame00006.jpg 205.4564 140.3949 556.1407 120.9877 564.6839 483.7931 201.8080 492.0035 
frame00007.jpg 204.9507 142.3644 555.6172 120.5704 565.1881 483.4066 202.7562 494.0623 
frame00008.jpg 204.7398 144.2500 555.2172 120.0552 566.3325 482.9273 203.9343 495.8726 
frame00009.jpg 204.1126 146.3595 554.5971 119.5197 567.0523 482.3808 204.7215 498.3120 
frame00010.jpg 203.3535 148.7416 553.5324 119.0408 568.1807 481.7964 205.5528 500.7389 
frame00011.jpg 202.8237 151.7206 552.8610 118.7649 569.0934 481.4084 207.0995 503.3049 
frame00012.jpg 202.0155 154.6988 552.0472 118.2947 570.1333 480.8467 208.0683 506.5589 
frame00013.jpg 201.2986 158.4309 550.9347 118.0981 571.4925 480.2755 209.5799 510.0899 
frame00014.jpg 200.2468 162.1411 549.6326 117.7536 572.6978 479.7709 210.8450 513.5744 
frame00015.jpg 199.6664 166.0356 548.5668 117.2981 574.0678 478.7992 212.6846 517.4670 
frame00016.jpg 198.7222 170.4092 547.3829 116.8832 575.8124 478.0981 214.4518 521.6419 
frame00017.jpg 198.0668 175.6979 546.1053 117.2235 577.4871 477.7303 216.4652 526.5886 
frame00018.jpg 197.5502 180.4017 545.0074 116.4893 579.1880 476.8204 219.0945 530.9279 
frame00019.jpg 197.0809 185.6941 543.8492 116.4782 581.5590 476.0804 221.5525 535.8538 
frame00020.jpg 196.8619 190.9812 542.7176 116.2507 583.7580 475.1814 224.2714 540.7598 
frame00021.jpg 196.5815 196.8224 541.4890 116.4680 586.0165 474.6519 227.2054 546.2900 
frame00022.jpg 196.5711 202.9614 540.4135 116.9298 588.4781 474.3227 230.0659 551.8800 
frame00023.jpg 196.3530 208.4282 539.4977 117.0188 590.8543 473.9262 232.9319 556.9651 
frame00024.jpg 196.6962 214.6192 538.5069 117.9025 593.4738 473.9536 236.1878 562.4629 
frame00025.jpg 196.9435 220.2161 537.8286 118.3107 595.6954 473.5301 239.2654 567.2683 
frame00026.jpg 196.9370 225.3237 536.9066 118.7075 597.8911 473.3151 241.9030 572.1171 
frame00027.jpg 197.1928 230.7530 536.2021 119.4620 599.9166 473.2195 244.8505 576.6084 
frame00028.jpg 197.4191 235.4528 535.6697 119.7677 601.9353 473.0627 247.5345 581.2536 
frame00029.jpg 197.8589 239.7706 534.9827 120.5945 603.5756 472.8847 249.9182 584.6395 
frame00030.jpg 197.9268 244.0701 534.2830 121.5306 605.2111 473.0409 251.7149 588.7654 
frame00031.jpg 197.8871 247.8365 533.8698 121.8696 606.6024 473.1384 253.6456 591.7775 
frame00032.jpg 198.1287 251.4274 533.1680 122.0779 608.0714 472.5669 256.0812 594.5956 
frame00033.jpg 198.6752 253.8531 533.3045 122.7328 609.1901 472.7415 257.4725 596.7598 
frame00034.jpg 199.2630 255.7200 533.6304 123.2758 610.3258 472.8925 259.0546 598.0096 
