frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 259.0006 136.0034 514.0023 138.9970 525.9955 488.0088 245.0004 485.9948 
frame00002.jpg 258.9403 136.2236 514.1976 138.8546 526.1191 488.0615 245.0519 486.2314 
frame00003.jpg 259.1725 135.7836 514.1917 139.0697 526.1185 487.6537 245.2836 485.2693 
frame00004.jpg 259.2262 136.0221 514.2996 138.8362 526.2578 487.7902 245.2388 485.9521 
frame00005.jpg 259.5821 136.0513 514.6254 138.9200 526.4191 487.5023 245.5338 485.5051 
frame00006.jpg 259.7805 135.9738 514.7466 138.8817 526.8051 487.5940 245.9484 485.4942 
frame00007.jpg 260.4274 136.1016 515.2791 139.0385 527.1450 487.4579 246.6298 485.0308 
frame00008.jpg 260.9029 136.2410 515.5135 139.1763 527.6799 487.6199 247.0112 485.5023 
frame00009.jpg 261.5662 136.4918 516.1648 139.4637 528.0515 487.4546 247.8171 485.0831 
frame00010.jpg 262.2881 136.5768 516.5908 139.3121 528.6168 487.6948 248.6053 484.9787 
frame00011.jpg 262.7082 136.5252 517.2457 139.4477 529.0779 487.3889 248.9951 484.9221 
frame00012.jpg 263.4431 136.4612 517.4930 139.0542 529.5800 487.7294 249.6037 485.1353 
frame00013.jpg 263.6500 136.4101 518.2766 139.1771 530.1528 487.4540 249.7657 485.2839 
frame00014.jpg 264.3212 136.5602 518.5771 139.0598 530.5322 487.9710 250.5127 485.0668 
frame00015.jpg 264.5824 136.5179 518.9999 139.5027 530.7910 487.8622 250.7758 485.0592 
frame00016.jpg 264.9776 136.8916 519.3536 139.4986 531.2214 487.7520 251.0941 485.0789 
frame00017.jpg 265.3924 136.8953 519.5472 139.3783 531.4423 487.9794 251.4974 485.0902 
frame00018.jpg 265.6224 136.6794 519.7571 139.4672 531.5927 487.7711 251.6788 485.0014 
frame00019.jpg 265.6631 136.6665 519.9981 139.2975 531.8840 487.3140 251.6799 485.1196 
frame00020.jpg 265.7892 136.5106 520.2633 139.0853 532.1410 487.2112 251.7509 484.9143 
frame00021.jpg 265.8134 136.2736 520.4553 138.7864 532.1672 487.2845 251.9012 484.9693 
frame00022.jpg 265.9309 136.3502 520.4905 138.7986 532.2922 487.2592 252.0362 484.8531 
frame00023.jpg 266.0371 136.1423 520.5014 138.6298 532.2539 487.2189 252.0834 484.7377 
frame00024.jpg 266.0298 136.1705 520.5083 138.5710 532.2649 487.0349 252.0498 484.4160 
frame00025.jpg 265.8385 135.9936 520.3481 138.5418 532.0874 486.7112 251.8580 484.1074 
frame00026.jpg 265.5508 135.7320 519.9901 138.4292 531.7028 486.5541 251.5887 483.8766 
frame00027.jpg 265.0910 135.4490 519.6066 138.2135 531.2235 486.4709 251.1315 483.6205 
frame00028.jpg 264.6113 135.0252 519.0590 137.9006 530.7156 486.4709 250.5373 483.6235 
frame00029.jpg 263.8802 135.1390 518.5634 137.7464 530.1526 486.1587 249.7701 483.9178 
frame00030.jpg 263.4521 134.7452 517.9945 137.8161 529.4198 486.0550 249.4128 483.2018 
frame00031.jpg 262.8662 134.6221 517.4894 137.7518 528.9225 485.6269 248.7958 482.8183 
frame00032.jpg 262.3658 134.3098 516.7656 137.3622 528.2249 485.6072 248.0986 482.9292 
frame00033.jpg 261.7612 134.0586 516.2902 137.3110 527.6259 485.0292 247.5236 482.5869 
frame00034.jpg 261.3553 133.6525 515.7441 137.0522 527.1066 484.9508 246.9843 482.2382 
frame00035.jpg 260.7047 133.2165 515.4359 136.8164 526.6161 484.5117 246.5083 481.7782 
frame00036.jpg 260.3723 132.8161 514.8809 136.5285 526.1143 484.6669 245.8771 481.8562 
frame00037.jpg 259.8331 132.7088 514.6070 136.4436 525.7513 484.1063 245.4924 481.3105 
frame00038.jpg 259.5100 132.4527 514.2417 136.2119 525.2578 484.2784 244.9013 481.4264 
