frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 241.0003 168.0023 430.9996 172.9978 426.9997 442.0021 244.9991 437.9980 
frame00002.jpg 241.3850 167.8253 431.7054 172.8163 427.5659 442.1256 245.4710 438.0632 
frame00003.jpg 242.0440 167.7555 432.4018 172.7829 428.1568 442.2872 245.9235 438.1582 
frame00004.jpg 242.4984 168.2171 432.9007 173.1956 428.7048 442.6241 246.5074 438.4795 
frame00005.jpg 243.0105 168.4324 433.4056 173.3699 429.1642 443.0184 246.8545 438.7257 
frame00006.jpg 243.2911 168.7092 433.7382 173.7818 429.4124 443.4501 247.1701 439.2522 
frame00007.jpg 243.8075 169.4891 434.0647 174.4841 429.7350 444.1113 247.6495 439.7756 
frame00008.jpg 243.8762 169.8842 434.0870 174.9781 429.7306 444.5623 247.6698 440.2057 
frame00009.jpg 243.8839 170.0376 434.1091 175.1510 429.7122 444.5764 247.6740 440.1609 
frame00010.jpg 244.1269 170.5018 434.1628 175.5543 429.6375 444.9711 247.8309 440.4413 
frame00011.jpg 243.9912 170.8131 433.9661 175.8761 429.6226 445.1186 247.7756 440.5142 
frame00012.jpg 244.0580 171.3078 433.9129 176.3664 429.6468 445.7570 247.7373 441.1884 
frame00013.jpg 244.3662 172.5246 434.0513 177.6109 429.7153 446.8419 248.0416 442.1850 
frame00014.jpg 244.9631 174.1828 434.3223 179.1913 430.1673 448.0609 248.5675 443.2870 
frame00015.jpg 245.4320 175.7073 434.6623 180.6933 430.3445 449.2408 249.0098 444.3588 
frame00016.jpg 245.8728 176.7607 434.9443 181.7390 430.6387 450.1689 249.5246 445.2882 
frame00017.jpg 246.6217 177.6871 435.6273 182.6874 431.3306 451.0148 250.1180 446.1425 
frame00018.jpg 247.3860 178.4667 436.2263 183.5592 432.0137 451.7271 250.7150 446.7862 
frame00019.jpg 248.1683 179.3016 436.9703 184.3145 432.8320 452.5679 251.6038 447.5173 
frame00020.jpg 248.8886 179.8131 437.7579 184.7704 433.5124 452.9285 252.2632 448.0745 
frame00021.jpg 249.5691 180.1551 438.5270 185.0166 434.3003 453.5996 252.9950 448.3957 
frame00022.jpg 250.3381 180.4194 439.3085 185.2799 435.1727 453.6980 253.8445 448.5678 
frame00023.jpg 251.2758 180.3285 440.2766 185.1443 436.0308 453.6664 254.7255 448.4219 
frame00024.jpg 252.3676 180.3574 441.1248 185.1768 436.9633 453.4438 255.7764 448.3845 
frame00025.jpg 253.5885 180.0849 442.2617 184.8053 438.1873 452.8753 257.2344 447.7417 
frame00026.jpg 255.3936 179.8350 443.6729 184.4665 439.3984 452.0680 258.8507 446.8944 
frame00027.jpg 256.9677 178.6447 445.0474 183.2829 440.7615 450.5775 260.4658 445.2955 
frame00028.jpg 258.9689 177.8963 446.6687 182.6001 442.2787 449.2926 262.5102 443.9655 
frame00029.jpg 261.5016 178.2713 448.4551 182.9092 444.1437 448.9261 265.0243 443.5793 
frame00030.jpg 265.0375 181.1788 450.6621 185.7905 446.2173 449.8344 268.7327 444.4263 
frame00031.jpg 269.5724 187.2278 452.8005 191.8187 448.4268 452.8960 272.9609 447.3472 
frame00032.jpg 274.9754 197.4281 454.3141 201.8573 449.7554 457.4875 278.0710 451.7314 
frame00033.jpg 279.4831 207.8514 454.8667 212.3353 450.1360 461.6917 282.0648 455.8775 
frame00034.jpg 283.1557 216.2603 454.4622 220.7781 449.7362 463.2159 285.9938 457.4272 
frame00035.jpg 287.5446 223.8037 454.2941 228.2900 449.5874 463.7685 290.1506 457.7984 
frame00036.jpg 292.4254 230.5074 454.0976 235.1019 449.4834 463.0807 294.6123 457.3416 
frame00037.jpg 297.4333 236.6363 454.3383 241.2552 449.7290 462.0868 299.3742 456.3048 
frame00038.jpg 302.3712 243.0939 454.5105 247.7453 449.9324 461.3975 304.1577 455.5803 
frame00039.jpg 307.7853 248.6893 455.0749 253.4088 450.3527 459.6492 309.2018 453.8091 
frame00040.jpg 313.2065 252.8665 455.7623 257.5280 450.9042 456.9047 314.2574 450.9978 
frame00041.jpg 318.2014 254.7103 456.6129 259.3708 451.5698 451.9402 319.1859 445.9341 
frame00042.jpg 322.8727 253.8334 456.9992 258.5709 451.8350 444.7307 323.5206 438.7140 
frame00043.jpg 326.8700 250.8308 457.3021 255.6161 451.8118 436.2229 327.2559 430.3620 
frame00044.jpg 330.2405 246.6918 456.8899 251.3991 451.1326 426.3386 330.5709 420.5250 
