frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 235.9999 101.9996 497.0005 99.0006 495.0007 540.0005 244.0002 538.0012 
frame00002.jpg 237.0686 102.2010 497.5712 99.3212 495.5742 539.7646 244.7755 537.5939 
frame00003.jpg 238.4525 102.1156 498.6633 99.4556 496.2786 539.4711 245.8435 537.1776 
frame00004.jpg 239.8713 102.1432 499.9436 99.6485 497.3016 539.2488 247.1971 536.6108 
frame00005.jpg 241.5281 102.1830 501.1328 100.0081 498.1631 538.6935 248.5656 535.7284 
frame00006.jpg 242.9705 101.5270 502.3028 99.7438 498.9880 537.8422 249.6494 534.6631 
frame00007.jpg 244.3101 100.6795 503.4580 99.2046 499.7736 536.6896 250.7398 533.3005 
frame00008.jpg 245.6087 99.3977 504.5019 98.2368 500.5331 535.0889 251.9194 531.5300 
frame00009.jpg 247.0689 97.8085 505.6740 97.1218 501.2910 533.3099 252.9662 529.6160 
frame00010.jpg 248.3675 95.9536 506.8409 95.4157 502.2937 530.9803 254.2359 527.1143 
frame00011.jpg 249.8304 93.4182 507.9681 93.3494 502.9778 527.9731 255.5941 523.9797 
frame00012.jpg 251.3115 90.5537 509.1290 90.5691 503.7530 524.0583 257.0766 520.1796 
frame00013.jpg 252.8177 86.6105 510.4267 86.8258 504.7461 519.3829 258.6369 515.4686 
frame00014.jpg 254.5725 81.6395 512.1978 82.0591 506.1702 513.8601 260.6131 509.8106 
frame00015.jpg 256.6429 75.7052 514.2853 76.3157 507.6847 507.4426 262.8063 503.5362 
frame00016.jpg 258.9047 69.2339 516.5032 69.8657 509.4276 500.3150 265.3474 496.3963 
frame00017.jpg 261.4726 62.5412 518.8921 63.3124 511.2234 492.5748 268.3448 488.6717 
frame00018.jpg 264.0092 55.2266 521.7125 56.1213 513.3885 484.9612 271.0503 481.2991 
frame00019.jpg 266.4823 48.3073 524.2007 49.4934 514.8191 477.8662 273.6659 474.2479 
frame00020.jpg 268.2292 45.1189 525.9072 46.5931 515.9342 474.7338 275.4986 471.2746 
frame00021.jpg 268.6785 43.8273 528.0490 46.0411 516.7292 475.6547 276.1710 472.3853 
frame00022.jpg 268.9626 48.8089 528.6506 51.7432 516.6165 481.1595 276.4099 478.0100 
frame00023.jpg 268.0836 56.9266 529.6628 60.4566 516.6302 491.2131 275.7063 488.0652 
frame00024.jpg 267.3641 69.7846 529.7944 73.7244 515.9976 503.1718 275.6189 500.0309 
frame00025.jpg 266.2638 84.6131 529.9742 89.1387 515.2260 517.5824 274.6337 514.5560 
frame00026.jpg 264.7294 101.7706 529.1135 106.8490 513.5148 532.2870 273.2016 529.4515 
frame00027.jpg 263.1404 117.8905 527.3732 123.8047 510.9563 544.0111 272.1533 541.3452 
frame00028.jpg 262.4440 134.2418 525.8477 140.5741 508.5125 554.5260 271.9587 551.8181 
frame00029.jpg 263.6548 151.4357 524.5886 158.0965 506.7040 563.4839 273.5818 560.6493 
frame00030.jpg 267.0745 168.2013 524.6058 174.8647 506.1321 570.3433 276.6648 567.2392 
frame00031.jpg 271.0184 182.9335 525.1933 189.9359 505.9976 575.5169 280.6103 572.0288 
frame00032.jpg 276.4349 197.1954 525.9791 204.3032 506.0798 578.9905 285.2495 575.0981 
frame00033.jpg 281.9677 209.2031 527.7406 216.8078 506.7936 580.4479 290.4333 576.2201 
frame00034.jpg 288.4246 219.7179 529.5912 227.8781 507.7619 580.5292 295.8970 576.1064 
frame00035.jpg 294.4180 227.2813 531.8107 236.0663 508.4489 578.4527 300.9843 573.9831 
frame00036.jpg 300.2224 234.5450 532.6011 243.7143 508.2853 575.4891 305.5812 571.0050 
frame00037.jpg 305.3038 240.8703 532.2097 250.7631 507.1330 571.5649 309.2569 567.0926 
frame00038.jpg 308.7453 246.3522 530.2347 256.6555 504.8452 566.4771 311.7578 562.4492 
frame00039.jpg 311.0715 250.5677 527.1655 261.2740 501.4875 561.1237 313.1794 557.1398 
frame00040.jpg 312.3513 254.6947 522.9363 265.5784 497.1573 555.0806 313.6399 551.4577 
frame00041.jpg 312.5437 258.5791 517.7881 269.2070 492.3499 549.5191 313.4693 546.0643 
frame00042.jpg 312.2979 261.6148 512.7526 272.0947 487.5703 543.7056 312.9324 540.6574 
frame00043.jpg 312.1017 264.5025 507.6560 274.6525 483.0670 537.9322 312.5408 535.2754 
frame00044.jpg 312.1339 267.6161 502.4647 277.6627 478.5252 532.5171 312.2117 530.1997 
frame00045.jpg 312.3324 270.1046 498.1751 279.4023 474.5460 526.7368 312.1288 525.2837 
frame00046.jpg 312.2339 271.7329 493.8070 280.4671 470.7620 520.8676 311.8475 520.1251 
frame00047.jpg 312.4487 272.5910 489.7461 280.8235 467.2086 514.7488 311.8834 514.7376 
frame00048.jpg 312.4369 272.6103 486.0866 279.9203 464.2402 508.7132 311.7938 509.3486 
frame00049.jpg 312.7696 271.6951 482.7594 278.4752 461.4121 501.7558 312.2403 503.2436 
frame00050.jpg 313.9319 270.7519 479.7166 276.0296 459.2138 494.2958 312.8756 497.0869 
frame00051.jpg 315.4437 267.9864 478.0968 272.6991 457.5890 485.8253 314.6400 490.2631 
frame00052.jpg 317.1240 264.2424 476.5458 268.1514 456.7711 477.6860 316.1830 482.7893 
frame00053.jpg 319.2510 259.0073 475.8048 262.1556 456.4930 468.3868 318.2131 474.6490 
frame00054.jpg 320.9727 252.4962 474.8778 255.3210 455.7835 458.2300 319.8799 465.6755 
frame00055.jpg 323.1745 245.4319 474.4580 247.0959 455.7621 447.7723 321.7151 456.5613 
frame00056.jpg 324.6558 240.4133 473.7894 241.1931 455.3004 439.4789 323.4387 449.3903 
frame00057.jpg 325.5895 235.7760 471.9859 235.5720 454.4019 432.1949 324.2498 442.6738 
frame00058.jpg 325.9232 231.4384 470.4677 230.5620 452.8024 424.6318 325.1278 436.2239 
frame00059.jpg 327.7498 231.0263 468.8432 229.2902 452.2241 419.6255 326.9256 432.0893 
frame00060.jpg 329.4368 231.2924 467.6120 228.1443 451.8061 416.5651 328.4946 429.6301 
frame00061.jpg 330.1781 231.9768 466.2602 227.9837 450.7115 412.9200 329.3930 427.0808 
frame00062.jpg 331.0974 231.6695 463.4803 226.9558 450.0770 411.3107 329.5915 425.2810 
frame00063.jpg 330.7281 232.0615 461.7959 226.2745 447.7624 406.6353 330.1594 422.0972 
frame00064.jpg 330.4799 231.4583 459.5150 224.9200 446.0595 403.1729 330.3906 418.9435 
frame00065.jpg 331.0533 230.2143 456.9798 223.3867 445.1730 400.6543 330.4438 416.4822 
frame00066.jpg 331.3089 228.7287 456.4789 221.2245 444.2587 395.7133 331.7130 412.4128 
