frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 222.9200 165.5500 617.2100 152.0800 629.1900 433.0300 234.9700 446.5400 
frame00002.jpg 223.1721 165.4933 617.2527 151.9060 629.2097 432.6875 235.1988 446.4011 
frame00003.jpg 223.3880 165.4315 617.4378 151.9689 629.1836 432.5552 235.2751 446.3085 
frame00004.jpg 223.6166 165.2120 617.4747 151.9109 629.2852 432.4090 235.3748 446.2378 
frame00005.jpg 223.8188 165.1156 617.5178 151.6807 629.4275 432.1335 235.6405 446.1315 
frame00006.jpg 223.9440 165.1676 617.5998 151.5316 629.5178 431.8534 235.8728 446.0841 
frame00007.jpg 224.0277 165.1014 617.5457 151.4266 629.7306 431.7414 235.9301 446.1816 
frame00008.jpg 224.3708 165.0898 617.8763 151.7094 629.8105 432.0940 236.1621 446.1318 
frame00009.jpg 224.8204 165.2178 618.4330 152.2711 629.9205 432.5322 236.2727 446.1088 
frame00010.jpg 225.3731 165.3228 618.7995 152.7583 630.2037 433.0867 236.3274 446.2216 
frame00011.jpg 225.6599 165.3277 619.2549 153.0304 630.3304 433.4580 236.5280 446.2209 
frame00012.jpg 225.8964 165.3900 619.6154 153.1021 630.6582 433.6457 236.8539 446.2337 
frame00013.jpg 226.1277 165.6290 619.9241 153.2046 631.0518 433.7998 237.1676 446.4470 
frame00014.jpg 226.3402 165.7738 620.3094 153.5111 631.2388 434.0099 237.3654 446.5742 
frame00015.jpg 226.5093 165.9318 620.5396 153.7226 631.4616 434.2697 237.5707 446.7012 
frame00016.jpg 226.5928 165.9762 620.6511 153.7787 631.6023 434.4766 237.5963 446.8280 
frame00017.jpg 226.7199 165.9829 620.7427 153.7332 631.7576 434.5172 237.6749 446.8367 
frame00018.jpg 226.8997 165.8895 620.8767 153.7706 631.8891 434.6728 237.6783 446.8617 
frame00019.jpg 227.4286 165.6896 621.1806 154.3467 631.7913 435.4685 237.3645 446.8287 
frame00020.jpg 228.1042 165.3764 621.6944 155.4305 631.5904 436.9528 236.9310 446.7106 
frame00021.jpg 228.8503 165.2206 622.3361 156.4425 631.6146 438.2693 236.8070 446.7269 
frame00022.jpg 229.2683 165.3075 622.8713 157.2281 631.6620 439.0907 236.8052 446.7757 
frame00023.jpg 229.4504 165.4098 623.1402 157.6118 631.7252 439.6543 236.7145 446.9633 
frame00024.jpg 229.7687 165.3046 623.3750 158.0413 631.7077 440.3983 236.3868 447.0595 
