frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 234.9400 217.0900 584.4200 179.7400 630.2800 460.7900 280.8000 498.2000 
frame00002.jpg 237.1678 215.6894 587.4443 180.6983 629.6390 463.3631 279.5300 497.4701 
frame00003.jpg 244.6131 210.7493 596.5793 180.9846 628.3850 468.0940 275.6156 492.8210 
frame00004.jpg 252.6549 207.3180 607.7990 180.4974 628.5124 477.7227 275.9912 494.1227 
frame00005.jpg 259.6054 202.4371 617.6002 180.2375 629.3984 484.2231 276.1726 492.6492 
frame00006.jpg 265.3514 197.3443 625.6619 180.7543 629.5043 489.8498 276.6414 490.5816 
frame00007.jpg 269.8889 192.1481 632.8163 180.8205 629.1537 494.9577 276.2915 488.5976 
frame00008.jpg 269.1834 190.7024 633.7762 181.3424 627.8987 497.6737 274.1438 488.8985 
frame00009.jpg 266.8772 188.7419 629.6402 178.5452 627.6439 486.8593 267.5768 480.3036 
frame00010.jpg 264.7362 182.7327 626.5366 171.3616 630.7642 468.3715 262.5699 465.4702 
frame00011.jpg 264.8400 177.6778 625.8481 159.9910 640.3174 448.7193 268.2859 454.8834 
frame00012.jpg 266.2295 174.8453 625.7853 150.7224 651.0517 429.6427 275.6114 445.3585 
frame00013.jpg 266.8455 174.6622 626.3671 149.6201 653.7766 427.3093 277.8662 444.6115 
frame00014.jpg 266.2027 177.8771 625.0926 151.6006 654.3468 427.5402 278.3722 446.5937 
frame00015.jpg 265.8699 183.6797 622.9178 151.8155 659.0051 424.5809 284.6114 450.6935 
frame00016.jpg 266.2700 192.0268 619.8430 148.4591 670.4017 414.8602 299.3324 456.0119 
frame00017.jpg 270.5755 196.4929 622.0081 151.4584 677.4807 408.2686 305.0342 452.7950 
frame00018.jpg 271.7228 200.0868 622.6883 153.9491 680.8788 408.8925 308.2874 455.3647 
frame00019.jpg 268.4737 210.5052 617.6392 156.8268 686.0895 404.8297 313.8529 461.4512 
frame00020.jpg 263.3764 220.0802 610.1532 158.5497 688.5324 399.7488 317.8264 467.0255 
frame00021.jpg 258.4373 225.2850 602.8091 158.1205 688.9009 389.1025 318.2699 464.4136 
frame00022.jpg 252.0792 229.9013 594.4384 156.6995 686.6925 379.1637 316.0056 462.2325 
frame00023.jpg 244.4219 233.3033 585.0312 155.5860 682.0784 368.8203 311.0077 458.0566 
frame00024.jpg 240.0512 234.8232 579.4548 153.5802 679.6457 361.7863 309.0301 455.6760 
frame00025.jpg 233.9623 236.5752 571.3854 151.6542 675.5150 351.3241 305.3581 450.3558 
frame00026.jpg 226.5173 238.9304 561.4404 150.1358 670.5240 339.4323 301.7830 444.0984 
frame00027.jpg 218.1913 241.2402 550.3106 147.6368 664.1293 326.1518 297.3186 437.4043 
frame00028.jpg 209.8920 246.1360 537.8505 145.1456 657.4525 309.7940 294.0342 430.5158 
frame00029.jpg 203.2039 252.7924 527.8073 143.7813 651.2504 296.6917 289.9845 426.9261 
