frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 265.0000 119.0000 581.0000 119.0000 581.0000 411.0000 265.0000 411.0000 
frame00002.jpg 266.6162 118.7279 582.9238 120.6383 581.1840 412.9213 265.4002 411.3194 
frame00003.jpg 267.6436 118.6763 583.7037 122.3934 581.2993 413.4942 265.8830 411.0525 
frame00004.jpg 269.4799 118.3859 584.9363 123.1809 582.1271 413.0315 267.3806 410.5322 
frame00005.jpg 271.1291 118.8708 586.0483 124.1982 582.3850 413.1250 268.3960 411.0406 
frame00006.jpg 271.7148 119.2313 586.1556 125.0125 582.0305 412.7062 268.5619 411.2816 
frame00007.jpg 271.5690 119.1888 585.8206 124.8664 581.2533 411.8193 268.0350 411.2774 
frame00008.jpg 269.9519 119.5315 584.3401 125.4299 579.2213 413.1146 265.8300 412.9438 
frame00009.jpg 267.6978 120.5347 582.4095 126.7543 577.6744 413.7001 264.0100 413.8064 
frame00010.jpg 266.2896 120.8096 581.4304 127.3838 576.5771 413.6915 262.8708 414.2250 
frame00011.jpg 264.8709 119.8569 580.6464 126.4478 575.7470 412.5432 261.8805 414.0365 
frame00012.jpg 264.0613 119.0831 580.3571 125.3048 575.5215 410.7405 261.7230 413.2498 
frame00013.jpg 263.5989 117.8464 580.2033 124.5669 574.5649 410.8867 260.6938 413.3499 
frame00014.jpg 262.4093 117.9872 579.2603 125.6273 573.0955 411.6353 259.1855 413.7971 
frame00015.jpg 261.5947 117.6398 578.4697 126.5114 572.0307 412.0721 258.0312 413.3086 
frame00016.jpg 261.5123 116.6983 578.4875 126.9192 571.3611 412.5607 257.4895 413.3238 
frame00017.jpg 261.2399 117.2348 578.3408 128.9159 569.8900 414.1676 256.2203 414.4155 
frame00018.jpg 260.6460 117.5012 577.7747 131.2175 568.5854 415.2733 255.0941 414.8059 
frame00019.jpg 261.0139 116.7892 578.1248 131.8759 568.5023 414.9071 255.2811 414.3335 
frame00020.jpg 262.0582 116.2428 579.3283 132.0053 568.9897 414.6115 255.9357 414.0827 
frame00021.jpg 262.7907 115.9459 580.3348 132.5615 568.9543 415.1839 255.9235 414.3279 
frame00022.jpg 262.8443 115.2382 580.7675 132.8926 568.4481 414.9846 255.2784 413.8231 
frame00023.jpg 262.4406 113.8106 580.9508 132.6491 567.8183 414.3278 254.4783 412.7456 
frame00024.jpg 262.4367 111.6216 581.4782 131.7957 567.5660 413.6174 254.1571 411.7544 
frame00025.jpg 262.6546 110.7840 582.2405 131.5095 567.5500 412.7169 254.2088 411.3138 
frame00026.jpg 262.7776 108.8952 582.9113 130.2752 567.3993 411.6484 253.8825 410.4042 
frame00027.jpg 262.7986 107.7809 583.6080 129.8883 567.5815 411.5948 253.8932 410.3790 
frame00028.jpg 263.5773 107.7822 585.1257 130.6337 568.3053 413.1511 254.1735 411.2305 
frame00029.jpg 263.7384 107.6165 586.0260 131.5643 568.2228 413.9815 253.4407 411.2167 
frame00030.jpg 263.1983 107.8687 586.3317 131.8945 568.4506 415.0111 253.2854 412.5314 
frame00031.jpg 263.2520 108.8378 586.9726 132.8245 568.7247 415.9804 253.3232 413.6783 
frame00032.jpg 263.4033 109.6271 587.5690 134.2729 568.6353 417.2401 253.1364 414.5877 
frame00033.jpg 263.9041 109.8837 588.2454 135.1056 568.9736 417.2190 253.5658 414.4840 
frame00034.jpg 264.8017 108.9538 589.1277 134.8113 569.0253 416.5060 253.8159 413.7122 
frame00035.jpg 265.1932 108.3816 589.4599 135.1336 568.3682 416.4182 253.6613 414.0320 
frame00036.jpg 265.5214 107.9221 589.8214 134.7370 568.3366 414.5263 254.1773 413.4137 
frame00037.jpg 266.6064 106.7606 590.9487 133.4572 568.9730 413.0441 255.2341 412.8513 
frame00038.jpg 267.6445 106.5074 592.0578 133.0854 569.4596 412.7852 255.9011 413.3701 
frame00039.jpg 267.8326 107.1203 592.6755 133.3682 569.5344 412.7528 256.0150 414.3273 
frame00040.jpg 267.6497 107.1765 593.0363 132.8324 569.9152 411.9644 256.2789 414.4765 
frame00041.jpg 268.1227 107.0671 593.8997 132.0195 570.9310 411.0693 257.3272 414.5320 
frame00042.jpg 269.2337 106.6305 595.1312 131.2663 571.7141 410.6585 258.3791 415.0200 
frame00043.jpg 270.2323 107.0548 596.1339 131.7545 571.8125 410.2563 258.8125 415.1180 
frame00044.jpg 271.0750 105.7418 596.7461 131.4083 571.3887 409.2137 258.8953 414.0106 
frame00045.jpg 272.0989 104.3951 597.2758 131.2323 570.8333 408.3210 259.0905 412.9612 
frame00046.jpg 273.1743 103.4058 597.4343 131.9749 569.5504 408.7856 258.6729 412.6529 
frame00047.jpg 274.1435 103.1169 597.2778 134.1935 568.0345 409.9809 258.1767 412.7888 
frame00048.jpg 275.7893 103.8051 597.7064 137.2725 566.6569 411.1875 258.0988 413.2851 
frame00049.jpg 277.6870 104.3623 598.4575 139.5900 565.8159 411.7573 258.6996 413.7103 
frame00050.jpg 280.4732 105.4863 599.9163 142.1796 565.5937 412.6102 259.9065 414.2811 
frame00051.jpg 283.2613 106.6745 601.3802 144.8485 565.2646 414.6676 260.6262 415.8854 
frame00052.jpg 285.3090 109.4539 602.4272 149.3104 564.9254 417.7903 261.0093 418.1884 
frame00053.jpg 287.6832 111.6370 604.0330 153.1535 565.3050 420.4470 261.9468 419.5494 
frame00054.jpg 290.1685 112.8932 605.6389 156.4868 565.4677 422.8540 262.6356 420.2819 
frame00055.jpg 292.6284 113.4466 607.2847 159.1584 565.7000 423.7995 263.6158 420.0813 
frame00056.jpg 295.6581 113.4387 609.3658 160.6278 565.8548 424.1625 264.8165 419.9573 
frame00057.jpg 298.3649 112.4156 611.1093 161.6257 565.7607 423.5170 265.3840 418.2096 
frame00058.jpg 300.4565 110.1337 612.7791 160.8551 566.0483 422.3616 266.1105 416.7277 
frame00059.jpg 302.1363 109.0722 614.5888 160.1329 566.7207 421.4393 266.9936 416.1654 
frame00060.jpg 302.8832 107.7303 615.8863 159.0706 566.9432 420.4295 266.8637 415.0250 
frame00061.jpg 302.3197 106.0349 616.0369 157.6207 566.8448 419.2789 266.2889 414.2964 
frame00062.jpg 301.7326 105.0577 616.1995 155.7536 566.7803 417.5129 266.1400 413.8578 
frame00063.jpg 301.0170 103.9443 615.7871 154.4021 565.6495 416.2643 264.9780 413.2211 
frame00064.jpg 300.0109 103.0272 614.8008 153.8172 564.1861 415.3779 263.6606 412.8887 
frame00065.jpg 299.0938 102.2463 613.8362 153.3686 562.7360 414.8590 262.2447 412.7567 
frame00066.jpg 297.9402 100.8893 612.5882 153.2203 560.6682 414.2778 260.1786 411.6739 
frame00067.jpg 297.1472 99.4221 611.7337 153.2914 559.3632 413.9229 259.1161 410.8500 
frame00068.jpg 297.3857 98.6347 611.5718 153.1180 558.5535 413.3669 258.7885 410.4612 
frame00069.jpg 297.7327 98.3839 611.3721 153.3260 557.6933 412.8766 258.5269 410.4481 
frame00070.jpg 298.4256 98.1098 611.2449 153.2972 556.8660 411.8323 258.4683 409.9836 
frame00071.jpg 299.3693 96.6947 610.9634 152.1120 555.6276 409.4460 258.4921 408.6881 
frame00072.jpg 300.3483 95.9624 610.5593 151.3517 554.3725 407.3260 258.6674 407.6793 
