frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 291.0000 150.0300 564.0600 149.9400 564.0600 444.0600 291.0300 443.9500 
frame00002.jpg 291.5086 149.9718 564.4706 150.0401 564.7366 444.0839 292.0388 443.4728 
frame00003.jpg 292.9757 149.2041 566.2797 149.8036 565.4185 443.7414 292.4371 442.8638 
frame00004.jpg 292.1949 148.4057 565.3653 148.7239 564.3321 443.1571 291.1555 442.6686 
frame00005.jpg 290.4718 148.8805 563.7824 148.8493 563.3875 443.5630 290.0178 443.5308 
frame00006.jpg 289.6979 149.0838 563.1757 149.2040 562.9689 443.5179 289.8491 443.6924 
frame00007.jpg 290.5947 149.8649 563.5248 149.6905 564.1080 443.5597 291.1476 443.4729 
frame00008.jpg 291.9337 149.4931 565.0806 150.0589 564.6797 444.5815 291.7168 443.8042 
frame00009.jpg 291.7052 150.6876 564.6240 150.9714 564.3928 445.3288 291.1543 445.1415 
frame00010.jpg 290.5438 151.6101 563.7941 151.3898 563.7744 445.6075 290.5048 445.4475 
frame00011.jpg 290.7703 151.4540 563.8547 151.2822 564.4464 445.2507 291.2892 444.6811 
frame00012.jpg 291.6485 150.5793 564.4285 151.0047 563.9684 445.0719 290.9785 444.4453 
frame00013.jpg 291.1396 150.8754 563.6149 151.3500 563.7618 445.1729 290.8166 444.4232 
frame00014.jpg 291.5335 150.3665 564.3160 150.3431 564.7758 444.6227 291.6292 443.8127 
frame00015.jpg 292.5967 150.6596 565.3673 150.3687 565.3856 445.7802 292.0884 444.0828 
frame00016.jpg 292.9609 150.9046 565.6845 150.7083 565.2477 446.0567 292.0789 444.2162 
frame00017.jpg 292.7664 150.8749 565.2316 150.3604 564.9348 446.8697 291.8138 444.9250 
frame00018.jpg 292.9509 152.2848 565.4557 151.6785 565.3487 448.6927 292.3701 445.7228 
frame00019.jpg 295.2881 152.1896 567.9674 152.0082 567.8122 448.5071 294.9390 443.5653 
frame00020.jpg 298.4511 151.1675 571.3376 151.2933 569.4985 448.5680 296.6459 441.7752 
frame00021.jpg 299.7739 150.8067 572.1258 151.2364 569.5687 448.6628 296.9229 441.0977 
frame00022.jpg 299.8599 151.5948 572.1708 151.2146 569.0363 448.7657 297.0473 441.1986 
frame00023.jpg 299.4370 151.8960 571.3936 151.7528 568.1851 449.4529 296.4681 441.7128 
frame00024.jpg 299.2841 152.6346 571.0123 152.0333 567.9995 449.3757 295.8612 440.8218 
frame00025.jpg 299.5840 152.3810 571.5673 151.9943 568.2960 450.6072 295.9293 440.4325 
