frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 286.0000 180.0000 544.0000 180.0000 544.0000 390.0000 286.0000 390.0000 
frame00002.jpg 287.0394 179.5012 545.0959 179.4963 544.6656 389.3042 286.6848 389.1359 
frame00003.jpg 287.6606 178.4192 545.5343 179.0481 545.0766 388.6697 287.3789 387.9161 
frame00004.jpg 288.7003 177.9090 545.9446 178.5532 545.3998 388.1831 287.9525 387.3131 
frame00005.jpg 288.6310 177.0162 546.0665 177.9879 544.9896 387.6868 287.2380 386.4849 
frame00006.jpg 284.6819 176.2850 542.0544 177.6066 540.3763 386.9710 283.0026 385.7870 
frame00007.jpg 282.7560 175.5293 539.7521 177.6637 538.3646 386.6691 281.3806 384.7380 
frame00008.jpg 282.6385 175.1451 539.3513 177.4171 538.0398 386.4427 281.3724 384.1630 
frame00009.jpg 282.7073 175.1400 539.2018 177.1760 537.9476 385.9143 281.5602 383.8863 
frame00010.jpg 283.0189 174.9571 539.0686 177.4285 537.6686 385.9733 281.5610 383.5472 
frame00011.jpg 283.0930 175.0177 538.8353 178.0052 537.1826 386.2110 281.5645 383.3217 
frame00012.jpg 283.2116 175.7087 538.4896 178.8060 536.8207 386.7815 281.5524 383.7975 
frame00013.jpg 283.1837 176.4928 538.2086 179.4590 536.5580 386.9700 281.6368 384.2540 
frame00014.jpg 283.4008 177.0497 537.8665 180.0827 536.2649 387.4077 281.6454 384.5432 
frame00015.jpg 283.1768 178.0443 537.4766 181.2681 535.5003 388.6037 281.2266 385.2381 
frame00016.jpg 283.0033 179.0762 536.8740 183.0029 534.5917 390.1497 280.7831 385.8622 
frame00017.jpg 283.0384 179.1880 536.5502 184.5291 533.5995 391.0977 280.2514 385.4346 
frame00018.jpg 283.1690 178.6037 536.2120 185.2516 532.5852 390.8631 279.8997 383.9167 
frame00019.jpg 283.3617 176.3714 535.8792 183.7537 531.7848 388.7298 279.9706 380.9420 
frame00020.jpg 284.0441 174.2761 535.7360 182.1649 531.9481 386.4739 281.1239 378.2212 
frame00021.jpg 287.8872 172.0799 538.7985 180.0677 535.2500 383.8574 285.2024 375.2755 
frame00022.jpg 292.8515 170.1594 542.9320 178.0041 539.2746 381.1815 290.3669 372.2916 
frame00023.jpg 297.3610 168.2034 546.5156 175.8981 542.9034 378.2471 294.8892 369.6494 
frame00024.jpg 301.8941 166.5042 550.0061 173.8024 546.3107 375.6103 299.4597 366.9475 
