frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 81.9400 119.0000 515.0300 118.9800 515.0300 373.0000 82.0410 372.9800 
frame00002.jpg 79.9643 122.4288 512.7502 122.0880 513.3730 374.6537 80.0703 375.5096 
frame00003.jpg 78.5053 123.5988 511.2137 123.1116 512.6130 375.3467 79.3055 376.5128 
frame00004.jpg 78.3914 124.6222 510.7862 124.0305 512.4956 376.1657 79.2476 377.5276 
frame00005.jpg 78.1735 125.6542 510.3487 124.7950 512.2806 376.7259 79.0465 378.3769 
frame00006.jpg 78.0249 126.2700 510.0879 125.2100 512.3555 376.6024 79.1103 378.5093 
frame00007.jpg 78.2501 126.3778 510.1877 125.2336 512.7179 377.5251 79.4393 379.5325 
frame00008.jpg 78.6814 128.2613 510.4608 126.8521 512.9033 378.6028 79.8581 380.8202 
frame00009.jpg 78.5380 128.9381 510.0068 127.4388 512.6915 379.6113 79.3018 382.0267 
frame00010.jpg 78.1996 131.0074 509.6750 129.4970 512.5870 381.1953 79.1586 383.8149 
frame00011.jpg 78.2782 131.5237 509.6589 130.0411 512.9613 381.6897 79.4042 384.2957 
frame00012.jpg 79.2744 132.6455 510.5061 131.4208 514.1302 383.9456 80.3812 386.0043 
frame00013.jpg 80.7558 134.2935 511.8047 133.2617 515.0469 384.6567 81.4133 386.3607 
frame00014.jpg 81.5943 133.4503 512.5836 132.8078 515.4262 384.2260 81.6962 385.3942 
frame00015.jpg 82.3241 133.7235 513.1182 133.5705 515.6140 386.0730 81.7662 386.6516 
frame00016.jpg 82.1045 134.8357 513.0200 135.0883 515.0223 386.5736 81.0927 387.0888 
frame00017.jpg 81.6553 135.0229 512.5254 135.3815 515.0127 387.4001 80.9851 388.0425 
frame00018.jpg 82.1284 136.1821 512.9072 136.4605 515.6445 388.0450 81.5784 388.6341 
frame00019.jpg 82.7041 136.3990 513.3612 136.5583 516.0414 388.0508 81.9865 388.7085 
frame00020.jpg 82.7061 136.4394 513.4463 136.4068 515.9576 387.3652 81.9869 388.2339 
frame00021.jpg 82.4110 135.3776 513.2653 135.4033 515.8206 386.5828 81.7254 387.4362 
frame00022.jpg 81.9546 134.6294 513.2025 134.7433 515.4562 385.5390 81.4869 386.4757 
frame00023.jpg 81.8232 133.0938 513.1740 133.4287 515.5018 384.5822 81.4946 385.3028 
frame00024.jpg 82.0175 133.1335 513.5939 133.6521 515.8837 385.7353 81.3675 386.3155 
frame00025.jpg 81.5838 133.5397 513.6616 134.0277 515.7321 385.8411 80.8633 386.5249 
frame00026.jpg 81.4118 133.7129 513.3649 134.2545 515.4213 386.1762 81.1303 386.7910 
frame00027.jpg 81.7447 134.3551 513.1100 135.0065 515.0948 386.1956 81.4158 386.8872 
frame00028.jpg 82.2539 134.6781 512.8727 135.2124 515.0328 386.0172 82.2685 386.7134 
frame00029.jpg 83.1960 134.7743 513.1433 135.2726 515.7155 385.6709 83.1254 386.3055 
frame00030.jpg 84.0362 134.7033 514.1373 134.9283 516.9741 385.9365 84.0586 386.5103 
frame00031.jpg 84.5609 134.6542 515.2017 134.5637 517.7761 385.3594 84.4053 386.1909 
frame00032.jpg 84.6160 133.7526 515.7158 133.5044 518.1803 384.9568 84.8189 385.7348 
frame00033.jpg 85.3945 134.0353 516.3076 133.8711 518.8322 385.6752 85.5719 386.2363 
frame00034.jpg 85.9123 134.4563 516.8351 134.3143 519.2628 385.7389 86.0816 386.2234 
frame00035.jpg 86.7364 134.4330 517.4683 134.2271 520.1439 385.7206 87.0975 386.0738 
frame00036.jpg 88.5209 134.5016 518.8588 134.3323 522.0691 386.1053 89.0771 385.9105 
frame00037.jpg 91.0052 135.2525 520.9569 134.9320 524.0024 386.9117 91.4860 386.3986 
frame00038.jpg 92.8905 135.7522 522.4148 135.2969 525.1531 386.9945 92.7581 386.2675 
frame00039.jpg 94.0122 136.1824 523.1946 135.6179 525.9221 387.7505 93.5335 386.9594 
frame00040.jpg 94.7267 137.5064 523.5966 136.7170 526.4633 389.0641 94.1362 388.3852 
frame00041.jpg 95.2795 139.3117 523.6706 138.0927 526.8271 390.6321 94.4822 390.2174 
frame00042.jpg 95.5422 141.4395 523.4036 139.9645 526.6667 392.1317 94.4931 392.0234 
frame00043.jpg 95.0884 142.8270 522.3389 141.0929 525.8366 392.8931 93.5278 393.3261 
frame00044.jpg 94.4370 145.0181 520.9958 142.8370 525.6145 395.7307 93.1534 396.7021 
frame00045.jpg 94.7928 149.7382 520.6306 146.8455 525.6905 399.0543 93.4212 400.5733 
frame00046.jpg 94.8811 151.5679 520.0339 148.3697 525.7915 399.4010 93.5094 401.2539 
frame00047.jpg 95.5496 152.8766 520.0170 149.2453 526.4490 400.5064 94.3782 402.6523 
frame00048.jpg 96.1161 154.2019 520.1575 150.0398 526.8715 400.4619 94.8415 403.1748 
frame00049.jpg 96.2642 154.4994 520.0823 149.6921 527.1002 400.0338 95.1709 403.2361 
frame00050.jpg 96.2837 154.5123 519.8593 149.2215 526.8724 398.7841 95.2882 402.4514 
frame00051.jpg 95.6046 152.5487 519.1384 146.9301 526.2317 395.6513 94.9866 399.6261 
frame00052.jpg 95.7202 149.9838 519.1901 144.2169 526.8022 393.1848 95.8967 397.2386 
frame00053.jpg 96.7795 148.0324 520.1238 141.9095 527.5162 390.5877 97.0863 394.6237 
frame00054.jpg 97.4312 145.9143 520.7139 139.3242 528.3298 388.4975 97.9816 392.8510 
frame00055.jpg 98.1325 145.0100 521.3622 137.7918 529.3784 387.5383 99.0401 392.3481 
frame00056.jpg 98.8202 145.1556 521.9046 137.2060 530.0856 387.0653 99.7696 392.4586 
frame00057.jpg 98.8402 145.2505 521.7555 136.4391 530.5422 386.4780 100.0809 392.6839 
frame00058.jpg 100.2054 146.9851 522.4045 137.3396 532.8412 389.6705 102.2831 396.1544 
frame00059.jpg 103.2162 152.6833 524.4647 142.2605 535.5932 394.7868 104.9759 401.2386 
