frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 329.9500 196.0000 565.0500 195.9500 564.9900 435.9900 330.0400 435.9600 
frame00002.jpg 329.9713 196.4838 564.9561 196.9293 564.5073 435.8965 329.8676 435.2968 
frame00003.jpg 330.3788 196.0228 565.4505 196.5288 565.4730 435.5783 330.6057 435.1011 
frame00004.jpg 331.4355 196.0993 566.0384 196.3869 566.0796 435.4650 331.1633 435.1548 
frame00005.jpg 331.4755 196.3799 566.4302 196.2780 566.5334 435.3655 331.5938 435.3400 
frame00006.jpg 331.2307 196.6369 566.2474 195.3807 566.6697 434.4951 331.6218 435.4629 
frame00007.jpg 330.1539 196.6479 565.3535 194.9708 565.7734 434.7741 330.6214 436.2699 
frame00008.jpg 329.1256 197.0399 564.4254 195.4501 565.4232 435.0275 329.7026 436.2494 
frame00009.jpg 329.1045 196.3308 564.3865 194.8424 565.5528 434.4528 329.8622 435.6018 
frame00010.jpg 329.1833 196.0574 564.5019 194.8670 565.4622 434.5961 329.8525 435.5687 
frame00011.jpg 329.3414 195.8289 564.6827 195.0204 565.5319 434.6786 329.9245 435.2588 
frame00012.jpg 330.4091 196.0929 565.5273 195.9155 565.5322 436.0865 330.4839 435.9163 
frame00013.jpg 330.9591 197.4024 565.9891 197.5622 566.0641 437.6320 330.7798 436.7900 
frame00014.jpg 331.5608 198.8931 566.4058 199.6268 566.6320 439.1191 331.6286 438.0585 
frame00015.jpg 332.8685 200.1279 567.1967 201.0339 567.3481 440.6725 332.6040 439.3054 
frame00016.jpg 333.6055 202.3087 567.3452 203.6214 567.1927 442.7503 332.7668 441.1060 
frame00017.jpg 334.0558 202.9294 567.4881 204.5231 567.3082 442.1329 333.4125 440.5543 
frame00018.jpg 334.6004 202.2782 567.6495 203.7160 567.4340 441.7322 333.7040 440.6559 
frame00019.jpg 334.7195 204.0039 567.4520 205.1893 567.4432 443.3564 334.1486 442.3445 
frame00020.jpg 335.4535 205.2499 567.8356 206.8146 567.5553 443.8260 334.5588 442.5655 
frame00021.jpg 335.6386 205.2848 567.7427 206.8570 567.1941 443.9336 334.5553 443.0418 
frame00022.jpg 335.0950 205.9297 566.8381 207.5484 566.3191 443.7006 333.9966 443.0546 
frame00023.jpg 334.6562 205.7098 566.0964 207.4603 565.4019 443.4643 333.3675 442.8625 
frame00024.jpg 333.5941 204.3324 564.8250 206.3630 563.8182 441.2229 332.0327 440.8035 
frame00025.jpg 332.0081 202.8153 563.1550 204.5987 562.4011 439.7850 330.9963 440.2640 
frame00026.jpg 330.9605 202.6213 561.7629 203.9083 561.2106 438.7097 330.3078 439.8943 
frame00027.jpg 329.7444 202.1935 560.2418 203.3949 559.5399 437.1993 329.3476 439.2937 
frame00028.jpg 329.0319 201.5583 559.0099 202.5334 558.5605 436.1681 328.9960 438.7707 
frame00029.jpg 328.8133 201.0086 558.0743 202.5629 557.3599 435.2494 328.4536 437.7487 
frame00030.jpg 328.2628 200.2675 556.9391 202.3617 555.7496 434.8418 327.4940 437.4010 
frame00031.jpg 327.7183 200.0950 555.8174 203.1675 554.2134 434.8194 326.6887 436.7825 
frame00032.jpg 327.9006 199.3070 555.3656 203.5180 553.3640 434.8303 326.4600 436.1429 
frame00033.jpg 328.4693 199.2354 555.3621 204.2030 552.9015 434.3647 326.8319 435.4341 
frame00034.jpg 329.1820 198.5098 555.3723 204.3965 551.9194 433.9985 326.9432 434.8225 
frame00035.jpg 329.3645 198.3315 554.6902 204.8967 550.8089 433.6040 326.7123 434.5827 
frame00036.jpg 329.8512 198.6823 554.3492 205.7840 550.2503 433.3214 327.3676 434.4930 
frame00037.jpg 330.6895 197.8899 554.2078 205.3782 549.5504 432.3214 327.6091 433.6324 
frame00038.jpg 330.9124 198.2106 553.6582 206.2603 548.8871 432.6201 327.8545 433.6786 
frame00039.jpg 331.8549 197.8841 553.7549 206.3291 548.9370 431.4302 328.5338 432.5821 
frame00040.jpg 332.2927 197.4089 553.5972 205.7416 548.3960 430.6071 328.7374 432.1243 
frame00041.jpg 331.9458 197.0341 552.8243 205.4830 547.3297 429.6306 328.1673 431.3850 
frame00042.jpg 331.4184 196.6497 551.9795 205.3411 546.1738 429.6962 327.4590 431.4014 
frame00043.jpg 330.9829 196.9219 551.2968 205.7679 545.2521 429.6306 326.9268 431.5149 
frame00044.jpg 330.3625 197.3695 550.4919 206.0867 544.4322 429.6149 326.4796 431.9626 
frame00045.jpg 330.2528 197.8173 550.0800 206.1784 544.3030 429.4583 326.6622 432.3495 
frame00046.jpg 330.2202 197.3783 549.7782 205.8526 543.7379 428.0712 326.5018 431.1989 
frame00047.jpg 330.0152 196.2634 549.3027 204.8549 542.7191 427.0855 326.0814 430.4202 
frame00048.jpg 329.7071 195.6095 548.6221 204.5655 541.4739 426.2487 325.5032 429.6164 
frame00049.jpg 329.9411 194.2188 548.3334 204.0984 540.5643 425.2127 325.3035 428.1152 
frame00050.jpg 330.2660 193.4792 548.2234 204.3115 539.5526 425.1966 324.9531 427.8040 
frame00051.jpg 330.5875 193.3577 547.9737 204.8464 538.6641 425.0294 324.7889 427.5470 
frame00052.jpg 331.1243 193.9147 548.0317 205.6354 538.1662 425.4221 325.1393 428.2007 
frame00053.jpg 331.9823 193.9483 548.3831 205.7467 537.9957 424.4773 325.7675 427.3952 
frame00054.jpg 333.2063 194.5751 549.3477 206.7111 538.0527 425.7679 326.5149 428.8119 
frame00055.jpg 334.5468 195.8269 550.3149 208.1266 537.9556 426.2421 327.0689 429.1812 
frame00056.jpg 335.4011 196.3884 551.1888 209.4704 537.8201 427.0777 327.1643 429.4864 
frame00057.jpg 336.4916 195.9519 552.6793 209.7859 538.3807 427.5224 327.6533 428.9487 
frame00058.jpg 337.6119 196.0315 554.4252 210.7059 539.1041 428.0692 328.0537 428.4697 
frame00059.jpg 337.9295 195.1289 555.3133 210.1943 538.9764 428.0007 327.6439 428.0593 
frame00060.jpg 337.4293 195.0773 555.4614 210.4443 538.2737 428.0652 326.7404 428.1203 
frame00061.jpg 337.9270 193.9044 556.5775 209.9166 538.6334 427.2821 327.0933 426.7263 
frame00062.jpg 339.6663 192.2541 558.9119 209.0901 539.5017 426.4717 328.0789 425.3489 
frame00063.jpg 340.9292 191.2231 560.6560 208.7733 540.1324 426.2801 328.3777 424.3383 
frame00064.jpg 342.2983 188.9849 562.5099 208.0451 540.4722 425.1530 328.5953 421.8196 
frame00065.jpg 343.2745 186.0100 563.9253 206.8542 540.0234 424.4459 328.0328 419.7184 
frame00066.jpg 343.6395 184.9346 564.5691 207.4273 539.1041 424.9081 327.2365 419.0723 
frame00067.jpg 344.5312 185.2544 565.6274 209.3822 538.4409 426.4608 327.0552 419.5107 
frame00068.jpg 346.2929 185.5500 567.2814 210.8651 538.8085 427.3558 327.7370 419.5671 
frame00069.jpg 348.2658 185.9768 569.0263 212.1898 539.5554 428.0053 328.6890 419.4676 
frame00070.jpg 349.6184 186.4305 570.5273 213.0644 540.3776 429.2819 329.5615 420.2411 
frame00071.jpg 350.3848 187.1986 571.3711 214.2154 540.9222 430.0883 329.8659 420.4012 
frame00072.jpg 351.1996 187.0414 572.3812 214.6131 541.3080 430.5316 330.1987 420.2355 
frame00073.jpg 351.8003 186.8430 573.1550 214.9520 541.2717 430.3617 330.2352 419.4603 
frame00074.jpg 352.1121 185.6573 573.5881 214.2324 540.8154 429.4456 329.8869 418.1591 
