frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 236.0005 176.0010 462.9998 179.9993 462.0005 405.0018 236.9995 400.9980 
frame00002.jpg 236.2640 175.4809 463.1969 179.4999 462.3413 404.5215 237.1619 400.3862 
frame00003.jpg 236.1673 175.3603 463.3423 179.3305 462.1269 404.4955 237.3306 400.4908 
frame00004.jpg 236.3893 175.1811 463.5159 178.9882 462.4349 404.3174 237.1991 400.2425 
frame00005.jpg 236.3233 174.4909 463.5240 178.4659 462.3938 403.6671 237.3564 399.7627 
frame00006.jpg 236.3929 173.9609 463.5915 177.8911 462.4710 403.2232 237.3568 399.1588 
frame00007.jpg 236.0230 173.3251 463.4874 177.3896 462.4979 402.6927 237.2267 398.5687 
frame00008.jpg 235.9027 172.4212 463.5853 176.7653 462.4003 402.2179 237.2594 397.9943 
frame00009.jpg 235.5610 171.7128 463.7548 176.0264 462.2797 401.6263 237.2432 397.4712 
frame00010.jpg 235.4980 171.1923 463.6077 175.4614 462.4929 401.1940 236.9828 396.9076 
frame00011.jpg 235.1387 170.5835 463.7109 174.9770 462.0300 400.6656 236.6951 396.3810 
frame00012.jpg 234.6617 170.1084 463.3400 174.6086 461.5363 400.5889 236.0854 396.1885 
frame00013.jpg 234.2032 169.8027 462.7966 174.5316 461.3424 400.5707 235.5799 395.8859 
frame00014.jpg 233.4820 169.5489 462.3315 174.2999 460.7676 400.4813 234.9357 395.9131 
frame00015.jpg 232.6009 169.2854 461.7670 174.2508 460.0873 400.5349 234.0447 395.9581 
frame00016.jpg 231.4644 169.4252 460.7871 174.4246 459.0826 400.5938 232.8925 396.2806 
frame00017.jpg 230.3672 169.5834 459.7383 174.7256 458.1261 400.8760 231.7931 396.5278 
frame00018.jpg 229.3263 170.0316 458.5222 175.1575 456.8888 401.5809 230.4878 397.0480 
frame00019.jpg 228.0028 170.6590 457.3748 175.8806 455.5016 402.2834 229.3103 397.8493 
frame00020.jpg 226.9410 171.6104 456.2142 177.0265 454.5130 403.4113 228.0337 399.0669 
frame00021.jpg 225.7565 173.2796 455.1408 178.8385 453.3546 404.8291 226.8425 400.6672 
frame00022.jpg 224.3955 175.0873 453.6145 180.8552 452.4073 406.5942 225.1920 402.8107 
frame00023.jpg 222.5758 176.9924 452.3568 183.0719 450.4175 408.7090 223.2979 404.9863 
frame00024.jpg 220.6759 178.8415 450.5764 185.3667 448.8382 411.1161 220.8696 407.6020 
frame00025.jpg 218.8054 181.9321 448.5397 188.5875 446.7630 413.7453 218.7605 410.2511 
frame00026.jpg 216.0682 183.8512 446.4573 190.7771 444.5481 416.2556 216.1311 412.9581 
frame00027.jpg 213.5361 185.9582 444.2400 193.2433 442.3751 418.7079 213.2801 415.4542 
frame00028.jpg 210.5083 188.1049 441.7404 195.5005 439.8511 421.2773 209.9838 418.1714 
frame00029.jpg 206.9060 190.9330 439.1693 198.3795 436.8276 425.2838 206.5343 421.7838 
frame00030.jpg 203.4591 193.0585 436.5076 200.8352 434.0910 428.4367 202.1588 425.2063 
frame00031.jpg 198.6070 194.9464 433.0532 203.2913 430.9803 431.3743 197.9110 428.2093 
frame00032.jpg 194.5734 196.9035 430.1723 205.5314 428.0054 434.7757 193.8701 431.5643 
