frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 328.0500 215.0400 543.0400 214.9600 543.0000 441.0000 328.0300 440.9600 
frame00002.jpg 328.3767 213.5147 543.4200 213.0340 543.6730 438.8100 329.2238 439.4397 
frame00003.jpg 329.5202 213.5438 543.8558 212.2219 544.3577 438.5715 330.3404 439.9684 
frame00004.jpg 329.8336 214.5718 543.8788 213.0507 544.4600 438.4083 330.7187 440.0503 
frame00005.jpg 329.4995 214.8091 543.0116 212.5957 543.4768 438.1593 329.9123 440.4455 
frame00006.jpg 327.7859 216.0401 541.1642 214.0794 541.8723 439.2105 328.7837 441.9795 
frame00007.jpg 327.1936 217.8646 540.1038 216.0401 541.1117 440.9346 328.5179 443.7500 
frame00008.jpg 327.6925 220.7099 539.9811 218.8680 541.1953 443.3280 328.9809 446.0582 
frame00009.jpg 327.7099 223.1413 539.2874 221.5220 540.0053 444.7443 328.0907 447.4501 
frame00010.jpg 326.2883 224.5771 537.5085 223.2403 538.2136 445.9761 326.9058 448.9199 
frame00011.jpg 325.6540 226.0085 536.3369 224.1397 537.5543 445.9471 326.8126 449.7438 
frame00012.jpg 324.9273 227.1796 535.0105 224.1058 536.9268 444.7414 326.7041 449.8132 
frame00013.jpg 324.3706 227.4567 533.8293 222.9352 536.6953 443.2061 327.2753 450.0948 
frame00014.jpg 324.2269 228.6756 532.7078 222.8427 536.0503 441.5148 327.4195 449.9509 
frame00015.jpg 322.6519 228.1351 530.4514 221.0146 534.2831 438.7145 326.4382 448.8530 
frame00016.jpg 320.8676 226.9239 528.1937 218.7606 532.8273 435.0958 325.4753 446.3252 
frame00017.jpg 319.1573 224.3853 526.2515 215.8342 531.4198 432.5797 324.2474 444.9779 
frame00018.jpg 318.1537 224.9693 525.0568 215.9946 530.5941 433.3381 323.5641 445.8302 
frame00019.jpg 318.0268 225.2801 524.7811 216.7097 530.4084 433.4453 323.4968 445.6205 
frame00020.jpg 318.6340 224.7914 525.2637 216.1702 530.9233 432.3862 324.4942 444.8210 
frame00021.jpg 318.8517 224.7877 525.5599 215.8198 531.1425 432.1576 324.9266 445.5331 
frame00022.jpg 318.6677 225.2142 525.1630 215.8996 530.8976 431.3967 324.8743 445.0983 
frame00023.jpg 319.2527 224.4213 525.5706 214.7629 531.7527 430.6677 325.9955 445.1568 
frame00024.jpg 319.7541 225.0723 526.2405 215.2128 532.2774 430.5078 326.5491 445.4121 
frame00025.jpg 320.0255 225.1351 526.2635 214.7874 532.5992 430.0147 327.0742 445.2828 
frame00026.jpg 320.6237 224.5720 526.4734 213.5937 533.1643 428.2526 327.8349 444.0389 
frame00027.jpg 320.4333 224.2281 525.8995 212.2134 532.6018 426.7328 327.4722 443.5531 
frame00028.jpg 319.0479 223.6967 524.3961 211.1105 531.3848 425.9451 326.3145 443.7379 
frame00029.jpg 317.2472 224.7560 522.7118 211.7306 530.0420 425.8324 325.4492 444.3069 
frame00030.jpg 316.6741 223.7882 521.9199 210.7189 529.3720 424.1225 325.1678 442.9536 
frame00031.jpg 316.1240 223.1249 520.9810 209.7008 528.5502 422.6233 324.8695 442.3939 
frame00032.jpg 315.4649 222.6957 520.0403 208.3700 528.2579 420.4759 325.1422 441.1631 
frame00033.jpg 315.0242 221.9264 519.3865 206.9994 528.1601 419.0733 325.1784 441.0710 
frame00034.jpg 314.9967 221.9569 519.1307 206.0878 528.6174 418.1157 326.0937 440.7616 
frame00035.jpg 316.0323 222.2767 520.0262 205.7398 530.0040 417.7642 327.7818 440.9157 
frame00036.jpg 317.4154 222.2870 521.1617 205.6255 531.1095 417.3706 329.1470 440.7634 
frame00037.jpg 318.5437 222.0417 522.1910 205.6015 531.8857 417.0807 330.1446 440.6715 
frame00038.jpg 319.3045 222.5142 522.7779 205.7119 532.3892 416.5545 330.8180 440.6722 
frame00039.jpg 319.3769 222.5589 522.5649 205.2973 532.2118 415.7083 331.1061 440.6255 
frame00040.jpg 318.7383 221.8872 521.8861 204.0615 531.6083 413.3869 330.9011 439.3408 
frame00041.jpg 317.4042 221.3342 520.6716 202.4025 530.8387 411.9248 330.1127 438.9211 
frame00042.jpg 315.6446 220.1531 518.8679 200.3130 529.4322 410.0023 328.6486 438.0981 
frame00043.jpg 313.3606 220.1447 516.7574 199.3754 527.8604 408.8871 327.3762 438.5091 
frame00044.jpg 311.8419 220.2722 515.2386 198.1689 527.2381 407.8556 326.9485 438.7729 
frame00045.jpg 310.9306 220.2642 514.5436 196.5091 527.4168 405.3022 327.4384 437.6223 
frame00046.jpg 310.3914 219.3633 513.8142 193.9178 527.6703 403.1089 327.6294 437.3840 
frame00047.jpg 309.9026 219.2156 513.3841 192.1062 527.9838 400.9720 328.4063 436.5410 
frame00048.jpg 310.2625 217.7333 513.6010 189.8631 528.6043 398.7351 329.1822 434.9945 
frame00049.jpg 310.3670 216.8376 513.7403 188.2062 528.8879 397.1974 329.5537 434.7441 
frame00050.jpg 309.6264 217.1332 512.9881 187.5244 528.3121 396.3645 329.1312 434.4561 
frame00051.jpg 309.0836 216.7238 512.3822 186.4692 528.1815 395.5341 328.9678 434.3923 
frame00052.jpg 308.1747 216.6899 511.5070 185.2950 527.8360 393.8817 328.7224 434.3409 
frame00053.jpg 306.8727 216.5687 510.4876 183.3105 527.7617 391.7457 329.0346 433.9669 
frame00054.jpg 305.9500 217.1434 509.6191 182.0936 527.5607 390.8943 328.9668 435.0970 
frame00055.jpg 304.6700 217.3629 508.3616 180.4869 527.5203 388.4319 329.2290 434.3419 
frame00056.jpg 303.9957 216.6582 507.6012 177.3244 528.2262 385.5378 330.0810 433.7834 
frame00057.jpg 303.1612 216.5033 507.0574 174.8797 528.4300 382.9926 330.6294 433.6220 
frame00058.jpg 301.9936 216.6406 506.3256 173.3345 527.8989 381.3644 330.3310 433.5627 
frame00059.jpg 300.2558 215.9160 504.7507 170.9931 527.3389 378.6484 330.1016 432.5092 
frame00060.jpg 299.8461 215.2621 503.9838 168.7682 527.5887 376.5272 330.5726 431.6777 
frame00061.jpg 298.7842 215.4707 502.9872 167.4690 526.9468 375.6610 330.0272 432.5624 
frame00062.jpg 297.2504 216.1384 501.5949 166.5684 526.4404 373.9862 329.9586 432.6961 
frame00063.jpg 296.5457 216.8912 501.0895 165.8771 526.5654 373.4593 330.3323 433.8857 
frame00064.jpg 295.7654 217.6682 500.8406 165.1828 526.6078 372.0355 330.5254 433.6656 
frame00065.jpg 294.6975 216.4999 500.3021 162.5170 526.5667 369.8400 330.3631 433.1596 
frame00066.jpg 294.2393 216.8340 500.0134 161.2020 527.0652 368.3654 331.0540 432.9297 
frame00067.jpg 294.5299 216.0471 500.5811 159.2610 527.8724 366.3941 332.0807 431.7393 
frame00068.jpg 294.8291 214.7669 501.0621 156.6065 528.4904 363.6486 333.0283 430.4400 
frame00069.jpg 294.6514 214.5233 501.0379 154.8359 528.6418 361.6985 333.5312 430.0994 
frame00070.jpg 294.1201 214.5939 500.4412 153.6975 528.3214 359.8390 333.6458 429.3114 
frame00071.jpg 293.4631 212.2910 499.8726 150.4021 528.0236 356.4998 333.6252 427.2714 
frame00072.jpg 293.2130 211.2165 499.5141 148.2831 527.8232 353.8789 334.1665 425.5372 
frame00073.jpg 292.8264 209.1673 499.3188 145.5294 527.7311 351.2017 334.1187 423.9410 
frame00074.jpg 291.9101 207.8474 498.8262 143.5433 527.1624 349.3560 333.6016 422.8131 
frame00075.jpg 291.3262 206.6553 498.3562 141.7049 526.6728 347.9084 333.1189 422.3413 
frame00076.jpg 290.0247 206.7428 497.5745 141.0583 525.7213 347.2211 332.1691 422.0818 
frame00077.jpg 288.5190 205.4571 496.4151 139.3227 524.8349 345.7332 331.2567 421.3027 
frame00078.jpg 288.3856 205.1262 496.2026 139.0097 524.1528 345.4330 330.9478 421.2048 
frame00079.jpg 288.7191 205.6239 496.4844 140.8555 522.9790 347.2311 330.1849 421.8983 
frame00080.jpg 289.8087 206.0204 497.1414 144.1478 521.6617 349.4810 329.6972 421.7305 
frame00081.jpg 292.2154 206.2758 498.6289 147.4567 520.8369 351.4215 330.1091 421.7308 
frame00082.jpg 294.6833 206.6883 499.9587 150.0533 520.0818 352.6544 330.5400 421.3802 
frame00083.jpg 295.8838 208.4520 499.9705 153.2557 518.3484 354.3983 329.9999 422.2273 
frame00084.jpg 295.6661 208.2938 498.7437 153.7180 516.6849 353.3621 329.2412 420.8544 
frame00085.jpg 295.5634 206.8147 497.3990 152.7988 514.8174 351.8009 328.6065 419.0165 
frame00086.jpg 295.8472 205.2126 496.4206 152.2362 512.4425 349.6127 328.0799 416.5488 
frame00087.jpg 296.5591 202.8908 495.6263 151.6703 510.3440 348.1608 327.2818 413.6210 
frame00088.jpg 297.6843 199.3989 495.4236 150.7869 509.1483 346.9078 327.0575 410.5086 
frame00089.jpg 298.8999 196.9553 495.6737 150.3081 508.0446 345.9380 327.0210 408.1352 
frame00090.jpg 299.8296 194.4264 495.6429 149.6409 506.8199 345.0012 326.5086 405.7432 
frame00091.jpg 300.5716 192.3407 495.5199 149.1037 505.9114 343.4315 326.3224 403.1937 
frame00092.jpg 301.4257 190.0904 495.8250 147.7175 505.8428 342.5516 326.5809 401.6784 
frame00093.jpg 302.0521 188.5263 496.2552 147.8556 504.8843 342.1737 325.9732 400.0983 
