frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 203.97 131.31 560.96 124.86 558.99 482.17 202.00 488.74
frame00002.jpg 204.15 132.04 561.08 124.39 560.04 482.84 202.66 489.18
frame00003.jpg 203.61 133.01 561.73 123.10 560.08 481.89 203.34 490.73
frame00004.jpg 203.28 134.33 561.06 123.56 561.06 482.45 203.83 491.31
frame00005.jpg 203.36 135.88 561.10 122.81 562.62 483.20 204.16 492.43
frame00006.jpg 202.49 137.76 559.67 122.62 562.62 481.79 204.27 495.51
frame00007.jpg 202.06 139.46 559.61 121.72 563.32 481.84 205.82 496.76
frame00008.jpg 201.44 140.90 560.08 120.86 563.37 481.05 207.75 498.06
frame00009.jpg 201.43 143.80 557.95 120.57 565.08 480.29 208.17 500.95
frame00010.jpg 200.09 146.48 556.14 120.82 565.40 478.47 207.63 504.38
frame00011.jpg 199.74 149.13 556.41 120.00 566.19 478.45 210.12 506.46
frame00012.jpg 198.70 152.11 555.26 120.87 567.06 478.86 211.05 508.75
frame00013.jpg 197.87 155.95 554.42 119.36 569.29 478.85 212.41 513.44
frame00014.jpg 197.33 159.41 553.52 119.98 570.22 478.15 213.93 515.30
frame00015.jpg 196.49 163.59 551.63 119.87 571.01 475.93 215.34 520.14
frame00016.jpg 195.70 167.92 550.44 118.59 572.95 476.11 217.45 524.03
frame00017.jpg 193.65 173.15 550.69 118.68 574.26 474.96 219.64 529.83
frame00018.jpg 194.00 178.13 548.18 118.58 575.61 474.03 222.29 533.62
frame00019.jpg 193.90 184.10 547.62 118.69 578.55 474.19 225.65 537.52
frame00020.jpg 193.70 189.39 545.29 119.74 580.39 473.15 226.97 543.36
frame00021.jpg 193.25 194.79 544.37 119.76 582.51 472.99 230.25 548.70
frame00022.jpg 194.14 202.28 543.90 117.88 585.42 471.12 233.68 553.53
frame00023.jpg 193.00 207.26 544.18 117.71 587.13 471.51 236.55 559.16
frame00024.jpg 193.53 213.38 542.70 118.52 589.45 472.54 240.78 564.12
frame00025.jpg 193.68 219.25 541.77 119.27 592.44 472.78 243.02 569.61
frame00026.jpg 193.86 224.36 540.92 120.24 594.44 472.13 245.83 573.15
frame00027.jpg 194.23 230.54 540.13 120.72 596.54 473.21 249.52 577.08
frame00028.jpg 194.25 234.51 538.39 122.13 598.26 472.57 252.05 583.24
frame00029.jpg 194.83 239.38 537.36 123.64 599.07 470.74 253.59 587.10
frame00030.jpg 194.50 243.41 538.80 124.22 602.79 471.54 253.93 592.14
frame00031.jpg 194.72 247.33 536.64 123.89 603.09 471.24 256.56 594.52
frame00032.jpg 194.24 250.74 536.49 124.63 603.21 470.94 259.76 596.58
frame00033.jpg 195.13 253.16 536.28 125.87 604.87 470.92 260.69 599.42
frame00034.jpg 196.27 254.96 536.84 126.70 605.99 470.79 262.22 599.77
frame00035.jpg 195.93 255.64 538.27 125.11 607.90 471.88 263.36 601.20
frame00036.jpg 196.79 256.93 537.65 128.16 609.14 471.94 263.40 603.66
frame00037.jpg 198.48 259.85 538.70 127.44 611.18 471.89 265.67 604.91
frame00038.jpg 199.61 259.28 540.95 127.14 612.24 473.00 268.56 603.36
frame00039.jpg 201.61 259.83 542.82 127.38 613.96 473.31 269.45 603.45
frame00040.jpg 202.36 259.01 543.66 127.75 613.60 472.65 270.56 604.94
frame00041.jpg 204.15 257.63 547.33 128.09 615.95 474.34 271.09 601.11
frame00042.jpg 205.96 256.03 547.77 128.01 616.82 475.72 272.15 599.79
frame00043.jpg 206.88 252.82 549.67 127.91 616.24 475.49 271.26 598.12
frame00044.jpg 207.52 249.72 550.65 127.95 614.87 473.55 270.39 597.88
frame00045.jpg 208.27 246.45 554.37 125.10 617.31 476.23 270.70 593.05
frame00046.jpg 209.35 242.78 555.75 125.16 616.63 475.31 269.04 590.85
frame00047.jpg 210.47 239.87 557.15 124.87 616.47 475.31 269.07 587.81
frame00048.jpg 212.07 235.63 559.36 123.80 617.68 474.91 268.01 584.78
frame00049.jpg 214.08 232.81 559.87 123.73 618.24 474.95 269.48 581.45
frame00050.jpg 215.57 230.76 562.48 122.25 619.02 474.62 270.57 580.09
frame00051.jpg 220.07 230.36 566.48 123.21 619.11 471.76 273.42 576.15
frame00052.jpg 223.56 230.91 570.08 123.32 626.94 472.39 278.61 576.43
frame00053.jpg 228.61 229.68 576.10 122.34 633.12 472.49 282.86 576.67
frame00054.jpg 233.46 229.33 581.26 122.12 636.92 472.82 287.55 575.10
frame00055.jpg 236.63 225.56 584.47 118.75 640.58 470.91 289.11 573.93
frame00056.jpg 241.04 223.72 589.26 119.24 644.54 472.89 292.38 571.99
frame00057.jpg 246.06 221.05 594.49 119.05 647.93 473.82 296.27 569.91
frame00058.jpg 249.78 218.29 599.55 120.56 650.86 473.50 297.71 568.06
frame00059.jpg 253.94 216.17 605.63 120.02 653.80 475.41 300.02 565.42
frame00060.jpg 257.85 212.96 610.59 119.78 657.86 477.25 302.86 560.94
frame00061.jpg 262.48 210.01 614.09 118.78 660.06 476.62 305.15 559.39
frame00062.jpg 265.27 206.55 616.92 119.86 660.98 475.62 306.23 557.12
frame00063.jpg 268.86 203.06 621.65 117.42 664.09 475.36 309.09 551.96
frame00064.jpg 272.92 198.92 626.30 115.58 667.74 474.67 310.88 547.56
frame00065.jpg 275.61 194.58 629.82 113.15 668.68 471.15 312.65 545.32
frame00066.jpg 278.46 190.79 633.10 111.86 671.94 469.85 314.51 540.09
