frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 194.74 1.76 574.24 45.22 547.75 528.77 168.24 485.29
frame00002.jpg 195.10 1.47 574.32 45.20 547.75 529.04 168.57 485.13
frame00003.jpg 195.44 1.68 574.59 44.84 548.16 528.84 168.80 485.77
frame00004.jpg 195.84 1.77 574.82 45.19 548.59 528.58 169.18 485.69
frame00005.jpg 196.29 1.90 575.29 45.13 549.01 528.96 169.88 485.54
frame00006.jpg 196.92 2.34 575.65 45.05 549.48 529.12 170.33 486.09
frame00007.jpg 197.35 2.47 576.14 45.26 549.82 529.15 170.79 486.15
frame00008.jpg 197.93 2.78 576.24 45.60 550.26 529.25 171.40 485.94
frame00009.jpg 198.12 3.04 576.59 45.85 550.45 529.33 171.76 486.03
frame00010.jpg 198.33 3.57 576.65 46.28 550.80 528.73 171.90 485.75
frame00011.jpg 198.39 3.51 576.90 45.92 550.59 528.97 171.99 486.12
frame00012.jpg 198.55 3.49 576.75 45.93 550.75 529.24 172.02 486.07
frame00013.jpg 198.47 3.80 576.73 46.03 550.67 529.23 172.08 486.28
frame00014.jpg 198.53 3.73 576.53 46.57 550.50 529.21 171.87 486.19
frame00015.jpg 198.52 3.71 576.48 46.50 550.53 529.26 171.91 485.68
frame00016.jpg 198.20 3.35 576.35 46.32 550.22 528.99 171.43 485.88
frame00017.jpg 197.96 2.81 576.20 46.06 550.12 528.93 171.27 485.35
frame00018.jpg 197.91 2.22 575.98 46.16 549.74 528.70 171.15 484.78
frame00019.jpg 197.67 2.34 575.90 45.82 549.74 528.29 170.79 485.09
frame00020.jpg 197.77 2.35 575.93 45.93 549.65 527.75 170.95 484.55
frame00021.jpg 197.95 2.10 576.01 45.68 549.64 528.01 171.12 484.44
frame00022.jpg 198.17 2.06 576.08 45.70 549.75 527.62 171.33 484.14
frame00023.jpg 198.42 1.74 576.31 45.45 549.84 527.39 171.65 483.66
frame00024.jpg 198.79 1.73 576.45 45.53 549.98 527.29 171.90 483.15
frame00025.jpg 198.95 1.55 576.62 45.36 550.01 527.08 171.92 483.10
frame00026.jpg 199.20 0.99 576.74 45.32 550.10 527.38 172.07 482.89
frame00027.jpg 199.21 1.25 576.95 45.15 550.13 527.32 172.03 483.40
