frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 243.07 168.19 429.02 172.74 428.93 442.26 243.02 437.79
frame00002.jpg 243.41 168.00 429.78 172.61 429.55 442.42 243.52 437.70
frame00003.jpg 244.16 168.01 430.46 172.54 430.08 442.47 244.06 437.82
frame00004.jpg 244.57 168.45 430.92 173.01 430.70 442.92 244.59 438.03
frame00005.jpg 244.97 168.42 431.49 173.14 431.04 443.24 244.84 438.48
frame00006.jpg 245.30 168.92 431.78 173.55 431.40 443.80 245.16 438.79
frame00007.jpg 245.86 169.67 432.03 174.46 431.74 444.36 245.62 439.50
frame00008.jpg 245.97 170.12 432.07 174.80 431.70 444.80 245.69 439.90
frame00009.jpg 245.94 170.17 432.13 174.87 431.63 444.74 245.75 439.92
frame00010.jpg 246.16 170.68 432.11 175.38 431.63 445.23 245.83 440.20
frame00011.jpg 246.06 171.01 431.89 175.71 431.56 445.30 245.83 440.34
frame00012.jpg 246.16 171.51 431.88 176.20 431.58 446.00 245.80 440.84
frame00013.jpg 246.30 172.70 432.03 177.36 431.70 447.01 246.13 441.87
frame00014.jpg 246.95 174.30 432.32 178.95 432.06 448.22 246.78 442.86
frame00015.jpg 247.44 175.85 432.68 180.46 432.27 449.41 247.05 444.05
frame00016.jpg 247.86 176.90 432.95 181.50 432.58 450.40 247.65 444.99
frame00017.jpg 248.72 177.83 433.67 182.44 433.17 451.20 248.29 445.85
frame00018.jpg 249.47 178.63 434.28 183.31 433.88 451.93 248.93 446.39
frame00019.jpg 250.26 179.47 434.95 184.08 434.68 452.75 249.81 447.24
frame00020.jpg 250.99 180.02 435.77 184.45 435.46 453.23 250.48 447.67
frame00021.jpg 251.57 180.27 436.51 184.87 436.17 453.71 251.11 448.05
frame00022.jpg 252.39 180.61 437.30 184.97 437.14 454.00 252.08 448.20
frame00023.jpg 253.35 180.47 438.28 184.88 437.88 453.84 252.95 448.09
frame00024.jpg 254.41 180.51 439.18 184.82 438.85 453.66 253.99 448.03
frame00025.jpg 255.54 180.19 440.21 184.72 440.16 453.10 255.26 447.42
frame00026.jpg 257.55 180.13 441.69 184.41 441.40 452.41 256.96 446.45
frame00027.jpg 259.02 178.85 443.03 183.10 442.78 450.92 258.59 445.01
frame00028.jpg 261.03 178.11 444.72 182.26 444.17 449.63 260.76 443.62
frame00029.jpg 263.43 178.38 446.45 182.73 446.03 449.15 263.08 443.34
frame00030.jpg 267.19 181.56 448.74 185.62 448.17 450.22 266.87 444.06
frame00031.jpg 271.44 187.21 451.06 191.61 450.25 453.06 271.10 447.09
frame00032.jpg 276.86 197.55 452.48 201.70 451.58 457.68 276.33 451.51
frame00033.jpg 281.43 208.05 453.05 212.18 452.03 462.04 280.35 455.74
frame00034.jpg 285.19 216.56 452.72 220.72 451.49 463.47 284.48 457.20
frame00035.jpg 289.48 224.11 452.65 228.24 451.44 464.16 288.57 457.63
frame00036.jpg 294.41 230.82 452.52 235.01 451.32 463.67 293.21 457.16
frame00037.jpg 299.33 236.93 452.78 241.29 451.45 462.42 298.03 456.24
frame00038.jpg 304.32 243.51 452.99 247.88 451.67 461.85 302.92 455.46
frame00039.jpg 309.67 249.09 453.54 253.55 452.02 460.06 308.14 453.74
frame00040.jpg 315.05 253.31 454.32 257.85 452.63 457.26 313.09 451.02
frame00041.jpg 320.08 255.24 455.26 259.61 453.23 452.27 318.12 445.92
frame00042.jpg 324.77 254.45 455.71 258.81 453.42 445.10 322.63 438.65
frame00043.jpg 328.67 251.31 456.03 255.93 453.37 436.55 326.44 430.39
frame00044.jpg 332.20 247.40 455.65 251.87 452.70 426.75 329.66 420.63
frame00045.jpg 334.92 242.22 454.99 246.67 451.60 417.15 332.40 410.77
frame00046.jpg 335.78 236.58 452.64 240.91 448.96 406.23 332.98 400.24
frame00047.jpg 335.50 230.63 449.20 235.25 445.60 395.78 332.75 390.20
frame00048.jpg 334.38 226.00 444.97 230.38 441.26 386.76 331.41 381.22
frame00049.jpg 332.12 222.48 439.67 226.84 435.99 378.77 329.16 373.55
frame00050.jpg 329.00 220.69 433.61 225.11 430.03 372.78 326.13 367.98
frame00051.jpg 325.64 221.16 427.40 225.40 424.00 368.73 322.95 364.21
frame00052.jpg 321.62 222.16 421.09 226.27 417.94 366.14 319.02 361.84
frame00053.jpg 318.08 223.25 415.34 227.32 412.15 363.65 315.42 360.11
frame00054.jpg 314.05 226.79 409.02 230.64 405.84 363.43 311.36 360.32
