frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 238.51 100.86 494.54 100.16 497.53 538.75 241.57 539.18
frame00002.jpg 239.59 100.69 495.12 100.33 497.66 538.13 242.51 539.11
frame00003.jpg 240.84 101.16 496.35 100.58 498.77 537.95 243.39 538.56
frame00004.jpg 242.40 101.05 497.51 100.83 499.76 537.96 244.56 537.72
frame00005.jpg 244.00 100.88 498.75 101.22 500.63 537.32 246.00 537.18
frame00006.jpg 245.45 100.23 499.92 101.27 501.32 536.74 247.00 535.90
frame00007.jpg 246.92 99.56 501.15 100.35 502.03 535.33 248.07 534.41
frame00008.jpg 248.08 98.29 502.55 99.18 502.84 533.76 249.36 532.51
frame00009.jpg 249.63 96.66 503.13 98.49 503.58 532.06 250.46 530.94
frame00010.jpg 250.94 94.73 504.56 96.44 504.75 529.81 251.70 528.31
frame00011.jpg 252.40 92.21 505.56 94.35 505.19 526.57 253.20 525.16
frame00012.jpg 253.77 89.67 506.76 91.61 506.23 522.84 254.70 521.40
frame00013.jpg 255.20 85.27 508.25 87.70 507.28 518.51 256.21 516.58
frame00014.jpg 257.16 80.84 509.77 82.80 508.36 512.28 258.19 511.49
frame00015.jpg 259.32 74.46 512.03 77.43 509.73 506.05 260.37 504.91
frame00016.jpg 261.36 68.48 514.32 70.52 511.84 499.21 263.13 497.63
frame00017.jpg 263.89 61.42 516.72 63.97 513.67 491.32 266.01 490.20
frame00018.jpg 266.48 53.93 519.37 56.85 515.89 483.72 268.65 482.78
frame00019.jpg 268.98 46.89 521.87 51.04 517.00 476.52 271.25 475.55
frame00020.jpg 270.76 43.62 523.51 47.63 518.02 473.42 273.22 472.70
frame00021.jpg 271.41 42.19 525.21 48.19 518.93 474.75 273.79 473.65
frame00022.jpg 271.56 47.17 526.30 52.36 518.71 480.03 274.26 479.41
frame00023.jpg 270.66 55.59 527.02 61.87 518.63 489.72 273.37 489.55
frame00024.jpg 270.19 68.48 527.28 74.85 518.42 502.10 273.13 501.39
frame00025.jpg 269.01 82.99 527.66 89.69 517.30 516.68 272.19 515.91
frame00026.jpg 267.21 100.39 526.48 107.16 516.10 531.20 270.72 531.29
frame00027.jpg 265.95 116.70 524.58 124.44 513.30 542.60 269.67 543.24
frame00028.jpg 265.30 133.27 522.95 141.65 510.93 553.43 269.36 553.41
