frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 222.96 165.55 617.21 152.08 629.18 433.06 234.96 446.53
frame00002.jpg 223.09 165.54 617.24 151.96 629.27 432.67 235.05 446.48
frame00003.jpg 223.47 165.42 617.35 152.01 629.24 432.59 235.19 446.31
frame00004.jpg 223.72 165.22 617.48 151.89 629.32 432.36 235.33 446.21
frame00005.jpg 223.78 165.12 617.57 151.61 629.45 431.98 235.66 446.06
frame00006.jpg 223.96 165.08 617.64 151.46 629.63 431.74 235.84 445.92
frame00007.jpg 224.18 165.11 617.62 151.30 629.83 431.63 235.93 446.01
frame00008.jpg 224.42 165.10 617.96 151.63 629.93 431.96 236.08 446.07
frame00009.jpg 224.90 165.22 618.47 152.33 630.00 432.50 236.23 446.03
frame00010.jpg 225.35 165.30 618.91 152.76 630.19 433.02 236.29 446.24
frame00011.jpg 225.59 165.27 619.23 153.13 630.41 433.45 236.43 446.29
frame00012.jpg 225.91 165.39 619.58 153.21 630.73 433.69 236.73 446.30
frame00013.jpg 226.14 165.58 620.02 153.24 631.04 433.86 237.21 446.40
frame00014.jpg 226.27 165.73 620.29 153.62 631.33 434.10 237.32 446.60
frame00015.jpg 226.48 165.92 620.51 153.80 631.55 434.37 237.51 446.77
frame00016.jpg 226.54 165.98 620.65 153.85 631.65 434.56 237.53 446.96
frame00017.jpg 226.70 166.03 620.72 153.82 631.85 434.61 237.58 446.99
frame00018.jpg 226.85 165.86 620.82 153.85 631.94 434.77 237.58 447.00
frame00019.jpg 227.33 165.65 621.05 154.41 631.85 435.50 237.24 447.01
frame00020.jpg 228.03 165.41 621.58 155.38 631.67 436.87 236.83 446.88
frame00021.jpg 228.73 165.25 622.28 156.30 631.65 438.08 236.77 446.84
frame00022.jpg 229.17 165.36 622.79 157.11 631.64 438.85 236.70 446.96
frame00023.jpg 229.24 165.43 623.03 157.52 631.77 439.44 236.61 447.14
frame00024.jpg 229.61 165.29 623.33 157.93 631.68 440.22 236.37 447.16
frame00025.jpg 230.52 164.74 624.16 159.21 631.41 441.87 235.70 446.90
frame00026.jpg 232.10 163.87 625.34 161.02 631.02 444.28 235.01 446.26
frame00027.jpg 234.11 162.68 627.04 162.95 630.77 447.06 234.32 445.39
frame00028.jpg 236.53 161.59 629.02 165.09 630.66 450.12 233.76 444.53
frame00029.jpg 238.55 160.73 630.77 166.79 630.70 452.70 233.67 443.78
frame00030.jpg 239.68 160.22 631.85 167.45 631.08 454.00 233.68 443.29
frame00031.jpg 239.91 159.92 632.24 167.19 631.44 454.10 233.89 443.05
frame00032.jpg 239.99 159.81 632.52 166.82 631.82 454.12 234.16 442.95
