frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 234.95 217.09 584.37 179.76 630.26 460.83 280.83 498.19
frame00002.jpg 237.24 215.68 587.48 180.70 629.73 463.48 279.54 497.40
frame00003.jpg 244.68 210.78 596.68 180.96 628.38 468.00 275.79 492.65
frame00004.jpg 252.90 207.45 608.03 180.27 628.55 477.64 276.23 493.94
frame00005.jpg 259.90 202.45 617.91 179.99 629.41 484.21 276.40 492.40
frame00006.jpg 265.66 197.40 625.95 180.51 629.60 489.73 276.85 490.33
frame00007.jpg 270.22 192.13 633.13 180.49 629.30 494.90 276.66 488.27
frame00008.jpg 269.47 190.62 634.11 181.04 628.02 497.55 274.48 488.59
frame00009.jpg 266.99 188.51 629.87 178.37 627.61 486.71 267.75 480.17
frame00010.jpg 265.20 182.67 626.48 171.55 630.87 468.38 262.56 465.26
frame00011.jpg 265.27 177.64 625.79 160.09 640.18 448.81 268.69 454.53
frame00012.jpg 266.62 174.85 625.65 150.92 650.96 429.78 275.91 445.07
frame00013.jpg 267.16 174.69 626.20 149.82 653.64 427.35 278.14 444.36
frame00014.jpg 266.50 177.86 624.85 151.86 654.18 427.62 278.60 446.42
frame00015.jpg 266.21 183.68 622.68 152.08 658.82 424.75 284.78 450.49
frame00016.jpg 266.55 192.10 619.57 148.74 670.28 415.09 299.49 455.87
frame00017.jpg 270.82 196.57 621.66 151.84 677.24 408.52 305.13 452.72
frame00018.jpg 271.99 200.16 622.33 154.32 680.63 409.15 308.40 455.32
frame00019.jpg 268.73 210.64 617.23 157.28 685.79 405.11 313.88 461.46
frame00020.jpg 263.50 220.22 609.80 159.00 688.20 400.07 317.85 467.02
frame00021.jpg 258.64 225.51 602.46 158.57 688.52 389.52 318.28 464.42
frame00022.jpg 252.28 230.21 594.03 157.29 686.45 379.62 315.91 462.33
frame00023.jpg 244.61 233.66 584.67 156.23 681.71 369.30 310.88 458.18
frame00024.jpg 240.22 235.15 579.10 154.32 679.30 362.36 308.86 455.82
frame00025.jpg 234.08 236.97 571.00 152.42 675.18 351.90 305.26 450.56
frame00026.jpg 226.55 239.34 561.03 150.93 670.09 340.05 301.67 444.38
frame00027.jpg 218.11 241.68 550.01 148.50 663.62 326.76 297.19 437.63
frame00028.jpg 209.94 246.67 537.49 146.08 657.09 310.52 293.82 430.86
frame00029.jpg 203.22 253.35 527.46 144.78 650.92 297.50 289.80 427.32
frame00030.jpg 201.45 259.70 524.35 145.49 646.88 292.27 285.27 428.26
frame00031.jpg 205.39 265.71 526.87 147.05 647.06 286.48 283.46 427.25
frame00032.jpg 208.69 276.28 526.36 146.18 650.42 277.11 289.50 431.01
frame00033.jpg 213.83 286.76 525.16 142.66 653.41 255.73 297.80 426.15
frame00034.jpg 217.85 290.32 525.03 139.89 655.28 239.11 302.86 417.88
