frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 210.00 163.00 516.00 163.00 516.00 451.00 210.00 451.00
frame00002.jpg 210.14 161.20 515.92 162.90 515.03 450.83 209.43 448.57
frame00003.jpg 210.73 159.49 516.87 161.50 516.37 448.81 210.62 447.36
frame00004.jpg 213.48 156.24 520.17 156.04 521.33 442.75 215.32 444.51
frame00005.jpg 219.29 150.47 526.21 147.50 528.75 434.05 222.35 439.61
frame00006.jpg 225.20 142.16 532.85 140.43 533.67 427.89 227.15 432.56
frame00007.jpg 227.32 138.99 535.38 138.50 534.68 426.64 228.40 429.92
frame00008.jpg 227.90 137.65 536.37 137.13 534.84 425.81 228.89 429.81
frame00009.jpg 225.58 142.62 534.06 138.87 533.75 427.66 227.96 435.18
frame00010.jpg 220.99 150.83 529.17 143.79 530.16 431.70 225.06 442.64
frame00011.jpg 218.07 155.35 525.58 148.70 527.22 434.78 223.01 445.20
frame00012.jpg 218.54 157.24 525.42 151.60 526.73 435.96 223.21 445.64
frame00013.jpg 219.32 155.47 524.04 148.66 526.89 431.76 223.56 444.08
frame00014.jpg 219.22 152.57 522.01 143.63 527.17 426.97 223.59 440.74
frame00015.jpg 220.10 147.67 520.83 140.11 526.17 423.63 222.68 436.20
frame00016.jpg 219.99 147.06 520.45 139.68 525.72 423.33 222.55 435.78
frame00017.jpg 220.03 147.20 520.50 140.42 525.09 424.09 222.45 435.68
frame00018.jpg 220.14 148.23 520.69 142.25 524.84 425.70 222.67 436.55
frame00019.jpg 220.84 150.02 521.41 143.86 525.82 426.96 224.28 437.77
frame00020.jpg 222.77 152.30 523.27 145.07 528.15 427.99 227.28 439.40
frame00021.jpg 225.03 155.17 525.25 146.45 530.43 429.08 230.05 441.32
frame00022.jpg 226.91 157.56 526.64 147.33 532.47 429.65 232.56 442.75
frame00023.jpg 228.83 159.32 528.22 148.14 534.18 430.30 234.54 443.76
frame00024.jpg 230.61 160.33 529.40 149.04 535.28 430.95 236.13 444.21
frame00025.jpg 231.38 160.98 530.38 150.12 535.56 431.97 236.26 444.89
frame00026.jpg 231.63 161.17 530.55 150.97 535.37 432.68 235.72 444.51
frame00027.jpg 231.92 159.45 530.59 151.00 534.92 433.23 234.57 442.95
frame00028.jpg 232.45 157.64 530.75 151.05 534.39 433.65 233.80 440.83
frame00029.jpg 233.30 154.98 531.30 150.60 534.01 433.15 233.47 437.68
frame00030.jpg 234.69 151.93 531.98 149.60 533.66 432.40 233.26 434.01
frame00031.jpg 235.97 148.55 532.54 148.08 533.74 431.09 233.09 429.85
frame00032.jpg 237.97 144.93 533.60 145.85 534.53 429.79 233.69 425.78
frame00033.jpg 239.83 142.43 534.87 143.77 535.84 428.02 235.06 422.83
frame00034.jpg 241.57 140.82 536.10 141.59 537.34 425.81 237.07 421.17
frame00035.jpg 242.75 140.56 537.11 139.93 538.78 423.78 239.02 421.11
frame00036.jpg 243.14 141.20 537.52 138.73 539.99 422.04 240.64 422.34
frame00037.jpg 242.89 142.35 537.55 138.32 540.55 421.19 241.47 423.77
frame00038.jpg 242.86 143.23 537.43 138.67 540.74 421.44 241.78 425.04
frame00039.jpg 242.99 144.30 537.77 139.82 541.36 422.54 242.16 426.57
frame00040.jpg 243.64 145.59 538.83 141.04 542.21 423.78 243.10 428.07
frame00041.jpg 244.46 146.82 539.69 141.94 543.26 424.50 243.92 429.06
frame00042.jpg 245.27 147.45 540.49 142.10 544.23 424.14 245.38 429.24
frame00043.jpg 246.24 147.16 540.96 141.10 544.79 422.57 246.32 428.46
frame00044.jpg 246.50 146.17 541.15 140.25 544.54 421.67 246.28 427.25
frame00045.jpg 246.94 144.56 541.90 141.62 543.07 424.63 244.63 425.68
frame00046.jpg 247.86 143.71 543.28 145.45 541.55 428.28 244.41 423.33
frame00047.jpg 250.36 142.80 545.73 148.75 541.76 430.87 245.92 420.97
frame00048.jpg 252.56 143.77 547.22 150.28 542.60 431.35 247.61 421.92
frame00049.jpg 251.79 146.80 545.09 149.56 542.97 428.70 247.55 425.47
frame00050.jpg 248.93 149.57 540.96 147.40 542.48 425.52 246.48 430.42
frame00051.jpg 244.76 153.57 536.43 146.11 540.99 423.76 244.76 435.90
frame00052.jpg 240.09 158.06 531.73 146.47 538.75 424.25 242.17 441.24
frame00053.jpg 236.02 162.28 528.01 148.18 536.04 426.28 239.40 445.04
frame00054.jpg 232.39 165.30 525.08 150.95 533.06 429.52 236.31 447.87
frame00055.jpg 229.34 167.07 523.43 154.34 530.11 432.81 233.08 449.23
frame00056.jpg 227.31 167.22 522.17 157.00 527.63 435.47 230.34 449.19
frame00057.jpg 225.95 167.42 521.32 158.59 526.03 436.65 228.84 449.03
frame00058.jpg 225.39 165.98 521.20 159.12 524.96 437.12 227.51 447.12
frame00059.jpg 225.14 162.87 521.69 159.23 523.66 437.04 226.13 444.17
frame00060.jpg 225.50 159.52 522.14 158.41 522.97 436.33 225.22 440.71
frame00061.jpg 225.69 156.46 522.46 157.28 522.10 435.47 224.30 438.09
frame00062.jpg 225.56 154.32 521.90 156.20 521.05 434.49 223.38 435.78
frame00063.jpg 224.67 153.04 520.68 154.80 519.83 433.34 222.34 434.33
frame00064.jpg 223.80 152.27 518.97 153.58 518.62 431.97 221.18 432.81
frame00065.jpg 222.76 150.48 517.24 152.10 517.05 430.37 219.84 430.80
frame00066.jpg 221.91 148.95 515.77 151.11 515.30 429.42 218.74 428.79
frame00067.jpg 221.23 147.71 514.53 150.41 513.92 428.45 217.83 426.81
frame00068.jpg 220.99 146.66 513.66 149.93 513.03 427.73 217.44 425.29
frame00069.jpg 221.05 145.61 513.38 149.40 512.52 426.91 217.26 424.06
frame00070.jpg 221.42 144.98 513.29 149.18 512.59 426.73 217.39 423.38
frame00071.jpg 221.78 144.38 513.62 149.11 512.55 426.41 217.58 422.61
frame00072.jpg 222.33 143.33 514.30 148.91 512.75 426.26 217.68 421.59
frame00073.jpg 223.07 142.19 515.10 148.94 513.02 426.29 217.89 420.87
frame00074.jpg 223.69 141.50 515.85 148.83 513.43 426.41 218.27 420.38
frame00075.jpg 224.22 141.50 516.24 149.23 513.65 426.78 218.36 420.45
frame00076.jpg 224.66 141.23 516.71 149.57 513.74 427.15 218.42 420.38
frame00077.jpg 224.93 141.03 517.01 150.13 513.74 427.75 218.30 420.35
frame00078.jpg 224.91 141.23 517.16 150.82 513.53 428.47 218.15 420.90
frame00079.jpg 224.83 142.24 516.97 151.62 513.34 429.31 218.12 421.95
frame00080.jpg 224.46 143.39 516.60 152.61 513.10 429.94 217.90 422.86
frame00081.jpg 223.92 144.49 515.99 153.16 512.78 430.34 217.63 423.94
frame00082.jpg 223.42 145.75 515.36 153.89 512.28 430.99 217.41 424.99
frame00083.jpg 222.66 146.92 514.73 154.50 511.74 431.64 217.13 425.97
frame00084.jpg 222.04 148.20 513.97 155.25 511.35 432.25 216.67 426.94
frame00085.jpg 221.38 148.91 513.28 155.47 510.96 432.36 216.09 427.55
frame00086.jpg 220.56 149.05 512.68 155.43 510.51 432.35 215.61 427.89
frame00087.jpg 219.91 149.15 512.18 155.42 510.25 432.40 215.01 428.09
frame00088.jpg 219.49 149.03 511.90 155.24 509.96 432.38 214.69 428.20
frame00089.jpg 218.99 148.90 511.69 155.24 509.84 432.33 214.29 428.39
frame00090.jpg 218.92 148.99 511.55 155.06 509.85 432.39 214.24 428.43
frame00091.jpg 218.61 149.17 511.49 155.16 509.77 432.58 213.97 428.87
frame00092.jpg 218.40 149.29 511.46 155.37 509.72 432.86 213.78 429.07
frame00093.jpg 218.19 149.27 511.46 155.67 509.52 433.37 213.43 429.29
