frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 291.02 150.01 564.12 149.92 564.11 444.09 291.04 443.94
frame00002.jpg 291.79 150.10 564.51 150.00 565.11 444.07 292.20 443.75
frame00003.jpg 292.95 149.05 566.14 149.90 565.55 443.77 292.43 443.05
frame00004.jpg 292.28 148.29 565.42 148.65 564.43 443.24 291.08 442.71
frame00005.jpg 290.33 148.73 564.16 148.64 563.43 443.48 289.99 443.36
frame00006.jpg 289.71 149.18 563.49 148.72 563.26 443.79 289.93 443.73
frame00007.jpg 290.67 149.98 563.86 149.32 564.40 443.90 291.35 443.54
frame00008.jpg 292.34 149.71 564.81 149.80 565.00 444.68 291.91 444.09
frame00009.jpg 292.02 150.71 564.67 150.70 564.66 445.59 291.12 445.09
frame00010.jpg 290.69 151.72 563.57 151.33 563.95 445.45 290.57 445.54
frame00011.jpg 291.09 151.55 563.60 151.40 564.49 445.23 291.12 444.93
frame00012.jpg 291.73 150.83 564.08 151.05 564.27 445.29 291.07 444.60
frame00013.jpg 291.14 151.00 563.63 151.54 564.04 445.13 290.74 444.50
frame00014.jpg 291.67 150.74 564.17 150.18 565.38 444.80 291.61 443.72
frame00015.jpg 292.69 150.53 565.18 150.56 565.78 445.80 291.80 443.99
frame00016.jpg 292.77 151.22 565.79 150.48 565.66 445.96 291.99 443.81
frame00017.jpg 292.48 150.93 565.52 150.44 565.57 446.70 292.00 444.42
frame00018.jpg 292.82 152.03 565.75 151.50 565.54 448.36 292.73 445.38
frame00019.jpg 295.04 152.45 568.83 151.47 568.19 448.46 295.35 442.78
frame00020.jpg 298.32 151.91 571.73 150.72 569.81 448.56 297.00 441.16
frame00021.jpg 299.34 150.91 572.79 150.81 569.65 448.39 297.27 440.67
frame00022.jpg 299.22 152.04 572.89 150.38 569.17 448.49 297.94 440.87
frame00023.jpg 298.00 152.82 571.56 150.72 568.96 448.89 297.68 441.87
frame00024.jpg 298.09 153.37 570.77 151.07 569.12 449.19 297.08 441.37
frame00025.jpg 298.60 153.00 571.19 151.43 569.23 450.00 296.90 441.12
frame00026.jpg 300.27 151.46 572.64 152.11 568.96 451.83 296.00 440.34
frame00027.jpg 301.13 149.47 573.92 152.60 568.23 453.62 295.07 438.26
frame00028.jpg 301.80 146.55 575.80 151.28 568.61 453.51 294.44 435.04
frame00029.jpg 302.83 143.60 577.78 149.12 568.71 453.75 293.75 431.88
frame00030.jpg 302.47 141.02 578.45 147.03 568.20 453.18 293.24 430.31
frame00031.jpg 302.48 139.25 579.10 144.61 566.81 452.89 292.30 427.88
frame00032.jpg 302.19 137.15 580.10 143.47 566.90 454.13 292.08 426.46
frame00033.jpg 302.48 135.01 581.79 144.38 566.79 455.42 291.32 425.03
frame00034.jpg 302.89 132.53 582.65 144.70 566.46 456.23 290.94 423.38
frame00035.jpg 303.11 130.19 583.49 143.84 566.29 455.56 291.16 421.64
frame00036.jpg 303.90 127.45 584.52 142.24 566.67 454.38 292.02 419.93
frame00037.jpg 304.26 125.38 585.22 140.96 566.57 453.59 291.70 419.10
frame00038.jpg 303.10 124.66 583.96 136.43 564.73 452.08 290.64 417.60
frame00039.jpg 301.95 124.62 583.27 132.84 565.75 451.75 291.65 416.43
frame00040.jpg 303.56 123.52 585.49 130.41 568.39 451.62 294.27 415.54
frame00041.jpg 304.87 124.38 587.20 128.14 571.49 451.90 296.59 415.51
frame00042.jpg 307.26 124.37 588.82 128.59 572.49 453.23 298.00 416.11
frame00043.jpg 308.81 124.75 589.30 130.12 572.83 453.88 297.91 417.24
frame00044.jpg 308.69 126.91 587.60 128.99 572.15 454.04 297.98 418.30
frame00045.jpg 309.00 129.64 587.02 129.67 572.02 456.43 299.05 420.94
frame00046.jpg 309.01 132.04 586.66 132.45 571.38 458.06 298.47 423.08
frame00047.jpg 308.47 135.02 584.83 133.28 571.82 458.48 298.26 424.45
frame00048.jpg 308.70 136.54 584.17 132.06 572.55 457.70 299.90 424.62
frame00049.jpg 309.70 136.81 584.37 131.21 572.85 456.87 300.28 424.02
frame00050.jpg 309.85 136.95 583.97 128.36 573.51 455.09 301.37 422.98
frame00051.jpg 311.06 136.10 583.79 123.59 573.07 452.48 303.12 422.11
frame00052.jpg 310.42 135.51 580.78 120.08 573.31 449.56 304.52 423.55
frame00053.jpg 309.74 136.38 579.59 116.35 573.30 447.07 306.30 423.90
frame00054.jpg 309.19 137.17 577.64 113.95 573.36 444.86 307.49 424.40
frame00055.jpg 309.08 138.97 574.65 111.44 572.66 441.95 307.21 424.33
frame00056.jpg 306.94 141.77 570.44 107.17 569.22 439.67 306.76 426.31
frame00057.jpg 303.65 145.99 565.26 103.73 566.31 438.11 305.47 428.14
frame00058.jpg 302.89 147.99 561.35 102.77 565.26 438.25 305.94 429.72
frame00059.jpg 303.61 151.11 560.09 101.66 563.85 438.14 306.52 429.51
frame00060.jpg 304.52 152.43 554.82 99.78 561.39 433.95 306.03 429.84
frame00061.jpg 303.57 154.99 550.58 94.52 558.95 431.94 306.47 429.88
frame00062.jpg 302.61 156.34 546.79 92.71 557.37 430.46 306.96 431.49
frame00063.jpg 302.27 157.49 543.61 92.00 556.32 428.39 307.57 433.35
frame00064.jpg 302.29 158.01 542.29 91.15 555.17 426.08 308.04 434.10
