frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 286.00 180.00 544.00 180.00 544.00 390.00 286.00 390.00
frame00002.jpg 287.19 179.15 545.16 179.61 544.62 389.40 286.52 389.74
frame00003.jpg 287.83 178.34 545.38 179.11 545.13 388.81 288.04 388.05
frame00004.jpg 289.14 178.24 545.94 178.62 545.46 388.57 287.96 387.15
frame00005.jpg 288.61 176.82 546.08 178.14 544.82 387.74 287.40 386.51
frame00006.jpg 284.38 175.79 541.78 178.24 540.68 386.53 284.03 386.65
frame00007.jpg 283.00 175.68 539.69 178.11 538.50 386.69 280.86 384.98
frame00008.jpg 282.56 174.39 539.24 177.76 538.19 386.45 281.31 384.15
frame00009.jpg 282.62 174.94 539.05 177.54 538.02 385.70 282.00 384.35
frame00010.jpg 283.29 174.77 539.12 177.54 537.60 386.21 281.72 383.42
frame00011.jpg 283.11 174.33 538.81 178.33 537.25 386.07 281.74 383.15
frame00012.jpg 283.12 174.55 538.39 179.16 536.99 386.74 281.42 383.78
frame00013.jpg 283.65 176.93 538.46 179.43 536.45 387.28 281.28 384.43
frame00014.jpg 283.44 176.89 537.88 180.32 536.21 387.40 281.11 384.96
frame00015.jpg 283.68 177.81 537.63 181.00 535.30 388.77 281.70 385.51
frame00016.jpg 282.99 179.00 537.02 182.99 534.54 390.04 280.70 386.60
frame00017.jpg 282.65 178.64 536.86 184.68 533.45 390.93 280.23 385.83
frame00018.jpg 283.47 178.48 536.14 185.74 532.72 390.95 279.34 384.36
frame00019.jpg 283.46 176.17 535.82 183.98 531.97 388.68 279.98 381.17
frame00020.jpg 284.35 173.91 535.66 182.23 532.11 386.72 281.36 377.99
frame00021.jpg 288.25 171.85 538.98 180.27 535.41 383.77 285.06 375.51
frame00022.jpg 292.90 169.72 543.07 178.34 539.26 381.19 290.09 371.93
frame00023.jpg 297.18 168.05 546.56 176.42 542.97 378.09 294.63 370.37
frame00024.jpg 302.22 166.28 550.19 173.95 546.17 375.59 299.62 367.30
frame00025.jpg 306.45 164.69 553.30 172.90 549.94 373.51 303.46 365.27
frame00026.jpg 309.16 167.01 555.17 173.54 551.39 374.20 306.04 367.05
frame00027.jpg 308.71 171.41 553.43 176.93 549.68 376.50 306.33 370.48
frame00028.jpg 306.56 174.79 550.20 178.89 546.91 377.49 303.99 372.84
frame00029.jpg 305.71 177.73 547.95 182.11 544.74 379.96 303.71 374.91
frame00030.jpg 305.53 181.36 546.82 186.56 543.92 382.18 303.71 378.41
frame00031.jpg 306.71 182.71 546.20 187.36 542.90 382.04 303.58 377.51
frame00032.jpg 306.36 183.77 544.29 189.37 541.02 382.68 304.35 378.00
frame00033.jpg 306.21 187.65 541.80 194.30 537.57 386.72 301.67 381.32
frame00034.jpg 304.69 191.97 538.97 199.25 535.02 389.04 301.84 384.13
frame00035.jpg 305.05 195.50 537.01 201.73 533.94 389.49 301.63 385.72
frame00036.jpg 305.69 196.79 536.28 201.69 534.61 387.52 303.81 386.16
frame00037.jpg 308.08 197.51 536.59 199.98 535.96 383.68 307.03 385.10
frame00038.jpg 310.39 197.68 537.11 198.06 537.56 380.42 310.84 384.17
frame00039.jpg 314.01 197.40 538.39 196.81 539.40 377.94 316.30 382.65
frame00040.jpg 316.90 197.13 539.94 196.08 540.61 375.05 318.90 380.30
frame00041.jpg 319.28 195.40 540.03 194.56 541.09 371.47 321.56 378.14
frame00042.jpg 323.62 193.90 542.39 193.06 544.35 368.58 326.54 375.71
frame00043.jpg 329.59 193.29 545.85 191.84 547.55 366.20 330.98 373.30
frame00044.jpg 335.12 191.69 549.96 190.61 551.82 363.21 338.25 370.61
frame00045.jpg 341.76 190.25 554.41 190.31 556.24 361.55 343.76 367.94
frame00046.jpg 346.27 189.15 557.78 190.38 558.45 360.03 347.94 365.89
frame00047.jpg 349.21 188.56 558.65 190.09 558.41 358.29 350.02 363.19
frame00048.jpg 349.82 186.55 557.88 189.65 557.02 356.34 350.68 360.27
frame00049.jpg 352.47 186.77 557.65 189.94 556.73 355.67 352.17 358.17
frame00050.jpg 354.16 188.72 557.28 193.07 555.87 357.37 353.13 359.74
frame00051.jpg 353.47 192.76 555.17 196.57 553.29 359.25 352.28 361.44
frame00052.jpg 352.46 195.62 551.78 200.12 549.82 361.38 350.46 362.86
frame00053.jpg 350.77 197.40 548.16 203.80 546.57 363.00 349.84 363.28
frame00054.jpg 350.58 200.61 545.72 206.87 543.11 365.46 347.89 364.47
frame00055.jpg 349.32 201.66 542.89 209.30 539.55 365.52 346.14 363.63
frame00056.jpg 347.85 201.43 539.56 209.67 535.78 364.92 344.00 361.51
frame00057.jpg 345.15 201.04 535.25 209.96 531.64 363.63 341.62 359.89
frame00058.jpg 342.72 201.39 531.11 210.50 527.51 362.15 338.35 359.37
frame00059.jpg 340.24 202.44 526.93 210.61 523.52 361.41 336.30 358.11
frame00060.jpg 337.97 202.57 523.87 211.11 520.35 360.25 335.26 358.00
