frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 81.92 118.98 515.03 118.99 515.08 372.98 82.01 372.99
frame00002.jpg 79.98 122.45 512.76 122.11 513.47 374.62 80.01 375.42
frame00003.jpg 78.68 123.64 511.19 123.13 512.65 375.33 79.25 376.50
frame00004.jpg 78.55 124.67 510.79 124.05 512.50 376.17 79.21 377.46
frame00005.jpg 78.36 125.70 510.29 124.81 512.25 376.75 79.02 378.33
frame00006.jpg 78.20 126.36 510.02 125.21 512.49 376.62 79.16 378.46
frame00007.jpg 78.43 126.42 510.16 125.24 512.81 377.54 79.34 379.52
frame00008.jpg 78.79 128.28 510.35 126.89 512.89 378.54 79.80 380.86
frame00009.jpg 78.69 128.99 509.83 127.49 512.90 379.67 79.14 382.09
frame00010.jpg 78.38 131.06 509.62 129.50 512.75 381.26 79.10 383.79
frame00011.jpg 78.36 131.55 509.60 130.12 513.11 381.70 79.35 384.27
frame00012.jpg 79.46 132.71 510.32 131.44 514.21 383.99 80.39 385.98
frame00013.jpg 80.83 134.32 511.68 133.32 515.21 384.75 81.44 386.36
frame00014.jpg 81.78 133.53 512.36 132.87 515.56 384.24 81.64 385.40
frame00015.jpg 82.51 133.73 513.05 133.59 515.64 386.13 81.78 386.65
frame00016.jpg 82.22 134.87 513.02 135.13 515.26 386.68 81.01 387.04
frame00017.jpg 81.80 135.02 512.50 135.41 515.11 387.48 80.96 388.00
frame00018.jpg 82.24 136.14 512.83 136.50 515.61 388.02 81.62 388.61
frame00019.jpg 82.80 136.41 513.35 136.60 516.11 388.03 81.96 388.64
frame00020.jpg 82.83 136.40 513.37 136.49 515.94 387.36 81.95 388.23
frame00021.jpg 82.54 135.40 513.25 135.44 515.83 386.54 81.68 387.38
frame00022.jpg 82.07 134.60 513.17 134.81 515.32 385.44 81.52 386.41
frame00023.jpg 81.92 133.09 513.10 133.52 515.46 384.50 81.49 385.28
frame00024.jpg 82.10 133.05 513.36 133.75 515.78 385.64 81.39 386.31
frame00025.jpg 81.65 133.45 513.50 134.13 515.59 385.72 80.88 386.50
frame00026.jpg 81.46 133.69 513.25 134.31 515.37 386.08 81.12 386.80
frame00027.jpg 81.85 134.37 513.04 135.07 515.13 386.15 81.38 386.84
frame00028.jpg 82.36 134.67 512.76 135.30 515.05 386.01 82.16 386.68
frame00029.jpg 83.28 134.79 513.00 135.34 515.73 385.65 83.11 386.28
frame00030.jpg 84.05 134.68 514.01 135.07 516.99 385.84 83.93 386.48
frame00031.jpg 84.63 134.75 515.21 134.52 517.99 385.34 84.48 386.19
frame00032.jpg 84.76 133.77 515.57 133.53 518.22 384.91 84.90 385.75
frame00033.jpg 85.51 134.08 516.18 133.90 518.97 385.63 85.58 386.23
frame00034.jpg 85.98 134.47 516.81 134.32 519.26 385.61 86.11 386.14
frame00035.jpg 86.84 134.48 517.43 134.18 520.16 385.62 87.14 386.04
frame00036.jpg 88.53 134.55 518.75 134.36 522.15 385.96 89.20 385.88
frame00037.jpg 91.02 135.27 520.83 134.99 524.06 386.83 91.50 386.42
frame00038.jpg 92.95 135.83 522.34 135.32 525.16 386.85 92.78 386.28
frame00039.jpg 94.10 136.25 523.13 135.60 525.99 387.68 93.61 386.91
frame00040.jpg 94.79 137.54 523.50 136.73 526.41 388.96 94.14 388.42
frame00041.jpg 95.41 139.39 523.71 138.05 527.01 390.66 94.53 390.19
frame00042.jpg 95.75 141.50 523.48 139.93 526.67 392.14 94.51 392.00
frame00043.jpg 95.24 142.89 522.39 141.05 525.88 392.95 93.62 393.26
frame00044.jpg 94.44 144.98 520.89 142.92 525.58 395.85 93.12 396.83
frame00045.jpg 94.73 149.64 520.54 146.96 525.61 399.03 93.34 400.60
frame00046.jpg 95.07 151.55 519.92 148.45 525.75 399.39 93.53 401.27
frame00047.jpg 95.70 152.85 519.91 149.34 526.37 400.49 94.39 402.66
frame00048.jpg 96.28 154.19 519.94 150.14 526.85 400.46 94.82 403.25
frame00049.jpg 96.47 154.48 519.93 149.78 527.06 400.06 95.26 403.22
frame00050.jpg 96.50 154.54 519.80 149.26 526.87 398.83 95.39 402.42
frame00051.jpg 95.77 152.55 519.09 146.98 526.20 395.69 95.05 399.67
frame00052.jpg 95.83 150.01 519.13 144.30 526.78 393.22 95.92 397.29
frame00053.jpg 96.92 148.01 520.03 141.98 527.49 390.61 97.09 394.66
frame00054.jpg 97.60 145.97 520.66 139.44 528.34 388.59 97.98 392.82
frame00055.jpg 98.29 145.03 521.23 137.92 529.44 387.60 99.04 392.35
frame00056.jpg 99.07 145.23 521.88 137.31 530.04 387.07 99.83 392.40
frame00057.jpg 99.00 145.27 521.65 136.56 530.44 386.48 100.28 392.60
frame00058.jpg 100.22 146.84 522.10 137.56 532.76 389.69 102.37 396.28
frame00059.jpg 103.36 152.57 524.47 142.32 535.49 394.79 105.03 401.18
frame00060.jpg 105.52 155.87 525.65 145.33 537.21 395.53 106.38 402.11
frame00061.jpg 107.83 156.42 527.01 145.35 539.90 395.97 109.07 402.15
frame00062.jpg 111.71 158.20 529.93 146.50 543.81 398.34 113.15 404.09
frame00063.jpg 115.31 160.76 533.07 148.61 546.00 399.21 115.93 404.95
frame00064.jpg 116.48 160.57 533.30 147.76 546.03 397.00 116.06 403.57
frame00065.jpg 116.13 159.81 532.25 145.97 545.54 395.19 116.27 403.10
frame00066.jpg 116.30 159.94 531.54 144.94 545.94 394.24 117.05 403.26
frame00067.jpg 116.85 161.74 531.25 145.62 546.14 394.68 118.04 404.73
frame00068.jpg 116.85 162.81 530.28 145.40 545.79 392.67 118.09 404.34
frame00069.jpg 115.97 161.90 528.71 142.81 544.88 388.83 117.96 402.26
frame00070.jpg 114.63 160.38 526.51 139.54 544.05 385.87 117.69 401.29
frame00071.jpg 114.15 160.91 525.02 138.51 543.55 384.01 117.91 401.09
frame00072.jpg 113.04 159.76 522.96 135.70 542.19 380.27 116.98 399.27
frame00073.jpg 111.45 159.82 520.56 133.92 540.95 378.91 116.50 400.04
frame00074.jpg 110.03 161.03 517.90 133.33 539.62 376.89 115.90 400.27
frame00075.jpg 109.07 161.15 516.04 131.50 539.43 374.17 116.65 399.54
frame00076.jpg 109.63 160.89 515.35 129.43 540.25 371.74 118.31 398.69
frame00077.jpg 110.92 160.66 515.53 127.64 541.20 369.03 120.10 397.24
frame00078.jpg 112.13 159.79 515.67 125.38 542.14 366.86 121.75 396.06
frame00079.jpg 113.10 159.77 515.74 123.91 542.59 364.64 123.04 394.97
frame00080.jpg 113.73 158.92 515.31 121.63 543.05 361.82 124.25 393.58
frame00081.jpg 114.19 159.03 514.86 120.23 543.24 360.53 125.29 393.66
frame00082.jpg 114.30 160.03 513.67 120.03 542.38 359.43 125.01 393.83
frame00083.jpg 112.87 161.03 511.40 119.70 540.71 358.78 124.15 394.91
frame00084.jpg 111.55 161.97 508.95 119.70 539.17 357.54 122.86 395.02
frame00085.jpg 110.49 162.68 506.90 119.27 538.06 356.98 122.46 395.56
frame00086.jpg 110.05 162.95 505.47 118.72 537.21 355.25 122.28 394.70
frame00087.jpg 109.17 162.50 503.76 117.25 536.08 353.21 121.56 393.89
frame00088.jpg 108.39 162.81 502.12 116.45 535.36 352.56 121.81 394.48
frame00089.jpg 108.69 163.98 501.42 116.64 535.14 351.72 122.01 394.55
frame00090.jpg 108.19 164.01 499.94 115.96 534.05 350.01 121.69 393.93
frame00091.jpg 107.16 163.58 498.02 114.49 533.12 348.16 121.23 393.61
frame00092.jpg 107.15 164.88 496.93 114.65 533.09 348.20 122.03 394.53
frame00093.jpg 108.36 165.80 496.80 115.04 533.93 347.72 123.54 394.55
frame00094.jpg 110.28 165.72 497.84 114.68 535.15 346.55 125.71 393.35
frame00095.jpg 112.44 165.90 499.09 114.16 536.53 346.05 127.59 393.19
frame00096.jpg 113.89 165.99 499.65 113.90 537.35 344.84 128.65 392.43
frame00097.jpg 115.43 165.96 500.35 113.31 538.87 344.20 130.65 392.09
frame00098.jpg 117.82 166.00 501.69 112.93 540.89 343.34 132.98 391.44
frame00099.jpg 120.19 167.09 503.23 113.17 542.62 343.87 135.13 392.54
frame00100.jpg 121.38 169.01 503.45 114.17 543.20 343.83 135.98 393.94
frame00101.jpg 121.08 170.83 502.31 114.75 542.87 343.75 135.87 395.72
frame00102.jpg 120.73 173.47 501.00 115.82 543.12 344.68 136.62 398.62
frame00103.jpg 120.72 177.10 500.01 117.90 543.19 345.68 136.53 401.95
frame00104.jpg 118.76 180.11 497.36 119.11 541.55 345.45 135.26 404.60
frame00105.jpg 116.87 182.53 494.27 119.51 540.42 344.73 134.72 406.82
frame00106.jpg 115.92 185.22 491.99 120.19 540.41 345.19 135.23 410.17
frame00107.jpg 115.89 189.58 490.76 122.51 540.54 346.79 135.98 414.40
frame00108.jpg 115.73 193.61 489.38 124.69 540.83 347.19 137.15 416.72
frame00109.jpg 116.63 193.84 489.08 124.03 542.19 344.78 139.19 415.32
frame00110.jpg 119.12 194.07 490.44 123.04 544.01 344.13 141.76 415.51
frame00111.jpg 120.10 194.82 490.72 123.22 544.23 343.80 142.18 415.94
frame00112.jpg 120.23 195.56 490.25 123.95 543.94 343.70 142.37 415.99
frame00113.jpg 120.99 195.58 490.16 124.05 544.30 343.36 143.22 415.65
frame00114.jpg 122.72 195.68 491.12 124.24 545.77 343.46 145.01 415.37
frame00115.jpg 124.80 195.92 492.80 124.66 547.19 343.55 146.54 414.91
frame00116.jpg 126.19 195.26 494.05 124.26 548.17 342.55 147.66 413.27
frame00117.jpg 127.58 193.60 494.93 122.88 548.97 341.27 148.61 411.63
frame00118.jpg 128.83 193.74 496.15 123.19 549.33 342.40 149.06 412.10
frame00119.jpg 129.08 193.56 496.28 123.95 548.98 342.51 148.23 411.30
frame00120.jpg 129.20 193.53 496.27 124.64 548.45 344.32 147.77 411.87
frame00121.jpg 129.29 194.16 496.40 127.05 547.25 346.26 146.20 412.20
frame00122.jpg 127.38 193.52 495.00 128.17 543.94 347.33 142.40 411.68
frame00123.jpg 124.67 193.65 492.38 129.91 540.57 350.35 138.49 413.37
frame00124.jpg 123.33 196.00 490.88 134.37 537.63 354.66 135.39 415.06
frame00125.jpg 120.49 195.29 488.16 136.47 533.03 355.77 130.72 413.96
frame00126.jpg 118.20 195.52 485.67 138.75 529.38 359.97 126.51 415.74
frame00127.jpg 116.26 197.26 483.47 143.70 525.03 364.41 122.28 416.76
frame00128.jpg 114.47 196.83 481.41 146.93 520.57 366.50 118.12 415.09
frame00129.jpg 112.31 193.70 479.22 147.58 515.54 366.59 113.83 410.93
frame00130.jpg 110.51 190.24 476.96 147.70 511.01 366.93 109.83 407.49
frame00131.jpg 109.55 187.89 475.83 148.84 507.56 368.01 106.92 404.45
frame00132.jpg 109.30 183.57 475.69 148.38 505.59 367.30 105.26 399.43
frame00133.jpg 111.02 178.97 478.06 146.85 506.20 366.49 106.08 394.20
frame00134.jpg 115.41 173.42 482.70 144.82 508.71 364.46 109.47 386.78
frame00135.jpg 122.35 167.85 488.17 142.48 511.95 363.27 114.22 380.32
frame00136.jpg 128.68 164.23 493.82 142.16 514.19 363.33 117.82 375.39
frame00137.jpg 133.06 160.70 497.68 142.16 514.58 363.21 118.75 370.86
frame00138.jpg 135.22 157.09 499.66 141.83 513.88 363.35 118.54 367.06
frame00139.jpg 137.38 154.90 501.65 142.82 513.45 364.92 118.72 364.58
frame00140.jpg 139.33 153.37 503.12 144.46 512.07 365.76 118.33 361.91
frame00141.jpg 139.90 150.49 503.02 144.47 510.02 365.62 116.63 358.47
frame00142.jpg 140.21 149.40 502.88 145.83 508.09 368.46 115.20 358.19
frame00143.jpg 140.79 150.49 502.81 149.59 506.18 371.07 113.96 357.75
frame00144.jpg 141.06 149.33 502.21 151.05 503.58 372.15 111.95 355.96
frame00145.jpg 140.55 148.70 500.98 152.78 500.67 373.81 109.43 355.04
frame00146.jpg 139.68 148.46 499.58 154.99 497.26 375.91 106.68 354.28
frame00147.jpg 138.50 147.59 497.57 157.15 493.46 376.70 103.41 352.30
frame00148.jpg 137.32 145.13 495.67 157.83 489.80 376.90 100.33 349.26
frame00149.jpg 136.63 143.24 494.51 159.01 486.11 378.06 97.69 346.94
frame00150.jpg 135.79 141.14 492.91 160.12 482.29 377.71 94.78 343.43
frame00151.jpg 135.11 137.32 491.39 159.54 479.12 376.67 92.49 339.15
frame00152.jpg 136.32 135.61 491.63 160.40 477.94 377.50 92.80 336.92
frame00153.jpg 138.85 135.02 492.94 161.82 478.19 379.17 94.17 335.62
frame00154.jpg 142.75 135.64 495.62 164.08 479.76 380.87 97.22 334.58
frame00155.jpg 147.18 134.84 498.87 164.75 481.66 380.98 100.43 332.34
frame00156.jpg 151.73 134.89 502.23 165.99 483.81 382.84 104.18 331.67
frame00157.jpg 156.32 135.26 505.77 167.36 485.68 383.55 107.57 330.37
frame00158.jpg 160.04 134.96 508.02 168.04 486.32 383.73 109.77 328.66
frame00159.jpg 163.04 134.57 509.99 168.44 486.73 384.16 111.93 327.42
frame00160.jpg 165.50 134.39 511.08 169.05 485.74 383.90 113.04 325.74
frame00161.jpg 165.73 133.44 509.94 169.14 482.66 383.49 111.64 323.97
frame00162.jpg 164.07 131.75 507.15 168.39 478.61 381.75 109.14 321.30
frame00163.jpg 163.14 130.45 504.77 167.99 475.86 381.78 107.57 319.93
frame00164.jpg 163.34 130.90 503.95 169.19 473.91 382.13 107.21 319.20
frame00165.jpg 163.37 129.50 502.76 168.41 471.28 379.92 106.31 316.25
frame00166.jpg 162.96 126.47 501.42 166.26 469.19 377.85 105.60 313.14
frame00167.jpg 163.28 125.65 500.87 165.95 467.66 377.15 105.69 311.64
frame00168.jpg 164.21 124.66 500.65 165.50 466.93 376.39 106.36 309.84
frame00169.jpg 165.43 123.18 500.80 164.41 465.48 374.24 106.89 307.03
frame00170.jpg 165.75 121.13 499.91 163.11 463.92 373.46 106.64 305.19
frame00171.jpg 166.17 121.63 499.64 163.65 463.48 373.39 107.60 304.73
frame00172.jpg 168.91 121.39 501.23 163.25 464.69 373.16 110.40 304.07
frame00173.jpg 170.65 122.21 501.78 163.83 463.79 373.51 110.98 303.94
frame00174.jpg 169.69 121.64 500.06 163.02 461.46 371.61 109.77 302.38
frame00175.jpg 169.43 120.05 498.90 161.65 460.04 370.94 109.45 301.08
frame00176.jpg 169.56 121.19 497.95 163.02 458.63 372.52 109.08 302.24
frame00177.jpg 169.04 122.12 496.54 163.80 456.67 372.23 108.20 301.98
frame00178.jpg 169.32 122.26 496.33 164.83 456.58 373.66 108.95 302.13
frame00179.jpg 172.68 123.87 498.21 166.94 457.59 375.83 111.37 302.94
frame00180.jpg 173.74 125.43 498.21 168.95 456.07 376.93 111.43 303.41
frame00181.jpg 174.36 126.18 497.86 169.95 455.93 378.36 112.03 304.18
frame00182.jpg 175.76 128.18 498.12 172.23 455.18 379.50 112.74 304.78
frame00183.jpg 176.04 127.74 497.41 172.55 453.56 379.07 112.16 303.63
frame00184.jpg 176.34 127.41 496.89 172.55 452.76 379.52 112.32 303.32
frame00185.jpg 176.41 128.46 496.39 173.65 451.57 379.67 112.37 303.57
frame00186.jpg 176.22 126.69 495.48 171.79 450.18 376.61 112.08 300.75
frame00187.jpg 175.36 123.95 494.18 169.10 448.18 373.84 110.98 298.22
frame00188.jpg 173.67 120.10 492.73 165.36 446.34 368.35 110.30 293.61
frame00189.jpg 174.21 116.80 492.55 161.55 447.22 367.24 111.45 291.76
frame00190.jpg 175.03 118.42 492.99 162.29 447.09 367.57 112.28 292.91
frame00191.jpg 174.90 118.78 492.29 162.13 446.41 367.07 112.33 292.92
frame00192.jpg 174.71 118.13 491.36 161.47 444.98 365.75 111.50 291.47
frame00193.jpg 174.07 116.43 490.59 160.37 444.11 364.36 111.27 289.41
frame00194.jpg 175.90 114.78 491.72 159.72 444.54 364.11 112.64 287.73
frame00195.jpg 177.35 115.02 492.35 161.16 443.69 364.71 112.98 287.14
frame00196.jpg 178.45 112.95 492.95 160.41 443.51 362.83 113.68 283.88
frame00197.jpg 180.63 110.95 494.66 159.49 444.39 362.27 115.24 281.71
frame00198.jpg 183.05 109.20 496.69 158.82 445.31 360.78 117.25 278.93
frame00199.jpg 185.88 107.23 499.16 158.25 446.58 360.19 119.69 276.70
frame00200.jpg 189.38 105.54 502.08 157.87 448.53 359.92 122.57 274.48
frame00201.jpg 193.19 106.35 504.85 159.78 450.25 362.01 125.62 274.92
frame00202.jpg 195.95 107.33 506.76 161.88 450.75 363.21 127.33 274.68
frame00203.jpg 198.55 106.89 508.60 162.69 451.75 362.76 129.43 272.91
frame00204.jpg 201.58 106.28 510.64 163.95 452.45 365.32 131.24 272.72
frame00205.jpg 203.72 109.09 511.76 168.09 452.49 368.20 132.58 274.38
frame00206.jpg 205.83 110.05 512.68 169.71 452.37 368.82 133.81 274.36
frame00207.jpg 205.74 110.68 511.75 170.73 450.32 369.58 132.82 274.84
frame00208.jpg 203.65 111.48 508.78 171.57 446.95 370.27 130.10 275.79
frame00209.jpg 200.66 112.49 505.62 172.38 445.32 370.40 128.26 276.29
frame00210.jpg 202.21 112.70 506.92 172.88 446.96 371.23 130.40 276.43
frame00211.jpg 203.61 114.47 507.28 174.84 446.10 372.85 130.65 277.76
frame00212.jpg 203.77 113.92 507.36 174.72 446.21 371.83 131.11 276.32
frame00213.jpg 205.16 113.68 508.43 175.37 446.32 373.16 131.78 276.38
frame00214.jpg 205.26 113.48 508.28 175.52 445.68 372.45 131.40 275.46
frame00215.jpg 205.39 112.02 508.82 174.61 446.19 371.69 131.86 273.99
frame00216.jpg 207.52 110.08 511.49 173.70 448.39 371.07 134.26 272.05
frame00217.jpg 209.83 108.59 513.81 172.87 449.55 370.20 135.84 270.40
frame00218.jpg 211.59 106.72 516.25 171.66 452.01 369.64 138.03 268.82
frame00219.jpg 214.93 106.52 519.34 172.03 454.14 370.55 141.04 268.59
frame00220.jpg 216.67 106.83 520.82 173.20 454.81 371.84 141.99 268.84
frame00221.jpg 218.02 107.83 522.26 174.84 456.41 373.73 143.56 269.86
frame00222.jpg 221.54 109.64 525.73 177.16 460.10 376.33 147.41 271.30
frame00223.jpg 225.87 109.92 530.50 177.92 463.02 375.82 151.05 270.18
