frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 329.95 195.98 565.06 195.93 565.01 435.97 330.04 435.94
frame00002.jpg 330.09 196.57 564.85 197.13 564.79 435.91 329.78 435.35
frame00003.jpg 330.58 196.16 565.33 196.45 565.59 435.67 330.69 435.11
frame00004.jpg 331.28 196.14 566.14 196.22 566.17 435.50 331.30 434.97
frame00005.jpg 331.54 196.41 566.36 196.23 566.64 435.41 331.67 435.35
frame00006.jpg 331.21 196.72 566.16 195.27 566.79 434.43 331.69 435.49
frame00007.jpg 330.18 196.68 565.22 194.99 565.98 434.82 330.60 436.34
frame00008.jpg 329.12 197.10 564.30 195.31 565.47 434.88 329.79 436.32
frame00009.jpg 329.06 196.27 564.36 194.69 565.57 434.50 330.00 435.55
frame00010.jpg 329.18 195.98 564.55 194.72 565.42 434.60 329.97 435.54
frame00011.jpg 329.50 195.86 564.76 194.82 565.52 434.75 330.14 435.12
frame00012.jpg 330.30 196.16 565.37 195.82 565.86 436.18 330.47 435.93
frame00013.jpg 330.98 197.21 565.85 197.57 566.08 437.52 330.87 436.86
frame00014.jpg 331.70 198.99 566.28 199.59 566.61 439.17 331.68 438.05
frame00015.jpg 333.02 200.08 567.10 200.99 567.22 440.73 332.68 439.26
frame00016.jpg 333.71 202.23 567.38 203.56 567.10 442.74 332.75 441.09
frame00017.jpg 334.14 202.99 567.48 204.36 567.39 442.26 333.43 440.48
frame00018.jpg 334.76 202.40 567.65 203.54 567.51 441.81 333.81 440.56
frame00019.jpg 334.86 204.18 567.46 205.05 567.60 443.38 334.17 442.25
frame00020.jpg 335.54 205.28 567.83 206.67 567.63 443.90 334.61 442.46
frame00021.jpg 335.74 205.33 567.73 206.70 567.32 444.00 334.64 442.98
frame00022.jpg 335.25 206.13 566.85 207.38 566.40 443.73 334.09 442.94
frame00023.jpg 334.77 205.85 566.15 207.28 565.45 443.60 333.49 442.72
frame00024.jpg 333.69 204.37 564.91 206.30 563.74 441.18 332.03 440.75
frame00025.jpg 332.21 202.90 563.20 204.45 562.34 439.83 330.99 440.19
frame00026.jpg 331.15 202.70 561.81 203.82 561.18 438.79 330.29 439.91
frame00027.jpg 329.90 202.27 560.26 203.21 559.63 437.42 329.34 439.26
frame00028.jpg 329.19 201.52 559.05 202.40 558.46 436.14 329.03 438.80
frame00029.jpg 329.04 201.20 558.04 202.52 557.50 435.36 328.40 437.79
frame00030.jpg 328.46 200.24 556.99 202.24 555.73 434.96 327.48 437.34
frame00031.jpg 327.93 200.10 555.81 203.00 554.27 435.00 326.73 436.82
frame00032.jpg 328.03 199.31 555.42 203.31 553.34 434.87 326.46 436.11
frame00033.jpg 328.64 199.18 555.33 203.99 552.95 434.47 326.86 435.50
frame00034.jpg 329.44 198.64 555.36 204.34 552.12 434.17 326.89 434.88
frame00035.jpg 329.52 198.43 554.68 204.83 550.98 433.75 326.70 434.54
frame00036.jpg 330.06 198.63 554.42 205.70 550.31 433.51 327.35 434.48
frame00037.jpg 330.91 197.81 554.23 205.34 549.65 432.50 327.55 433.66
frame00038.jpg 331.07 198.19 553.62 206.18 548.99 432.70 327.88 433.65
frame00039.jpg 331.97 197.84 553.83 206.13 549.07 431.63 328.55 432.58
frame00040.jpg 332.39 197.34 553.63 205.68 548.57 430.76 328.74 432.12
frame00041.jpg 332.11 197.04 552.92 205.47 547.54 429.81 328.07 431.39
frame00042.jpg 331.67 196.54 552.06 205.25 546.28 430.00 327.49 431.43
frame00043.jpg 331.12 196.85 551.39 205.66 545.42 429.86 326.94 431.53
frame00044.jpg 330.50 197.30 550.63 205.95 544.63 429.89 326.47 431.96
frame00045.jpg 330.34 197.77 550.23 205.99 544.47 429.62 326.73 432.31
frame00046.jpg 330.28 197.37 549.91 205.75 544.02 428.27 326.52 431.24
frame00047.jpg 330.12 196.16 549.49 204.69 542.91 427.37 326.07 430.46
frame00048.jpg 329.77 195.55 548.82 204.44 541.74 426.48 325.50 429.67
frame00049.jpg 330.05 194.27 548.48 204.04 540.94 425.52 325.29 428.15
frame00050.jpg 330.30 193.34 548.37 204.24 539.69 425.29 324.95 427.90
frame00051.jpg 330.81 193.29 548.13 204.74 538.93 425.33 324.74 427.62
frame00052.jpg 331.17 193.82 548.22 205.53 538.42 425.59 325.16 428.29
frame00053.jpg 331.92 193.78 548.55 205.66 538.24 424.61 325.76 427.48
frame00054.jpg 333.09 194.35 549.52 206.57 538.40 425.89 326.65 428.86
frame00055.jpg 334.65 195.74 550.51 208.04 538.33 426.54 327.05 429.26
frame00056.jpg 335.34 196.26 551.44 209.30 538.10 427.15 327.25 429.49
frame00057.jpg 336.39 195.74 552.87 209.75 538.74 427.61 327.69 429.00
frame00058.jpg 337.54 195.72 554.64 210.59 539.35 428.12 328.14 428.52
frame00059.jpg 337.83 194.92 555.38 210.14 539.38 428.09 327.70 428.19
frame00060.jpg 337.27 194.83 555.63 210.36 538.59 428.01 326.87 428.13
frame00061.jpg 337.81 193.63 556.75 209.81 538.92 427.31 327.18 426.75
frame00062.jpg 339.69 192.02 559.09 208.94 539.82 426.75 328.15 425.41
frame00063.jpg 340.92 190.87 560.84 208.71 540.35 426.46 328.46 424.35
