frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 236.36 175.95 462.51 179.91 462.42 404.93 236.72 400.87
frame00002.jpg 236.21 175.26 462.36 179.47 462.88 403.88 237.12 400.31
frame00003.jpg 236.39 175.69 462.51 179.36 462.88 404.12 237.24 400.32
frame00004.jpg 236.91 175.38 462.97 179.11 462.91 404.29 236.86 399.78
frame00005.jpg 236.84 174.78 462.85 178.60 463.23 403.98 236.66 399.96
frame00006.jpg 236.77 174.14 462.73 178.02 463.33 403.45 236.89 399.31
frame00007.jpg 236.40 173.46 462.58 177.39 463.39 402.75 236.97 398.71
frame00008.jpg 236.18 172.79 462.74 176.88 462.99 401.67 237.11 397.65
frame00009.jpg 236.09 172.11 463.00 175.91 463.02 401.55 236.87 397.21
frame00010.jpg 236.12 171.43 462.77 175.27 463.37 401.76 236.74 396.82
frame00011.jpg 235.57 171.22 462.83 175.11 463.26 400.69 236.49 395.94
frame00012.jpg 235.04 170.59 462.59 174.64 462.27 400.24 235.67 395.98
frame00013.jpg 234.76 170.32 462.12 174.43 462.48 401.09 235.18 395.74
frame00014.jpg 233.91 170.09 461.99 174.27 461.16 399.99 234.58 395.39
frame00015.jpg 233.08 169.63 461.04 174.26 460.49 400.37 233.60 395.84
frame00016.jpg 232.03 169.55 460.09 174.35 459.59 400.94 232.61 396.07
frame00017.jpg 230.49 169.85 459.01 174.59 458.75 400.57 232.01 395.89
frame00018.jpg 229.64 170.33 457.66 175.22 457.53 401.40 229.98 396.84
frame00019.jpg 228.05 170.83 456.32 175.73 456.51 402.34 229.32 397.62
frame00020.jpg 227.32 171.90 455.05 177.03 455.43 403.43 227.41 399.48
frame00021.jpg 226.08 173.57 454.02 178.73 454.54 405.35 226.68 400.73
frame00022.jpg 224.28 175.29 452.75 180.64 453.24 406.52 225.21 402.42
frame00023.jpg 222.87 177.34 451.32 183.10 451.88 409.21 223.02 404.64
frame00024.jpg 220.64 179.28 449.36 185.57 449.90 410.72 221.28 406.44
frame00025.jpg 218.67 182.20 447.30 188.87 447.81 413.50 219.13 409.21
frame00026.jpg 216.08 184.16 445.25 190.87 445.04 415.44 215.93 412.43
frame00027.jpg 213.80 186.65 442.97 193.45 443.29 418.56 212.80 414.98
frame00028.jpg 209.96 188.30 440.65 195.74 440.24 419.86 210.08 417.23
frame00029.jpg 206.52 190.98 438.21 198.58 436.85 424.33 206.75 420.91
frame00030.jpg 203.75 193.23 434.97 201.13 435.24 428.65 202.17 424.79
frame00031.jpg 198.44 194.49 431.80 203.39 430.68 430.12 197.35 428.27
frame00032.jpg 195.08 196.81 428.43 205.79 428.99 435.32 193.30 431.78
frame00033.jpg 190.91 198.56 426.42 208.39 424.72 436.89 189.07 433.63
frame00034.jpg 186.90 199.80 423.66 209.82 421.65 439.13 185.23 435.95
frame00035.jpg 182.95 200.69 420.41 212.11 418.94 441.69 180.69 438.91
frame00036.jpg 179.70 201.44 418.23 213.11 416.24 444.40 176.53 441.61
frame00037.jpg 175.60 202.01 416.75 214.09 413.73 445.83 173.63 443.02
frame00038.jpg 171.64 202.33 414.27 214.51 410.53 447.92 168.21 445.02
frame00039.jpg 166.96 202.65 410.94 216.06 407.81 449.62 163.98 447.11
frame00040.jpg 163.42 202.87 408.99 216.36 405.60 451.86 160.38 448.64
frame00041.jpg 160.02 203.64 407.52 217.47 404.24 451.95 157.19 450.39
frame00042.jpg 159.05 205.12 408.22 215.82 404.53 455.00 156.36 452.26
frame00043.jpg 157.23 205.58 409.83 215.87 403.99 454.84 156.13 452.17
frame00044.jpg 157.56 205.50 409.79 215.93 405.39 456.16 156.24 454.68
frame00045.jpg 158.52 205.59 410.58 215.80 407.75 456.53 157.60 456.66
frame00046.jpg 159.89 204.69 413.03 215.55 409.87 455.12 159.87 457.54
frame00047.jpg 163.01 203.08 416.67 214.27 413.62 454.88 162.62 458.11
frame00048.jpg 167.50 203.43 421.03 212.74 419.90 454.05 166.90 457.17
frame00049.jpg 171.42 201.43 427.97 210.68 424.54 451.29 173.00 454.49
frame00050.jpg 177.15 198.64 432.74 208.15 429.97 448.18 178.67 454.71
frame00051.jpg 184.55 196.78 438.62 206.20 436.58 445.99 185.44 453.60
frame00052.jpg 192.42 194.94 443.34 205.04 444.72 444.71 192.82 453.17
frame00053.jpg 199.72 192.73 448.36 203.55 451.17 442.23 199.93 453.86
frame00054.jpg 206.04 190.82 457.48 202.07 457.67 437.70 208.65 450.29
frame00055.jpg 212.72 188.09 461.49 199.11 463.79 435.74 214.41 449.48
frame00056.jpg 217.91 186.86 466.77 196.26 469.24 432.79 222.25 446.56
frame00057.jpg 223.63 185.70 470.62 194.14 474.69 430.94 227.83 446.64
frame00058.jpg 229.15 182.35 474.57 192.32 477.01 428.05 231.31 445.49
frame00059.jpg 232.88 179.64 477.96 189.77 479.18 424.45 234.04 445.17
frame00060.jpg 234.69 177.53 481.64 185.98 480.99 422.69 240.00 440.35
frame00061.jpg 237.86 176.80 480.57 185.97 482.07 420.84 240.31 441.31
