frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 328.07 215.03 543.07 214.95 543.01 440.97 328.04 440.95
frame00002.jpg 328.57 213.84 543.44 212.57 543.67 438.90 329.46 439.43
frame00003.jpg 329.31 213.81 543.92 211.73 544.55 438.73 330.41 439.87
frame00004.jpg 330.24 214.71 543.80 212.31 544.45 438.79 330.84 440.09
frame00005.jpg 329.57 214.74 542.82 212.00 543.54 438.38 329.89 440.51
frame00006.jpg 328.15 216.52 540.99 213.46 542.21 439.57 328.84 442.04
frame00007.jpg 327.12 218.09 539.89 215.56 541.25 441.18 328.49 443.78
frame00008.jpg 327.25 221.12 539.72 218.21 541.58 443.66 329.17 445.79
frame00009.jpg 327.09 222.90 539.09 220.65 540.37 445.11 328.12 447.45
frame00010.jpg 325.36 224.59 537.26 222.39 538.47 446.00 327.03 448.86
frame00011.jpg 325.30 226.39 536.12 223.24 538.06 446.24 326.72 449.76
frame00012.jpg 324.01 227.10 534.77 223.35 537.30 444.75 326.65 449.71
frame00013.jpg 323.66 227.50 533.52 222.34 537.12 443.29 327.21 450.10
frame00014.jpg 323.54 228.23 532.81 221.77 536.37 441.65 327.30 449.98
frame00015.jpg 322.45 228.12 530.57 220.17 534.56 438.84 326.31 448.97
frame00016.jpg 320.49 227.07 528.20 218.12 532.92 435.05 325.49 446.43
frame00017.jpg 319.20 224.80 526.37 214.86 531.77 432.81 324.26 445.07
frame00018.jpg 317.54 225.21 525.31 214.77 530.92 433.32 323.74 445.75
frame00019.jpg 317.33 225.19 525.08 215.54 530.70 433.54 323.62 445.53
frame00020.jpg 318.27 224.61 525.51 214.91 531.15 432.57 324.46 444.92
frame00021.jpg 318.59 224.81 525.77 214.42 531.33 432.27 325.05 445.59
frame00022.jpg 318.17 225.40 525.52 214.45 531.19 431.52 324.91 445.19
frame00023.jpg 319.23 224.44 525.91 213.43 531.90 430.78 325.85 445.27
frame00024.jpg 319.86 225.22 526.42 213.85 532.59 430.76 326.38 445.59
frame00025.jpg 319.33 224.87 526.54 213.46 532.72 429.95 326.96 445.22
frame00026.jpg 320.42 224.39 526.60 212.50 533.19 428.30 327.82 444.18
frame00027.jpg 319.76 224.22 526.24 210.85 532.66 426.42 327.70 443.63
frame00028.jpg 318.95 223.72 524.66 209.80 531.59 425.92 326.36 443.84
frame00029.jpg 316.91 224.47 522.92 210.40 530.34 425.93 325.35 444.57
frame00030.jpg 315.81 223.40 522.23 209.27 529.56 424.04 325.14 443.31
frame00031.jpg 315.62 222.66 521.24 208.33 528.77 422.68 324.78 442.78
frame00032.jpg 314.79 222.84 520.56 206.89 528.49 420.28 325.25 441.44
frame00033.jpg 314.95 221.79 519.69 205.61 528.44 419.34 325.14 441.56
frame00034.jpg 315.02 221.64 519.55 204.65 528.73 418.30 326.00 441.26
frame00035.jpg 315.67 221.45 520.54 204.35 529.92 417.92 327.77 441.31
frame00036.jpg 316.48 221.69 521.50 204.23 531.24 417.43 329.19 441.06
frame00037.jpg 317.76 221.61 522.63 204.18 531.97 417.00 330.25 440.93
frame00038.jpg 318.67 222.09 523.02 204.66 532.39 416.53 330.87 440.83
frame00039.jpg 319.11 221.98 522.70 204.01 532.55 416.02 330.89 441.30
frame00040.jpg 318.50 221.72 521.80 203.17 532.04 413.58 330.62 439.99
frame00041.jpg 316.62 221.13 520.56 201.51 531.25 411.95 329.95 439.54
frame00042.jpg 315.47 220.15 518.71 199.64 529.79 410.09 328.40 438.65
frame00043.jpg 313.16 220.15 516.75 198.44 528.23 409.09 327.33 438.90
frame00044.jpg 311.68 220.15 515.19 197.42 527.59 408.03 326.88 439.30
frame00045.jpg 310.88 220.81 514.36 196.00 527.96 405.39 327.37 438.11
frame00046.jpg 310.69 219.82 513.41 193.14 528.30 403.45 327.63 438.04
frame00047.jpg 310.33 219.99 513.18 191.35 528.60 401.11 328.64 437.01
frame00048.jpg 311.13 218.78 513.44 189.28 529.27 399.04 329.40 435.35
frame00049.jpg 311.13 217.45 513.59 187.03 529.57 397.61 329.80 435.14
frame00050.jpg 310.71 218.04 512.66 186.83 529.05 396.83 329.36 434.82
frame00051.jpg 310.06 217.49 512.07 186.06 528.89 395.95 328.95 434.76
frame00052.jpg 309.15 217.19 511.34 184.45 528.28 394.31 328.82 434.79
frame00053.jpg 307.91 216.96 510.26 182.56 528.21 392.38 329.06 434.43
frame00054.jpg 306.85 217.07 509.51 181.23 527.76 391.48 329.08 435.38
