frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 241.000011 168.002769 430.999089 172.997267 426.999660 442.002647 244.999198 437.997588
frame00002.jpg 241.897985 168.374703 432.296889 172.058057 427.904956 442.777325 245.971149 437.406473
frame00003.jpg 242.061066 167.754355 432.529664 172.429886 428.101296 442.332820 246.211180 437.875108
frame00004.jpg 243.009025 168.339732 433.503327 172.290243 428.746286 443.287759 247.188179 437.597358
frame00005.jpg 242.927506 168.229885 433.610870 172.971520 429.041661 443.112033 247.138600 438.261373
frame00006.jpg 243.574821 168.674491 434.021364 173.437293 429.353326 443.827703 247.488043 438.516683
frame00007.jpg 244.105588 169.799971 434.131286 174.562493 429.900069 444.468082 247.991369 438.894320
frame00008.jpg 243.933531 169.766419 434.285413 174.751423 429.812517 444.790628 247.954150 439.478672
frame00009.jpg 243.818699 169.793853 434.253981 174.944963 429.743787 444.668530 247.840715 439.877465
frame00010.jpg 244.129028 170.324851 434.228172 175.384639 429.731343 445.218504 247.978372 440.186848
frame00011.jpg 243.931318 170.478797 434.107560 175.707442 429.609445 445.127719 247.803595 440.513741
frame00012.jpg 244.113626 171.262739 434.070711 176.284905 429.755297 445.959205 247.880718 440.666965
frame00013.jpg 244.461011 172.858067 434.156652 177.556302 429.756498 446.822649 248.561062 441.402942
frame00014.jpg 245.370628 174.549867 434.583613 178.908212 430.019778 448.163379 249.131176 442.422540
frame00015.jpg 245.343267 175.830861 434.887963 180.591456 430.245437 449.057746 249.306400 443.725726
frame00016.jpg 246.525304 177.311901 434.932337 181.703078 430.690346 450.476459 250.060393 444.485235
frame00017.jpg 246.661172 177.803058 436.200321 182.451799 431.567463 451.283515 250.437917 445.124661
frame00018.jpg 247.930713 178.735544 436.283197 183.352052 432.031214 452.131520 251.477128 445.809667
frame00019.jpg 248.430538 179.609017 437.456185 183.879011 433.104192 453.010616 252.302890 446.349595
frame00020.jpg 249.368815 179.994714 438.445924 183.895576 433.551711 453.519815 252.831537 446.955854
frame00021.jpg 249.727178 180.206909 439.034326 184.563641 434.433417 453.990470 253.627724 447.241655
frame00022.jpg 250.861847 180.731495 440.037295 184.311984 435.348707 454.370302 254.633379 447.410732
frame00023.jpg 251.903719 180.802289 440.923651 184.306156 436.133537 454.206124 255.347750 447.583539
frame00024.jpg 252.924305 180.782632 441.812669 184.237728 437.067187 453.905860 256.498229 447.543494
frame00025.jpg 253.943890 180.323646 442.949079 184.134759 438.176446 453.071970 257.827956 446.798397
frame00026.jpg 255.443815 179.856665 444.441852 184.027141 439.416093 452.144987 259.267979 445.954977
frame00027.jpg 257.194043 179.053261 445.827427 182.916057 440.983426 450.896742 260.794414 444.194458
frame00028.jpg 259.075688 178.168143 447.432229 182.132415 442.315817 449.377438 262.902006 443.023000
frame00029.jpg 261.446513 178.342363 449.060951 182.398965 444.205107 449.010513 265.180893 443.166223
frame00030.jpg 265.175251 181.166483 451.015716 185.258080 446.207358 450.020673 269.282298 443.682070
frame00031.jpg 269.743702 187.274152 452.887780 191.891521 448.420126 452.955191 273.244209 446.876455
frame00032.jpg 275.491542 197.588385 454.602141 201.289590 449.753108 457.900839 278.751980 451.244882
frame00033.jpg 279.764265 208.300954 455.412650 211.934347 450.535252 462.193577 282.351963 455.463563
frame00034.jpg 283.438892 216.493596 454.690700 220.494476 449.927007 463.417914 286.389941 457.154066
frame00035.jpg 287.711851 223.920411 454.643981 228.498771 449.659436 463.902838 290.465599 457.430977
frame00036.jpg 292.998918 230.758982 454.798605 234.534171 449.583525 463.535639 295.341949 456.691915
frame00037.jpg 298.112341 236.994513 455.118405 240.797428 450.047549 462.790139 300.084360 455.546287
frame00038.jpg 302.994679 243.742498 455.373494 247.278317 450.196913 461.933330 304.939955 455.002475
frame00039.jpg 308.288178 249.267251 455.881793 252.939573 450.780085 460.264335 309.881671 453.354687
frame00040.jpg 313.398776 252.997918 456.497388 257.470185 451.264078 457.198692 314.851569 450.532455
frame00041.jpg 318.450170 255.009917 457.417888 259.205725 451.842512 452.123314 319.860453 445.443000
frame00042.jpg 323.354629 254.366496 457.882512 258.365021 452.231858 445.192240 324.325881 438.145891
frame00043.jpg 327.530178 251.178721 457.908650 255.762849 451.966387 436.576713 327.997448 429.928431
frame00044.jpg 330.725835 247.193224 457.531559 251.606127 451.470702 426.694307 331.264157 420.193471
frame00045.jpg 333.422570 242.140129 457.212214 246.087299 450.317402 417.008841 334.239605 409.931042
frame00046.jpg 334.478013 236.214554 454.515440 240.558842 447.666619 406.076741 334.521398 399.775465
frame00047.jpg 334.241639 230.300877 451.074265 234.897470 444.406180 395.806364 334.350699 389.574575
frame00048.jpg 332.900226 225.493019 446.715035 229.917592 439.911812 386.447939 333.074847 380.753818
frame00049.jpg 330.747948 222.057412 441.566515 226.318709 434.770245 378.580111 330.662168 373.119216
frame00050.jpg 327.862956 220.397918 435.356312 224.905749 428.965368 372.881829 327.457751 367.485238
frame00051.jpg 324.373782 220.817465 429.102268 225.126371 422.903133 368.594524 324.201737 363.943144
frame00052.jpg 320.445345 221.764029 422.771691 225.924919 416.792993 365.990233 320.273293 361.554238
frame00053.jpg 316.985631 222.851127 417.059764 226.923907 410.984775 363.743565 316.706056 359.704219
frame00054.jpg 312.810135 226.367914 410.648282 230.306579 404.757296 363.356441 312.677962 359.879341
frame00055.jpg 309.201991 230.598625 404.691887 233.985334 399.061126 363.950703 309.030168 360.865045
frame00056.jpg 306.005155 234.990168 399.346798 238.279794 393.875519 365.012702 305.643975 362.668147
frame00057.jpg 302.332111 239.673260 393.771267 242.246480 388.324138 365.871939 302.220515 364.004769
frame00058.jpg 299.551577 243.648953 388.629804 245.971244 383.488838 366.224934 299.208958 365.171916
frame00059.jpg 296.841095 245.800225 384.674856 247.479563 379.353507 365.374111 296.986187 364.870894
frame00060.jpg 296.065015 248.010421 381.721685 249.084913 376.549951 364.291177 296.140861 364.635813
frame00061.jpg 296.538492 249.600944 380.492390 250.060103 375.530621 362.685330 297.008387 363.555234
frame00062.jpg 299.154947 250.912251 380.838173 250.776748 376.122189 360.566980 299.700582 362.365860
frame00063.jpg 303.086002 251.810336 382.380350 250.863248 377.673324 358.077028 303.344819 360.348381
