frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 207.001 134.002 557.995 122.001 562.003 485.009 198.994 485.993 
frame00002.jpg 206.521 134.096 558.006 121.754 561.782 485.141 199.152 485.987 
frame00003.jpg 206.66 135.333 557.865 121.71 562.012 485.41 199.517 486.397 
frame00004.jpg 206.536 136.408 557.752 121.927 563.508 485.31 200.437 487.547 
frame00005.jpg 206.119 136.65 557.505 122.12 563.132 484.662 201.561 487.867 
frame00006.jpg 205.439 137.637 556.861 122.422 563.3 484.082 202.026 489.467 
frame00007.jpg 205.086 140.759 556.905 122.741 564.348 484.989 203.387 492.116 
frame00008.jpg 204.228 141.668 556.307 122.327 564.603 483.96 203.672 492.685 
frame00009.jpg 204.195 143.652 555.283 122.313 566.239 484.679 204.685 495.552 
frame00010.jpg 203.794 146.035 555.197 122.169 566.851 484.947 205.559 497.301 
frame00011.jpg 203.039 148.033 554.017 122.248 567.182 483.973 206.057 500.686 
frame00012.jpg 201.6 150.579 552.984 121.532 568.118 483.731 206.73 502.533 
frame00013.jpg 201.314 154.088 552.503 121.281 569.191 482.829 208.699 507.33 
frame00014.jpg 200.436 159.1 550.239 121.119 571.119 483.088 210.073 511.332 
frame00015.jpg 199.908 161.89 550.585 121.492 570.758 482.613 210.817 512.807 
frame00016.jpg 199.413 165.721 550.552 120.887 571.817 480.919 213.992 515.245 
frame00017.jpg 198.797 170.728 548.14 121.782 573.798 482.451 215.754 521.256 
frame00018.jpg 198.208 175.472 547.928 121.623 575.869 481.021 217.999 524.685 
frame00019.jpg 198.058 180.448 546.908 120.397 578.122 480.487 220.203 530.258 
frame00020.jpg 197.753 185.593 545.184 120.808 581.618 480.229 223.037 534.164 
frame00021.jpg 197.182 191.348 545.348 122.741 584.194 480.956 225.788 541.461 
frame00022.jpg 197.221 195.591 543.935 123.002 585.812 480.407 227.798 545.01 
frame00023.jpg 196.462 201.778 541.046 125.111 587.31 480.512 230.423 551.42 
frame00024.jpg 197.398 208.215 540.367 124.07 591.3 480.638 234.398 556.142 
frame00025.jpg 198.943 213.948 540.741 126.037 592.59 481.058 236.515 561.358 
frame00026.jpg 198.469 219.466 539.44 126.667 595.594 481.546 239.33 566.875 
frame00027.jpg 197.306 226.071 538.855 123.903 596.862 478.948 242.049 572.609 
frame00028.jpg 197.371 230.128 538.5 122.977 600.273 478.242 245.297 575.825 
frame00029.jpg 197.691 234.27 537.342 123.52 601.48 476.852 247.288 580.019 
frame00030.jpg 197.665 239.614 536.943 125.378 603.291 478.038 249.783 583.834 
frame00031.jpg 198.109 243.7 539.311 122.488 604.971 476.812 252.359 586.538 
frame00032.jpg 196.991 246.818 537.032 124.005 605.601 475.882 253.482 590.995 
frame00033.jpg 198.03 250.388 536.31 124.602 607.256 475.555 255.707 594.848 
frame00034.jpg 197.677 252.037 534.683 124.073 607.927 474.326 257.404 596.408 
frame00035.jpg 198.814 254.457 535.304 124.062 610.276 474.732 259.671 598.643 
frame00036.jpg 200.03 256.066 536.209 122.916 612.42 474.42 261.424 599.817 
frame00037.jpg 200.553 257.564 536.425 124.743 612.536 474.427 262.805 601.645 
frame00038.jpg 201.758 259.224 536.468 124.427 614.629 474.599 264.836 602.547 
frame00039.jpg 203.932 258.277 538.983 124.928 616.752 475.044 267.089 602.245 
frame00040.jpg 205.89 258.308 540.379 125.576 619.225 474.675 267.953 602.125 
frame00041.jpg 206.223 257.886 541.721 125.784 618.459 475.249 268.525 602.184 
frame00042.jpg 207.36 256.309 543.471 124.92 618.589 474.664 268.726 600.656 
frame00043.jpg 208.562 254.691 544.533 123.535 618.64 474.421 269.419 598.963 
frame00044.jpg 210.538 252.405 546.287 123.784 619.114 473.805 268.872 596.675 
frame00045.jpg 211.168 249.871 547.199 121.818 619.387 472.868 267.881 593.907 
