frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 236 102 497 99.0006 495.001 540 244 538.001 
frame00002.jpg 236.724 102.127 497.301 98.9098 495.542 540.383 244.33 537.389 
frame00003.jpg 238.091 102.227 498.617 98.6828 496.592 540.287 245.939 537.006 
frame00004.jpg 239.286 102.968 499.387 99.0277 497.337 540.43 247.1 537.41 
frame00005.jpg 241.31 102.125 501.506 99.2791 498.915 539.191 248.724 536.73 
frame00006.jpg 242.674 101.131 503.621 99.0168 499.647 537.825 249.428 535.649 
frame00007.jpg 243.979 100.793 503.864 97.8348 500.776 537.266 251.324 533.146 
frame00008.jpg 245.34 100.406 504.928 97.1917 501.087 536.346 251.399 532.167 
frame00009.jpg 246.181 98.3722 505.679 95.8293 502.011 533.708 252.451 529.512 
frame00010.jpg 248.116 96.6304 506.343 95.0479 503.098 531.222 253.582 527.804 
frame00011.jpg 249.465 93.9722 507.304 93.1829 503.584 528.113 255.761 525.648 
frame00012.jpg 250.956 89.741 508.121 89.3563 504.7 523.248 257.255 520.917 
frame00013.jpg 251.986 86.4734 509.438 86.7269 504.893 519.806 257.864 517.432 
frame00014.jpg 254.565 80.9962 512.006 81.0557 506.695 514.589 260.175 510.764 
frame00015.jpg 257.078 75.2891 514.385 75.9536 508.141 508.968 262.408 503.751 
frame00016.jpg 258.962 68.873 516.207 69.4783 509.597 501.386 264.881 495.92 
frame00017.jpg 261.606 62.1449 519.541 62.2055 511.762 494.754 268.358 487.984 
frame00018.jpg 263.716 54.7631 521.657 55.826 513.447 486.217 270.937 480.991 
frame00019.jpg 266.528 47.4049 524.839 49.1858 514.99 478.612 273.136 473.946 
frame00020.jpg 268.295 44.8465 526.39 45.8425 516.068 475.996 275.264 470.399 
frame00021.jpg 268.858 44.9803 527.566 46.1275 516.401 476.532 276.615 470.878 
frame00022.jpg 269.349 50.7112 528.296 51.7514 516.975 481.936 276.539 477.359 
frame00023.jpg 268.741 58.4954 528.483 61.8886 516.632 491.017 275.773 487.332 
frame00024.jpg 268.158 70.0159 528.787 74.5827 516.105 503.127 275.065 499.594 
frame00025.jpg 266.876 85.3432 529.04 89.7072 514.988 517.633 274.732 514.374 
frame00026.jpg 265.408 101.18 528.186 106.167 513.706 531.896 273.232 529.141 
frame00027.jpg 263.633 117.04 527.143 122.305 511.335 546.882 272.224 542.359 
frame00028.jpg 262.769 132.569 525.922 138.797 509.421 559.594 271.541 554.86 
frame00029.jpg 263.795 147.603 525.591 155.781 508.798 567.572 271.651 564.186 
frame00030.jpg 265.634 160.541 525.891 169.157 507.914 576.209 274.346 572.528 
frame00031.jpg 269.194 171.897 526.963 182.949 507.462 580.763 278.503 578.377 
frame00032.jpg 271.304 177.63 530.434 189.96 506.366 583.212 283.517 581.269 
frame00033.jpg 275.959 194.775 532.084 200.496 508.656 587.776 289.077 584.073 
frame00034.jpg 283.404 202.006 534.035 211.86 509.092 584.471 292.777 584.426 
frame00035.jpg 291.449 213.347 537.824 216.81 510.681 587.876 299.889 582.304 
frame00036.jpg 297.944 218.402 540.178 223.229 510.096 583.359 304.711 575.593 
frame00037.jpg 302.85 227.488 536.925 234.345 508.751 581.624 306.632 572.255 
frame00038.jpg 306.187 225.937 539.11 235.094 505.408 571.906 310.241 566.728 
