frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 222.92 165.55 617.21 152.08 629.19 433.03 234.97 446.54 
frame00002.jpg 223.477 165.65 617.347 152.235 629.306 433.237 234.954 446.726 
frame00003.jpg 223.187 165.423 617.585 151.902 628.759 432.832 235.392 446.094 
frame00004.jpg 223.872 165.345 618.101 151.613 629.539 432.765 235.683 445.811 
frame00005.jpg 223.863 165.344 617.683 151.762 629.452 432.533 235.223 445.829 
frame00006.jpg 223.95 165.295 617.633 151.886 630.078 432.231 235.362 445.848 
frame00007.jpg 224.341 165.446 617.701 151.742 629.925 432.312 236.018 446.22 
frame00008.jpg 223.959 165.173 617.857 151.29 629.731 432.138 236.414 445.659 
frame00009.jpg 224.104 165.445 618.258 152.378 629.774 432.331 236.855 445.866 
frame00010.jpg 224.092 165.64 618.271 152.406 629.782 432.623 236.943 445.869 
frame00011.jpg 225.112 165.57 618.962 152.972 630.662 432.887 237.828 445.867 
frame00012.jpg 225.523 165.94 619.747 153.114 631.256 433.335 238.473 445.711 
frame00013.jpg 226.322 165.699 620.294 153.106 631.586 433.761 238.772 445.466 
frame00014.jpg 225.95 165.688 620.396 153.199 631.6 433.68 238.059 445.634 
frame00015.jpg 226.768 166.103 620.626 153.665 631.966 434.125 238.212 446.175 
frame00016.jpg 226.723 166.492 620.849 153.766 631.563 434.552 238.13 446.384 
frame00017.jpg 226.953 166.191 621.374 153.817 631.607 434.099 238.188 446.406 
frame00018.jpg 226.695 166.14 621.317 153.395 631.497 434.365 238.187 446.355 
frame00019.jpg 226.918 165.993 621.028 153.956 632.154 434.856 237.867 446.465 
frame00020.jpg 227.018 166.273 621.229 155.121 631.939 436.21 237.692 446.803 
frame00021.jpg 227.472 166.362 621.567 156.349 632.023 437.215 237.54 447.36 
frame00022.jpg 228.283 165.934 622.01 156.809 631.683 437.728 237.563 446.909 
frame00023.jpg 229.312 166.3 622.766 157.31 631.418 439.202 237.465 447.459 
frame00024.jpg 229.578 166.017 622.698 157.76 631.311 439.509 236.755 447.136 
frame00025.jpg 230.469 165.75 623.327 158.796 631.938 440.551 236.473 447.561 
frame00026.jpg 230.875 166.104 624.148 160.655 631.816 442.783 236.102 448.211 
frame00027.jpg 232.571 164.516 625.901 161.438 631.777 443.801 235.667 446.642 
frame00028.jpg 233.424 163.379 626.596 163.801 631.012 446.852 234.867 446.471 
frame00029.jpg 236.261 162.555 629.475 165.33 632.331 449.644 235.089 445.071 
frame00030.jpg 237.466 162.35 630.175 166.861 632.46 451.364 234.655 444.96 
frame00031.jpg 238.584 161.049 630.851 167.275 632.139 451.955 234.717 444.009 
frame00032.jpg 238.303 160.527 630.661 167.821 632.096 452.95 234.713 443.534 
frame00033.jpg 238.324 159.934 630.863 167.883 631.154 453.191 234.557 443.518 
frame00034.jpg 240.356 160.489 632.61 168.476 631.865 454.197 234.991 443.483 
frame00035.jpg 241.91 160.401 634.088 168.965 632.5 455.122 235.301 443.283 
frame00036.jpg 242.841 160.29 634.7 170.107 632.539 456.672 235.211 443.746 
frame00037.jpg 243.442 160.451 636.021 170.998 632.569 458.046 235.291 443.666 
frame00038.jpg 244.123 159.679 636.735 172.316 632.163 458.952 235.456 443.436 
frame00039.jpg 247.056 159.37 639.825 173.227 633.858 460.724 235.727 442.609 
frame00040.jpg 247.971 159.694 640.938 174.791 634.061 462.753 235.423 442.566 
frame00041.jpg 250.541 158.292 643.467 176.013 635.099 464.421 235.907 441.59 
frame00042.jpg 253.139 157.786 645.372 177.329 636.462 466.7 236.266 440.732 
frame00043.jpg 255.538 157.555 647.783 179.401 637.55 469.748 236.466 440.906 
frame00044.jpg 258.766 156.237 649.531 182.425 638.336 472.092 236.268 439.704 
frame00045.jpg 261.158 155.376 652.016 184.881 638.672 475.17 236.041 438.796 
frame00046.jpg 263.869 154.28 654.695 186.689 639.687 477.422 236.894 438.597 
frame00047.jpg 266.19 153.367 656.576 187.601 639.412 478.8 236.826 437.647 
frame00048.jpg 268.229 152.762 659.644 188.37 640.203 479.539 237.796 436.782 
frame00049.jpg 270.219 152.225 661.605 188.977 641.328 481.442 238.862 436.458 
frame00050.jpg 271.718 152.478 662.427 190.212 641.839 483.013 238.987 436.895 
frame00051.jpg 274.163 152.212 664.396 191.578 642.387 484.596 239.23 436.595 
frame00052.jpg 275.681 151.252 665.834 192.839 642.528 485.601 238.989 436.211 
frame00053.jpg 277.328 151.115 667.477 195.432 642.46 487.926 238.969 437.166 
frame00054.jpg 279.077 150.478 668.862 197.172 643.392 489.655 238.999 436.645 
frame00055.jpg 282.217 150.906 671.724 199.74 642.715 492.706 239.106 436.238 
frame00056.jpg 283.634 151.305 672.578 202.881 642.008 495.323 238.005 436.661 
frame00057.jpg 285.797 151.972 675.109 204.376 643.732 497.006 238.382 436.012 
frame00058.jpg 287.536 152.511 676.402 206.211 643.771 498.929 238.171 436.457 
frame00059.jpg 288.839 152.781 678.17 207.083 644.32 500.657 239.207 435.953 
frame00060.jpg 290.113 152.503 678.688 208.625 643.326 502.429 238.78 435.797 
frame00061.jpg 291.141 151.389 679.688 209.541 642.846 503.602 238.021 434.359 
frame00062.jpg 293.78 151.105 681.704 210.506 643.793 504.232 239.148 433.461 
frame00063.jpg 295.058 151.02 682.313 211.341 643.474 505.04 239.132 433.259 
frame00064.jpg 296.768 150.25 683.556 211.265 643.94 504.792 239.487 431.974 
frame00065.jpg 297.902 149.047 684.046 211.153 644.832 503.836 238.994 430.908 
frame00066.jpg 298.541 148.471 683.531 210.333 644.508 503.232 238.436 429.604 
frame00067.jpg 298.113 147.068 683.825 208.974 644.603 501.167 238.695 428.575 
frame00068.jpg 298.629 146.186 683.822 207.592 645.407 499.309 239.739 428.031 
frame00069.jpg 297.723 145.654 683.156 205.676 645.457 497.357 239.778 427.204 
frame00070.jpg 296.46 144.755 681.946 203.73 645.619 495.105 239.465 426.78 
frame00071.jpg 296.232 143.968 681.45 201.692 646.597 493.029 239.44 426.303 
frame00072.jpg 296.321 143.391 680.907 200.434 646.011 491.786 238.998 426.045 
frame00073.jpg 296.474 142.339 680.751 199.138 645.803 490.43 239.118 425.678 
frame00074.jpg 296.124 142.274 679.673 198.823 645.707 489.346 238.793 425.106 
frame00075.jpg 296.303 141.257 680.164 198.241 646.648 488.391 239.486 424.243 
frame00076.jpg 296.391 140.903 680.084 197.939 646.918 487.663 239.287 424.19 
frame00077.jpg 296.358 140.302 680.98 196.907 647.629 487.1 239.844 423.986 
frame00078.jpg 296.833 139.552 680.221 195.213 647.854 485.343 239.118 423.361 
frame00079.jpg 295.536 137.927 679.839 193.614 648.592 482.349 239.445 422.589 
frame00080.jpg 294.265 137.625 679.389 192.032 649.728 480.285 240.842 422.572 
frame00081.jpg 293.687 137.135 678.301 189.778 650.839 477.256 241.44 422.094 
frame00082.jpg 293.069 137.254 677.469 188.165 651.314 475.27 242.71 422.412 
frame00083.jpg 294.221 137.636 677.099 187.42 652.789 473.668 243.26 422.163 
frame00084.jpg 294.729 137.484 676.463 187.168 653.033 471.87 243.899 421.328 
frame00085.jpg 295.478 137.358 676.177 186.618 653.419 470.695 245.467 420.465 
frame00086.jpg 295.193 136.539 673.667 186.555 652.815 467.773 245.68 420.094 
frame00087.jpg 295.203 135.863 672.112 185.848 652.613 465.596 246.017 419.726 
frame00088.jpg 294.782 134.128 670.731 184.173 652.068 462.821 246.601 419.258 
frame00089.jpg 293.935 133.752 669.021 182.001 652.258 460.087 247.383 418.606 
frame00090.jpg 293.171 133.205 666.88 179.459 652.474 456.263 248.553 418.066 
frame00091.jpg 290.775 132.414 664.09 176.821 652.303 452.934 249.182 417.856 
frame00092.jpg 289.338 131.451 662.133 173.373 650.991 449.019 250.203 417.898 
frame00093.jpg 287.078 129.089 659.579 169.394 650.725 443.647 249.491 417.828 
frame00094.jpg 284.128 128.8 656.758 167.067 650.415 439.897 249.219 418.426 
frame00095.jpg 283.246 129.108 655.218 164.274 651.25 437.093 251.126 418.891 
frame00096.jpg 281.767 129.971 653.763 162.245 651.667 436.086 251.906 419.59 
frame00097.jpg 280.102 128.934 651.571 160.324 651.524 433.259 251.96 419.803 
frame00098.jpg 279.122 128.67 650.696 158.937 651.294 430.846 252.52 420.147 
frame00099.jpg 278.174 129.177 649.609 157.357 651.58 429.204 253.203 420.218 
frame00100.jpg 276.815 128.897 648.595 155.199 652.122 426.72 254.785 420.206 
frame00101.jpg 275.372 129.65 647.54 153.833 652.864 424.673 255.203 421.095 
frame00102.jpg 274.287 129.567 646.998 150.819 652.637 422.804 256.576 420.953 
frame00103.jpg 273.371 129.685 644.734 150.053 652.051 420.984 256.794 421.79 
frame00104.jpg 273.68 129.258 644.046 149.248 652.304 419.605 256.972 421.645 
frame00105.jpg 273.202 128.982 643.364 148.084 652.882 418.637 257.9 421.597 
frame00106.jpg 272.901 129.827 641.616 147.706 652.343 418.003 257.922 422.539 
frame00107.jpg 272.665 129.416 641.058 146.674 652.573 416.356 258.278 422.864 
frame00108.jpg 272.815 130.007 639.749 145.578 652.868 414.874 258.186 424.466 
frame00109.jpg 271.463 129.908 639.193 144.243 652.764 413.038 259.794 424.622 
frame00110.jpg 270.825 130.274 638.322 144.019 652.135 412.244 260.883 425.526 
frame00111.jpg 271.756 132.019 639.378 145.069 652.973 413.686 262.772 427.462 
frame00112.jpg 274.08 133.14 640.414 146.079 653.317 414.98 264.744 428.726 
frame00113.jpg 276.252 134.907 642.448 147.674 653.977 416.846 265.633 429.679 
frame00114.jpg 278.224 135.057 644.7 148.465 654.807 417.523 266.668 429.14 
frame00115.jpg 278.587 133.72 647.083 148.394 655.609 417.59 267.084 428.418 
frame00116.jpg 280.528 132.803 650.605 148.372 657.256 417.743 268.916 427.502 
frame00117.jpg 282.041 132.858 651.29 149.577 657.783 418.158 268.013 427.662 
frame00118.jpg 283.939 132.763 656.712 148.335 659.575 418.675 270.264 427.289 
frame00119.jpg 284.829 132.515 660.382 147.676 661.108 418.973 270.812 426.847 
frame00120.jpg 285.646 130.818 663.532 147.417 662.26 418.096 271.596 425.728 
frame00121.jpg 287.226 130.981 666.167 147.16 664.831 417.547 272.921 423.935 
frame00122.jpg 288.755 131.928 670.763 147.468 666.909 418.483 274.575 423.816 
frame00123.jpg 288.607 130.853 673.207 147.154 666.796 418.72 273.602 422.374 
frame00124.jpg 289.939 130.005 676.665 147.719 668.243 418.933 274.495 421.627 
frame00125.jpg 289.193 129.185 678.633 147.318 668.436 418.348 275.058 419.566 
frame00126.jpg 289.199 128.778 679.86 146.302 668.378 416.871 275.425 418.156 
frame00127.jpg 288.794 129.045 681.387 144.363 669.169 415.008 276.692 417.534 
frame00128.jpg 289.729 129.447 684.01 141.671 670.13 412.329 278.608 415.985 
frame00129.jpg 288.684 128.41 685.256 139.974 670.369 409.9 279.14 414.999 
frame00130.jpg 289.248 127.91 686.408 138.905 670.828 407.945 279.999 413.569 
frame00131.jpg 289.679 128.078 688.091 137.508 672.196 406.131 281.366 412.839 
frame00132.jpg 289.592 128.798 688.324 137 672.564 404.536 282.494 412.531 
frame00133.jpg 289.87 128.631 689.768 135.75 673.589 402.692 283.777 411.148 
frame00134.jpg 289.571 129.106 690.382 135.72 674.13 400.85 284.521 410.163 
frame00135.jpg 289.113 130.963 690.511 135.693 673.933 399.893 284.614 411.013 
frame00136.jpg 288.488 131.863 691.074 134.885 673.781 398.041 285.77 410.306 
frame00137.jpg 287.712 133.617 691.464 134.591 674.334 396.214 286.672 410.388 
frame00138.jpg 287.608 136.411 691.584 134.221 675.053 394.467 288.021 411.053 
frame00139.jpg 286.411 139.417 691.334 133.564 675.867 392.668 289.147 412.33 
frame00140.jpg 285.287 142.208 690.669 130.619 677.276 390.485 291.025 413.12 
frame00141.jpg 286.823 143.88 691.448 126.604 680.726 386.322 293.746 413.817 
frame00142.jpg 280.835 147.87 686.2 122.658 680.22 383.104 294.204 417.37 
frame00143.jpg 276.601 149.126 687.372 116.742 682.019 378.011 299.172 419.402 
frame00144.jpg 273.081 151.578 683.719 111.876 682.937 372.786 302.609 421.38 
frame00145.jpg 270.363 156.438 682.584 109.164 685.492 368.742 305.598 425.734 
frame00146.jpg 269.503 162.056 680.253 105.011 687.545 364.981 308.576 429.875 
frame00147.jpg 269.516 165.847 678.831 101.179 690.39 360.674 311.603 432.569 
frame00148.jpg 268.089 170.531 675.101 97.2114 692.63 356.103 315.38 435.779 
frame00149.jpg 267.709 175.064 669.173 96.306 695.301 352.331 319.047 440.099 
frame00150.jpg 266.831 180.001 669.927 92.0588 697.016 348.732 324.801 442.46 
frame00151.jpg 266.195 185.185 665.173 88.9462 699.02 343.927 329.231 446.161 
frame00152.jpg 267.681 191.342 662.895 86.086 701.694 340.076 334.675 450.175 
frame00153.jpg 267.007 196.578 659.624 84.5477 701.717 335.777 338.905 454.004 
frame00154.jpg 267.54 202.224 660.743 83.4254 703.865 334.262 344.129 458.301 
frame00155.jpg 267.834 207.295 656.939 81.7021 705.113 332.208 347.693 461.454 
frame00156.jpg 270.717 212.724 656.111 83.0889 708.177 331.526 352.303 466.12 
frame00157.jpg 272.855 218.632 656.012 83.3855 709.264 331.599 355.87 470.433 
frame00158.jpg 274.449 223.607 655.534 84.4508 709.704 331.24 359.668 473.893 
frame00159.jpg 276.192 229.261 650.906 84.8824 708.132 328.937 363.502 478.733 
frame00160.jpg 278.281 233.859 647.836 83.2033 705.875 325.564 368.285 481.068 
frame00161.jpg 280.128 239.934 644.391 80.963 704.974 321.174 372.398 484.447 
frame00162.jpg 279.211 242.638 636.43 78.9107 699.977 314.706 374.798 485.731 
frame00163.jpg 279.897 247.83 629.219 78.2289 696.967 310.374 378.695 489.453 
frame00164.jpg 281.491 251.538 622.369 76.3235 693.399 305.616 383.465 492.936 
frame00165.jpg 279.692 253.666 612.662 71.7588 688.546 297.88 385.901 491.602 
frame00166.jpg 282.132 259.217 611.035 69.4838 688.367 295.043 390.769 493.955 
frame00167.jpg 282.016 263.704 603.52 68.7212 686.15 290.362 394.607 496.457 
frame00168.jpg 281.819 268.673 600.234 65.6695 684.661 286.62 399.125 498.516 
frame00169.jpg 282.216 272.122 596.862 64.1034 684.46 281.879 404.495 499.341 
frame00170.jpg 284.546 278.635 594.698 61.9171 686.279 278.465 410.322 501.812 
frame00171.jpg 287.03 283.428 592.119 59.0708 687.006 272.308 415.122 502.07 
frame00172.jpg 288.125 288.828 589.376 56.5857 685.943 267.37 419.077 502.993 
frame00173.jpg 290.355 294.867 585.385 55.0132 687.261 262.41 423.653 504.133 
frame00174.jpg 291.134 301.972 583.605 56.0887 688.426 261.075 428.175 508.354 
frame00175.jpg 291.573 305.969 582.128 52.962 689.502 257.226 431.237 509.049 
frame00176.jpg 289.831 311.539 578.102 53.38 691.156 254.589 432.585 510.152 
frame00177.jpg 287.993 315.722 576.381 54.542 692.731 253.97 434.474 511.819 
frame00178.jpg 288.428 317.612 575.962 54.4022 693.808 252.567 436.333 512.793 
frame00179.jpg 287.777 320.61 574.207 55.9695 694.171 251.262 437.77 513.762 
frame00180.jpg 289.634 324.537 572.473 57.2605 692.913 250.629 439.735 515.414 
frame00181.jpg 292.337 328.138 570.758 57.379 690.828 248.472 441.73 516.458 
frame00182.jpg 292.81 332.294 569.2 57.172 687.02 247.596 443.829 518.081 
frame00183.jpg 292.298 334.999 561.028 56.1027 681.327 243.556 445.092 518.148 
frame00184.jpg 295.036 338.431 554.177 56.814 676.61 239.571 448.599 518.695 
