frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 234.94 217.09 584.42 179.74 630.28 460.79 280.8 498.2 
frame00002.jpg 235.803 217.399 585.469 180.751 631.124 462.352 280.571 498.857 
frame00003.jpg 238.938 213.004 590.94 179.962 629.625 463.813 278.922 495.052 
frame00004.jpg 247.02 211.726 598.158 182.689 632.335 471.494 278.808 496.6 
frame00005.jpg 255.494 209.615 605.635 183.465 634.553 478.748 278.919 495.485 
frame00006.jpg 261.865 203.212 614.798 182.03 634.833 484.071 279.067 492.763 
frame00007.jpg 266.667 199.968 621.73 182.391 633.751 488.377 278.629 491.197 
frame00008.jpg 267.034 197.005 625.132 183.461 631.589 493.35 275.898 490.747 
frame00009.jpg 264.611 189.315 624.059 177.122 628.192 485.947 270.72 482.46 
frame00010.jpg 263.833 178.781 624.623 167.013 628.934 470.575 267.408 468.166 
frame00011.jpg 265.562 170.144 627.769 155.919 634.468 453.364 270.935 454.93 
frame00012.jpg 267.905 164.854 630.167 147.789 643.42 436.712 276.201 444.816 
frame00013.jpg 267.155 168.25 628.695 148.215 646.51 433.034 277.494 445.243 
frame00014.jpg 267.63 170.644 628.059 149.377 648.501 431.52 278.387 446.003 
frame00015.jpg 267.033 176.295 626.624 151.282 653.223 429.084 281.844 449.731 
frame00016.jpg 269.464 183.567 626.243 149.361 661.849 421.821 291.723 452.634 
frame00017.jpg 272.688 189.308 627.213 150.58 671.953 416.382 300.302 453.483 
frame00018.jpg 274.139 194.215 626.712 152.47 676.694 414.806 304.93 455.408 
frame00019.jpg 271.722 203.902 622.617 156.56 680.207 412.464 309.291 460.831 
frame00020.jpg 267.149 212.823 616.635 158.408 684.033 409.353 313.095 465.472 
frame00021.jpg 261.447 219.665 608.167 158.538 687.034 402.4 312.822 466.128 
frame00022.jpg 256.891 221.863 599.408 155.829 688.48 393.425 311.611 464.155 
frame00023.jpg 247.728 225.055 589.883 153.508 682.528 379.964 307.488 459.104 
frame00024.jpg 243.102 227.619 583.09 152.055 679.267 372.019 305.204 456.707 
