frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 210 163 516 163 516 451 210 451 
frame00002.jpg 209.61 161.745 515.373 162.401 515.344 450.767 209.16 449.984 
frame00003.jpg 210.521 160.027 516.858 161.021 516.504 448.896 210.178 448.531 
frame00004.jpg 213.813 155.777 520.819 156.15 520.258 443.167 214.977 444.008 
frame00005.jpg 220.173 149.168 527.785 147.391 527.306 434.755 222.402 436.956 
frame00006.jpg 225.759 142.509 533.65 140.326 533.503 428.475 227.747 430.733 
frame00007.jpg 227.217 140.169 535.563 138.247 535.325 426.94 229.342 428.823 
frame00008.jpg 227.667 139.212 536.153 137.341 536.032 425.94 229.762 427.995 
frame00009.jpg 225.867 142.707 534.449 140.323 534.472 429.2 228.02 432.991 
frame00010.jpg 221.951 149.694 530.219 145.402 531.379 434.669 224.526 440.153 
frame00011.jpg 218.437 154.951 526.403 149.197 528.843 437.827 221.718 445.594 
frame00012.jpg 218.4 157.082 526.602 150.657 528.745 437.611 223.013 446.396 
frame00013.jpg 218.582 154.271 525.839 147.599 528.118 433.517 223.299 442.931 
frame00014.jpg 218.476 150.825 523.716 143.862 526.587 429.243 222.649 440.195 
frame00015.jpg 218.718 145.989 522.718 138.97 526.004 424.15 222.151 435.61 
frame00016.jpg 218.985 146.688 521.462 139.045 525.828 423.666 222.19 435.681 
frame00017.jpg 218.998 147.367 521.161 139.543 525.933 423.763 222.204 436.171 
frame00018.jpg 219.306 149.03 520.898 141.315 525.786 425.037 222.09 437.111 
frame00019.jpg 220.227 150.254 522.079 143.295 526.403 426.765 223.492 438.67 
frame00020.jpg 222.701 152.077 524.113 144.871 529.046 428.929 225.782 440.978 
frame00021.jpg 224.972 154.208 525.787 145.895 530.722 429.862 229.004 441.884 
frame00022.jpg 226.781 155.816 527.933 147.055 532.561 431.484 231.447 443.753 
frame00023.jpg 228.595 158.218 528.657 148.177 535.199 432.112 233.254 444.677 
frame00024.jpg 230.161 159.581 530.057 148.858 536.66 432.276 235.035 445.033 
frame00025.jpg 231.303 160.619 530.404 149.777 536.568 432.766 235.739 445.794 
frame00026.jpg 231.036 160.835 529.912 150.806 535.795 433.551 235.073 446.142 
frame00027.jpg 231.174 159.795 530.041 150.256 535.494 432.592 234.847 444.442 
frame00028.jpg 231.742 157.697 529.959 149.602 534.502 432.445 234.642 442.154 
frame00029.jpg 232.119 155.804 530.771 148.902 533.709 431.844 234.395 439.286 
frame00030.jpg 233.199 152.765 532.22 147.271 533.857 430.137 234.039 435.594 
frame00031.jpg 233.968 149.334 532.474 146.409 534.188 428.909 233.238 432.565 
frame00032.jpg 235.622 145.691 533.106 144.151 534.121 426.475 233.826 428.084 
frame00033.jpg 237.64 143.465 534.027 143.147 534.741 425.339 234.408 425.625 
frame00034.jpg 240.682 140.445 536.137 140.416 537.077 423.787 236.763 422.114 
frame00035.jpg 242.459 140.169 537.465 139.487 539.08 423.177 238.639 421.528 
frame00036.jpg 243.399 141.118 538.177 139.462 540.521 423.072 240.08 422.163 
frame00037.jpg 243.106 141.447 538.417 138.789 540.399 422.171 241.155 422.335 
frame00038.jpg 243.431 142.492 538.4 139.003 540.717 422.58 241.988 423.543 
frame00039.jpg 243.267 143.623 538.471 139.969 540.585 423.612 242.525 425.413 
frame00040.jpg 244.021 145.771 538.964 141.823 542.102 424.687 243.204 427.545 
frame00041.jpg 244.402 146.505 539.54 142.414 542.947 424.92 243.876 428.698 
frame00042.jpg 245.322 146.911 540.222 142.632 543.887 424.753 245.08 429.207 
frame00043.jpg 245.248 145.937 540.899 141.472 544.198 423.064 245.948 428.314 
frame00044.jpg 245.822 145.781 541.705 139.884 544.987 421.706 246.169 427.742 
frame00045.jpg 245.007 145.481 541.202 140.779 543.582 422.962 245.226 427.352 
frame00046.jpg 246.042 145.75 542.246 142.789 543.59 425.328 244.655 426.241 
frame00047.jpg 248.555 145.156 545.432 145.259 543.966 428.417 246.167 425.027 
frame00048.jpg 251.227 145.743 547.311 147.789 545.161 430.499 247.465 424.706 
frame00049.jpg 251.031 145.986 546.564 148.537 543.835 430.093 247.282 425.642 
frame00050.jpg 248.952 147.557 543.159 148.126 542.492 428.378 245.879 426.979 
frame00051.jpg 246.423 150.539 538.797 147.207 540.549 427.179 244.64 429.221 
frame00052.jpg 242.324 156.465 533.827 149.97 538.929 430.217 242.202 436.365 
frame00053.jpg 238.278 159.569 528.895 150.184 536.079 429.959 239.363 440.875 
frame00054.jpg 234.167 163.927 525.167 152.398 532.964 432.306 236.034 445.481 
frame00055.jpg 230.842 167.16 522.61 154.98 530.165 434.45 233.078 448.805 
frame00056.jpg 227.828 168.002 521.119 156.255 528.048 435.317 230.411 449.566 
frame00057.jpg 226.118 168.986 520.078 158.365 526.626 436.323 228.762 450.435 
frame00058.jpg 225.592 167.647 520.073 158.159 525.734 435.89 227.782 448.672 
frame00059.jpg 224.591 164.905 519.709 158.228 524.675 435.753 226.146 446.601 
frame00060.jpg 225.753 162.135 520.837 156.838 524.604 435.082 225.949 443.104 
frame00061.jpg 225.26 159.511 521.212 155.672 523.325 434.181 224.819 440.861 
frame00062.jpg 224.886 156.845 521.433 154.816 522.411 433.043 224.165 437.152 
frame00063.jpg 224.125 154.657 521.152 153.461 521.198 432.077 223.45 434.584 
frame00064.jpg 222.465 152.682 519.411 152.649 519.432 430.702 221.395 433.281 
frame00065.jpg 221.246 150.371 517.262 151.345 516.847 429.429 219.397 431.891 
frame00066.jpg 220.727 148.727 515.617 150.665 515.632 428.689 217.776 430.389 
frame00067.jpg 220.177 147.334 514.546 149.377 514.35 427.58 217.396 428.34 
frame00068.jpg 219.09 146.541 513.763 149.096 513.376 426.981 216.765 426.988 
frame00069.jpg 219.531 145.555 513.207 148.322 512.924 426.443 216.959 426.114 
frame00070.jpg 219.985 144.479 513.672 147.902 513.154 426.273 217.338 424.843 
frame00071.jpg 220.751 144.491 513.855 148.346 513.471 426.454 217.366 424.578 
frame00072.jpg 221.448 143.736 514.464 147.796 514.002 426.123 217.559 422.902 
frame00073.jpg 222.112 143.218 514.762 148.344 514.32 426.058 217.476 422.639 
frame00074.jpg 222.924 142.283 515.406 147.761 514.487 425.7 217.777 422.456 
frame00075.jpg 223.459 142.27 515.767 148.917 514.456 426.375 218.369 422.421 
frame00076.jpg 223.849 141.733 516.486 149.109 514.661 426.537 218.402 421.458 
frame00077.jpg 223.966 141.531 516.82 149.349 514.515 426.907 218.424 421.466 
frame00078.jpg 223.872 141.05 516.871 149.795 514.049 427.46 218.263 421.348 
frame00079.jpg 224.371 142.21 516.576 151.158 513.912 429.526 218.142 422.824 
frame00080.jpg 223.886 143.36 516.089 152.217 513.259 429.699 217.655 423.368 
frame00081.jpg 223.494 144.416 516.164 153.121 512.713 430.227 217.357 424.495 
frame00082.jpg 223.306 145.302 515.801 153.861 512.213 431.178 217.034 425.302 
frame00083.jpg 223.152 146.499 514.819 154.752 511.624 432.033 216.321 426.164 
frame00084.jpg 221.943 147.268 513.997 155.301 510.703 432.592 215.689 427.331 
frame00085.jpg 221.999 148.279 513.592 155.706 510.515 433.182 215.627 427.462 
frame00086.jpg 221.23 148.623 513.237 155.329 510.148 433.096 215.673 427.046 
frame00087.jpg 220.754 148.95 512.763 155.205 510 433.046 215.188 427.609 
frame00088.jpg 219.804 148.997 512.413 154.854 509.67 432.571 214.613 427.663 
frame00089.jpg 219.929 149.563 512.624 155.079 509.665 432.637 214.287 427.912 
frame00090.jpg 219.351 149.62 512.286 154.889 509.371 432.626 214.2 427.853 
frame00091.jpg 218.722 149.177 512.006 154.553 509.434 432.299 214.044 427.946 
frame00092.jpg 218.478 149.299 512.185 155.056 509.609 432.907 214.086 428.1 
frame00093.jpg 218.211 149.574 511.578 155.62 509.538 433.445 213.734 429.16 
