frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 291 150.03 564.06 149.94 564.06 444.06 291.03 443.95 
frame00002.jpg 291.428 150.267 564.415 150.06 564.15 443.548 292.03 444.014 
frame00003.jpg 292.331 149.159 565.528 149.476 564.841 443.033 292.458 443.076 
frame00004.jpg 291.695 148.538 564.229 149.299 564.362 443.221 291.177 442.887 
frame00005.jpg 290.649 148.776 563.59 149.495 563.043 442.99 289.915 442.783 
frame00006.jpg 290.204 149.479 563.481 149.162 563.026 443.934 289.502 442.592 
frame00007.jpg 290.845 149.844 563.381 149.768 563.671 444.224 291.073 443.247 
frame00008.jpg 291.895 150.491 564.348 150.386 564.81 444.425 291.77 443.769 
frame00009.jpg 291.876 151.301 564.052 151.122 564.336 445.421 290.968 444.193 
frame00010.jpg 290.611 152.65 563.721 151.475 564.303 446.016 290.351 444.888 
frame00011.jpg 291.272 152.074 563.629 151.137 564.793 445.834 290.777 444.559 
frame00012.jpg 291.488 151.417 563.72 151.149 565.186 444.613 291.076 443.647 
frame00013.jpg 291.472 151.359 563.934 151.482 564.432 444.534 290.653 443.938 
frame00014.jpg 291.188 150.477 564.526 150.972 564.087 443.982 291 442.646 
frame00015.jpg 292.201 151.732 565.138 151.49 564.792 444.882 292.003 443.951 
frame00016.jpg 292.172 151.894 565.303 151.204 565.341 445.487 291.759 444.365 
frame00017.jpg 291.392 151.639 565.366 150.123 564.65 444.97 291.129 443.542 
frame00018.jpg 292.323 152.25 565.463 152.385 564.608 446.987 290.796 445.287 
frame00019.jpg 294.712 151.967 567.496 152.164 566.4 446.726 292.767 443.773 
frame00020.jpg 298.053 151.152 571.041 151.629 568.518 446.593 295.747 442.888 
frame00021.jpg 299.185 150.769 571.71 151.211 569.905 447.374 296.164 441.338 
frame00022.jpg 299.599 150.931 571.851 151.107 568.975 447.252 295.723 441.114 
frame00023.jpg 299.081 151.829 571.39 152.02 567.866 449.095 295.435 441.445 
frame00024.jpg 298.47 152.335 572.12 152.327 567.036 449.57 295.093 440.647 
frame00025.jpg 298.936 152.385 572.16 152.343 567.631 449.402 295.012 440.306 
frame00026.jpg 300.23 151.795 573.015 153.224 568.888 450.382 295.58 439.754 
frame00027.jpg 300.052 150.168 573.974 153.325 568.495 451.528 294.738 438.858 
frame00028.jpg 301.632 147.139 575.31 151.896 568.856 450.842 295.63 436.525 
frame00029.jpg 301.349 144.403 576.372 149.688 568.14 450.238 294.611 433.36 
frame00030.jpg 302.048 141.332 577.997 148.849 568.513 450.08 294.709 431.218 
frame00031.jpg 301.188 139.875 577.448 146.681 567.753 449.479 292.683 429.206 
frame00032.jpg 301.618 138.887 578.9 145.612 568.628 449.792 292.267 428.233 
frame00033.jpg 301.655 136.889 580.261 145.479 568.209 450.436 291.174 426.287 
frame00034.jpg 301.794 135.781 581.91 145.012 568.83 451.56 291.795 425.956 
frame00035.jpg 301.382 132.775 582.37 143.277 567.173 451.224 290.989 423.395 
frame00036.jpg 302.671 129.419 584.279 142.662 567.319 450.25 291.669 420.24 
frame00037.jpg 302.834 129.274 585.114 141.227 567.443 450.622 291.245 419.576 
frame00038.jpg 302.398 124.975 584.496 139.025 565.962 449.937 290.144 417.297 
frame00039.jpg 302.357 123.192 584.033 136.206 565.791 450.211 289.937 416.144 
frame00040.jpg 304.835 121.507 585.871 134.756 568.198 451.034 291.13 413.954 
frame00041.jpg 306.849 121.331 590.189 133.546 569.375 450.999 293.452 413.875 
frame00042.jpg 308.321 122.105 590.169 133.318 570.992 453.102 295.213 414.342 
frame00043.jpg 310.205 121.941 590.939 133.764 571.456 454.278 296.358 414.797 
frame00044.jpg 310.953 122.442 590.032 134.002 570.601 454.993 295.9 415.685 
frame00045.jpg 310.459 124.256 588.928 134.705 569.863 457.216 296.145 417.504 
frame00046.jpg 310.881 128.838 588.522 136.529 570.197 460.039 296.922 420.459 
frame00047.jpg 311.09 129.79 586.791 137.075 570.124 459.912 296.403 420.972 
frame00048.jpg 311.416 131.574 585.348 136.872 571.142 461.153 297.178 421.578 
frame00049.jpg 311.293 134.84 586.363 135.011 571.047 460.961 298.759 423.38 
frame00050.jpg 310.356 133.936 585.605 131.376 571.899 457.342 300.619 421.473 
frame00051.jpg 312.273 132.333 585.797 129.112 573.774 454.69 301.652 419.861 
frame00052.jpg 311.864 132.059 584.2 125.979 572.687 452.439 301.596 418.169 
frame00053.jpg 311.173 133.712 582.832 122.67 572.76 451.185 303.361 418.175 
frame00054.jpg 310.563 134.888 582.048 118.004 572.493 448.229 304.711 418.174 
frame00055.jpg 311.647 133.702 581.26 116.247 571.148 445.604 304.986 418.761 
frame00056.jpg 307.605 136.673 574.709 113.529 567.684 443.985 302.552 419.286 
frame00057.jpg 306.058 138.376 571.857 114.58 563.859 442.081 301.654 421.822 
frame00058.jpg 304.18 141.083 567.023 112.097 562.623 441.941 301.354 423.192 
