frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 286 180 544 180 544 390 286 390 
frame00002.jpg 287.09 179.893 545.001 179.647 544.892 389.709 286.539 389.42 
frame00003.jpg 288.014 179.471 545.972 178.588 545.713 389.264 287.528 388.157 
frame00004.jpg 288.648 178.099 546.427 178.143 546.099 388.044 288.419 387.033 
frame00005.jpg 287.819 176.758 545.965 177.253 545.28 387.898 286.817 386.486 
frame00006.jpg 284.353 176.304 541.939 176.74 541.241 387.932 282.539 386.231 
frame00007.jpg 282.382 175.78 540.375 176.33 539.373 387.202 280.89 384.978 
frame00008.jpg 282.449 175.829 540.131 176.431 537.815 387.267 280.87 384.911 
frame00009.jpg 282.555 175.118 539.674 176.575 537.657 386.939 280.467 384.155 
frame00010.jpg 283.591 175.307 539.946 176.694 538.134 386.836 281.436 383.987 
frame00011.jpg 282.871 175.142 538.95 177.29 537.545 386.443 281.03 383.674 
frame00012.jpg 283.2 175.427 538.916 177.618 537.828 387.533 281.9 383.832 
frame00013.jpg 282.93 176.642 538.568 178.873 537.572 387.869 281.733 384.344 
frame00014.jpg 282.802 177.542 538.529 179.626 536.519 387.892 281.311 384.759 
frame00015.jpg 282.895 178.227 538.057 180.664 535.554 389.203 281.064 385.467 
frame00016.jpg 282.801 178.908 537.025 181.935 534.904 390.034 280.945 386.049 
frame00017.jpg 282.726 179.439 536.188 183.296 534.44 390.891 280.39 386.577 
frame00018.jpg 282.572 178.75 536.109 183.755 533.422 390.834 280.712 385.09 
frame00019.jpg 282.365 176.044 536.363 182.036 532.312 388.321 280.67 381.698 
frame00020.jpg 283.19 174.082 537.045 180.406 532.364 386.612 281.941 378.809 
frame00021.jpg 286.793 171.874 539.984 178.93 535.751 383.692 284.98 375.596 
frame00022.jpg 291.683 169.333 544.291 176.4 539.507 381.218 289.376 372.471 
frame00023.jpg 295.745 167.203 548.067 174.629 542.911 379.115 293.883 370.281 
frame00024.jpg 300.075 165.24 551.086 172.625 545.738 376.331 297.574 367.94 
frame00025.jpg 304.889 164.302 554.73 171.396 550.156 374.574 301.685 366.449 
frame00026.jpg 307.64 165.958 555.517 173.104 552.302 375.194 304.022 367.774 
frame00027.jpg 306.528 169.836 553.722 176.302 550.036 378.053 303.974 371.238 
frame00028.jpg 304.459 171.909 551.118 177.967 547.434 378.407 303.228 372.533 
frame00029.jpg 303.879 175.35 548.601 181.743 546.244 381.035 301.739 375.348 
frame00030.jpg 304.556 179.765 548.003 185.428 544.883 383.904 302.096 378.593 
frame00031.jpg 304.575 180.571 547.574 185.812 543.501 383.051 303.031 377.768 
frame00032.jpg 305.112 182.42 545.982 187.157 542.199 383.489 302.344 378.422 
frame00033.jpg 303.574 186.78 542.843 192.773 538.245 386.85 300.412 382.152 
frame00034.jpg 302.941 190.938 540.018 197.301 536.439 390.236 299.529 385.785 
frame00035.jpg 302.851 194.387 538.341 200.411 535.177 391.802 298.763 388.411 
frame00036.jpg 304.721 194.412 537.949 200.51 535.225 389.751 300.384 387.412 
frame00037.jpg 306.458 194.601 537.291 199.863 536.667 387.1 302.854 386.496 
frame00038.jpg 309.124 194.65 538.212 197.97 538.151 383.152 306.549 384.939 
frame00039.jpg 312.314 194.598 539.844 196.962 541.333 380.93 310.279 384.124 
frame00040.jpg 316.204 195.388 541.02 196.068 542.351 378.375 314.101 382.825 
frame00041.jpg 317.125 192.935 541.156 194.017 542.42 373.92 316.648 379.762 
frame00042.jpg 322.445 192.171 544.066 192.428 545.834 370.829 321.75 377.326 
frame00043.jpg 327.201 190.438 546.59 190.621 549.019 366.922 327.938 374.244 
frame00044.jpg 334.267 190.586 551.262 189.72 554.194 365.565 334.537 372.138 
frame00045.jpg 339.957 189.686 555.544 189.082 557.277 363.071 340.34 369.84 
frame00046.jpg 344.812 188.517 558.337 188.642 559.9 361.257 345.038 367.454 
frame00047.jpg 347.275 187.486 559.078 188.594 559.934 359.277 346.976 364.764 
frame00048.jpg 348.377 186.739 558.303 188.059 559.338 357.109 348.153 362.053 
frame00049.jpg 349.98 186.093 557.932 188.374 558.363 356.064 348.104 360.856 
frame00050.jpg 351.757 187.468 558.11 190.797 557.789 356.648 350.769 361.129 
frame00051.jpg 349.486 190.336 555.221 194.911 553.702 359.735 348.102 363.856 
frame00052.jpg 349.199 193.319 552.801 198.112 550.707 361.699 348.067 364.557 
frame00053.jpg 348.42 196.641 549.664 201.461 547.366 363.556 346.4 365.5 
frame00054.jpg 348.324 199.204 547 205.08 544.475 365.893 344.766 366.487 
frame00055.jpg 347.202 200.311 543.605 207.022 540.988 366.438 342.797 365.7 
frame00056.jpg 345.026 200.517 540.518 208.066 536.679 365.197 340.796 364.178 
frame00057.jpg 343.118 200.487 536.152 208.17 532.543 363.951 337.493 362.159 
frame00058.jpg 340.986 200.248 532.397 208.458 528.361 362.933 335.683 360.289 
frame00059.jpg 338.415 201.141 528.106 209.722 524.471 362.722 332.531 359.847 
frame00060.jpg 337.305 202.089 524.931 210.346 522.116 362.308 331.403 359.193 
frame00061.jpg 334.93 201.809 521.443 210.569 518.122 360.785 329.045 358.29 
frame00062.jpg 333.637 201.819 519.18 210.248 515.687 359.565 328.623 356.69 
frame00063.jpg 331.838 203.045 515.29 211.223 512.256 359.588 326.995 355.745 
frame00064.jpg 331.132 203.7 512.782 211.424 509.775 358.437 325.719 354.663 
frame00065.jpg 329.613 202.795 509.482 211.124 507.058 356.311 324.438 352.992 
frame00066.jpg 329.803 202.67 508.165 210.488 505.7 354.343 325.481 351.395 
frame00067.jpg 330.043 201.74 506.588 209.667 504.267 351.932 325.011 350.027 
frame00068.jpg 331.434 201.51 506.395 208.303 505.452 349.81 327.87 347.309 
