frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 328.05 215.04 543.04 214.96 543 441 328.03 440.96 
frame00002.jpg 328.849 213.439 543.776 212.693 543.504 438.987 328.968 439.297 
frame00003.jpg 329.527 214.071 544.467 212.432 544.402 439.147 330.124 439.627 
frame00004.jpg 329.685 214.691 543.609 212.535 544.607 439.118 330.037 440.651 
frame00005.jpg 329.228 214.522 543.068 212.384 543.874 438.763 329.899 440.078 
frame00006.jpg 327.709 216.528 541.719 214.334 542.542 440.223 329.026 441.692 
frame00007.jpg 327.223 217.458 540.769 215.29 541.857 441.168 328.418 443.283 
frame00008.jpg 326.747 220.438 541.067 218.048 542.025 443.527 328.837 446.122 
frame00009.jpg 326.877 222.461 540.036 220.082 541.071 445.163 328.263 447.594 
frame00010.jpg 325.488 224.623 537.828 222.171 538.686 446.647 326.91 449.177 
frame00011.jpg 325.448 225.786 536.927 223.811 537.947 446.964 326.592 450.128 
frame00012.jpg 325.589 226.779 535.462 223.544 536.997 446.699 326.201 449.989 
frame00013.jpg 325.251 226.918 534.772 222.835 536.938 444.714 327.02 449.48 
frame00014.jpg 324.326 227.455 534.295 221.588 536.606 443.242 327.394 449.236 
frame00015.jpg 322.496 226.468 531.392 221.541 534.044 440.655 325.939 448.687 
frame00016.jpg 320.338 224.464 528.439 218.899 532.188 436.57 324.306 446.039 
frame00017.jpg 319.486 223.075 527.527 216.107 530.992 433.584 323.75 444.266 
frame00018.jpg 318.62 224.515 525.292 216.634 530.698 434.073 322.759 445.5 
frame00019.jpg 318.299 225.202 525.596 215.97 530.594 433.584 322.971 445.83 
frame00020.jpg 319.065 224.827 525.597 215.05 531.007 432.692 323.935 445.143 
frame00021.jpg 318.834 224.921 526.243 214.911 530.983 432.643 324.802 445.339 
frame00022.jpg 318.609 224.685 525.462 214.763 530.379 432.443 325.028 444.879 
frame00023.jpg 319.564 224.61 526.679 214.09 531.696 431.544 326.557 444.414 
frame00024.jpg 319.926 224.673 527.696 213.649 532.132 430.941 327.749 444.57 
frame00025.jpg 319.885 224.963 526.325 213.725 532.317 430.517 327.688 444.873 
frame00026.jpg 320.409 224.921 526.756 213.039 533.485 428.539 328.519 443.983 
frame00027.jpg 319.895 224.517 526.307 211.337 532.864 426.834 328.301 442.586 
frame00028.jpg 318.865 223.454 524.87 210.466 530.871 425.849 327.422 442.481 
frame00029.jpg 316.833 224.689 522.702 211.662 529.161 426.143 325.663 444.046 
frame00030.jpg 316.031 222.826 521.922 210.203 527.95 423.894 324.766 442.665 
frame00031.jpg 315.919 222.027 520.834 210.026 527.306 422.625 325.216 441.9 
frame00032.jpg 316.135 221.904 519.899 208.62 527.565 420.873 325.526 440.693 
frame00033.jpg 315.989 221.105 519.508 207.389 527.384 419.82 325.655 440.281 
frame00034.jpg 316.116 221.693 519.386 206.189 528.462 418.706 326.678 440.08 
frame00035.jpg 316.357 222.014 520.427 205.983 529.426 418.1 327.769 440.64 
frame00036.jpg 317.157 221.021 521.434 205.502 529.814 417.18 328.905 440.738 
frame00037.jpg 318.449 221.199 522.136 205.002 531.125 416.876 329.965 440.651 
frame00038.jpg 319.561 221.456 523.432 205.012 532.858 416.782 330.929 440.94 
frame00039.jpg 318.303 221.566 522.07 205.082 532.267 416.437 331.096 441.358 
frame00040.jpg 317.801 220.226 521.704 203.905 531.972 414.036 331.237 439.526 
frame00041.jpg 316.954 220.179 520.15 202.557 531.112 412.573 330.685 438.379 
frame00042.jpg 315.312 218.971 518.794 200.345 529.466 410.704 329.214 437.179 
frame00043.jpg 313.296 219.865 517.144 199.609 527.973 409.844 327.739 437.387 
frame00044.jpg 312.624 219.794 516.217 199.244 526.869 408.529 326.816 437.758 
frame00045.jpg 312.238 218.957 515.43 197.19 526.463 406.262 326.87 436.919 
frame00046.jpg 311.387 218.524 514.804 194.595 527.272 404.144 327.458 436.252 
frame00047.jpg 310.781 217.968 514.088 192.457 527.685 402.056 328.01 436.01 
frame00048.jpg 310.325 216.924 514.62 190.183 528.669 400.003 328.84 434.629 
frame00049.jpg 309.991 216.401 514.157 189.153 529.352 397.611 329.427 434.165 
frame00050.jpg 308.594 216.196 512.63 188.623 527.666 396.661 328.395 434.531 
frame00051.jpg 309.5 216.126 513.425 186.486 528.321 395.998 329.182 433.635 
frame00052.jpg 308.123 215.482 511.702 186.348 527.055 394.685 328.224 434.373 
frame00053.jpg 306.823 215.524 510.787 184.214 527.006 392.559 328.559 433.182 
frame00054.jpg 306.293 216.617 510.374 182.865 527.192 391.938 328.629 433.563 
frame00055.jpg 305.01 215.971 508.78 181.32 526.939 389.536 328.716 433.172 
frame00056.jpg 305.265 216.221 509.045 177.945 527.635 386.726 329.987 432.102 
frame00057.jpg 305.192 214.93 508.183 175.307 528.215 384.033 330.468 431.135 
frame00058.jpg 302.985 214.578 506.445 175.844 527.182 382.85 329.791 432.231 
frame00059.jpg 301.565 213.501 505.64 172.452 526.569 379.769 329.544 431.303 
frame00060.jpg 300.932 213.286 504.574 171.262 526.799 377.912 329.176 430.853 
frame00061.jpg 301.216 215.066 503.574 169.851 527.45 376.605 329.273 431.165 
frame00062.jpg 299.229 215.632 502.334 168.652 526.315 375.892 329.164 431.821 
frame00063.jpg 298.946 216.451 501.77 167.146 527.489 374.62 329.866 432.255 
frame00064.jpg 298.542 217.483 501.099 165.798 527.249 374.388 330.251 432.366 
frame00065.jpg 297.703 216.104 500.908 163.373 526.882 371.56 330.526 431.759 
frame00066.jpg 296.865 215.785 500.536 162.282 526.986 369.907 331.502 431.6 
