frame ulx uly urx ury lrx lry llx lly
frame00000.jpg 236.000504 176.001007 462.999786 179.999298 462.000488 405.001801 236.999496 400.997986 
frame00001.jpg 234.985992 174.969162 461.990112 179.004913 460.981903 403.991974 235.999222 400.007996 
frame00002.jpg 235.180786 174.362015 462.396271 178.337662 461.192200 403.202545 236.178619 399.189606 
frame00003.jpg 235.175140 174.430252 462.336670 178.366348 461.255371 403.593323 236.342484 399.435211 
frame00004.jpg 235.154419 174.019333 462.530762 177.962387 461.298950 403.138824 236.261108 399.065582 
frame00005.jpg 235.175400 173.431274 462.678680 177.484924 461.273041 402.602661 236.487732 398.515961 
frame00006.jpg 235.264755 172.964005 462.622620 176.940155 461.357849 402.037476 236.444305 397.894562 
frame00007.jpg 234.776306 172.052414 462.587585 176.229401 461.335388 401.508545 236.220383 397.645081 
frame00008.jpg 234.848236 171.353531 462.751068 175.519730 461.276123 401.155853 236.261108 396.977661 
frame00009.jpg 234.789337 170.673050 462.803894 174.745224 461.390320 400.864532 236.092346 396.696289 
frame00010.jpg 234.551178 170.062088 462.656342 174.448853 461.324585 400.080139 235.820496 396.017700 
frame00011.jpg 233.969391 169.450455 462.877533 173.963394 460.880554 399.650879 235.742996 395.219879 
frame00012.jpg 233.748093 168.963608 462.190643 173.782318 460.463867 399.742432 234.856033 395.451508 
frame00013.jpg 233.079483 168.829376 461.879547 173.576889 460.305878 399.446014 234.576141 394.825134 
frame00014.jpg 232.490280 168.406799 461.245026 173.392410 459.719635 399.506683 233.764862 395.064575 
frame00015.jpg 231.727020 168.336426 460.754761 173.219681 458.955139 399.492737 232.931580 395.064240 
frame00016.jpg 230.607101 168.424530 459.631348 173.617554 458.044037 399.721191 231.672150 395.426331 
frame00017.jpg 229.349472 168.673920 458.521973 173.859314 457.203461 399.958893 230.735764 395.532684 
frame00018.jpg 228.202499 168.965210 457.436340 174.301880 455.817200 400.535461 229.422623 396.117523 
frame00019.jpg 226.978165 169.598648 456.280243 175.097214 454.565857 401.272614 228.105545 396.972870 
frame00020.jpg 225.850647 170.569473 455.212891 176.005569 453.552246 402.416138 226.964310 398.096222 
frame00021.jpg 224.678513 172.149872 454.142700 177.782135 452.359711 403.852936 225.805649 399.744476 
frame00022.jpg 223.245224 173.776505 452.756500 179.740051 451.192261 405.593323 224.129944 401.839722 
frame00023.jpg 221.404556 175.883896 451.348999 182.000610 449.465729 407.722351 222.232330 404.077667 
frame00024.jpg 219.771301 177.454880 449.520020 184.004059 447.885956 410.396088 219.742432 407.055206 
frame00025.jpg 217.733841 180.699600 447.407562 187.437546 445.982147 412.960297 217.731750 409.505310 
frame00026.jpg 215.259720 182.618561 445.439972 189.561096 443.664276 415.660889 214.881805 412.408051 
frame00027.jpg 212.254486 184.340927 443.274414 191.923203 441.325989 417.496033 212.125320 414.756470 
frame00028.jpg 209.249039 186.686340 440.894409 194.036850 438.823700 420.116791 208.924622 417.440643 
frame00029.jpg 205.635529 189.524887 438.269226 197.162735 435.958099 424.318329 205.181992 421.213257 
frame00030.jpg 202.269302 191.439438 435.778778 199.408600 432.835602 427.282593 200.747681 424.674927 
frame00031.jpg 197.473740 193.474762 432.426758 201.870682 429.669586 430.273163 196.759338 427.331055 
frame00032.jpg 193.469208 195.658524 429.087219 204.518158 426.835846 433.611420 192.545486 430.818024 
frame00033.jpg 189.677216 197.343094 426.159698 206.606445 423.715302 436.468170 188.242126 433.830414 
