frame ulx uly urx ury lrx lry llx lly
frame00000.jpg 286.000000 180.000000 544.000000 180.000000 544.000000 390.000000 286.000000 390.000000 
frame00001.jpg 286.000000 180.000000 544.000000 180.000000 544.000000 390.000000 286.000000 390.000000 
frame00002.jpg 287.000000 179.000000 545.000000 179.000000 545.000000 389.000000 287.000000 389.000000 
frame00003.jpg 285.858185 179.609741 546.177429 178.939209 544.988953 387.951324 287.720367 387.941833 
frame00004.jpg 288.000000 178.000000 546.000000 178.000000 546.000000 388.000000 288.000000 388.000000 
frame00005.jpg 288.181519 177.090118 546.164917 178.112869 545.168640 387.516846 287.114258 386.418213 
frame00006.jpg 284.196869 176.048050 542.124023 177.299057 540.432800 386.777313 283.318695 385.851440 
frame00007.jpg 282.007019 175.123764 539.896118 177.174698 538.460266 386.547791 281.587280 384.932098 
frame00008.jpg 282.946106 176.896393 540.160583 176.831543 538.104065 385.939911 282.149261 385.031097 
frame00009.jpg 282.419037 174.972855 539.237244 177.205582 538.106201 385.793945 281.341339 384.076080 
frame00010.jpg 282.032776 174.734360 539.349915 177.621307 537.870422 386.139740 281.137207 383.597382 
frame00011.jpg 283.109009 174.668045 538.774475 178.300293 537.370972 386.249634 280.995453 383.747437 
frame00012.jpg 282.557617 175.322372 538.806030 178.724365 536.918579 386.558990 281.310883 384.352997 
frame00013.jpg 284.184113 175.526520 538.288818 179.542007 536.704407 387.150757 281.120941 384.602783 
frame00014.jpg 283.125732 177.205429 537.857056 179.786163 536.412659 387.154877 282.078522 384.629761 
frame00015.jpg 282.300476 177.763275 537.756836 180.340759 535.911682 389.061310 282.051392 385.903870 
frame00016.jpg 282.285034 178.647308 537.734375 182.515778 534.883362 389.874237 281.425934 385.627716 
frame00017.jpg 282.666412 178.305923 536.450317 184.354874 533.608215 390.927612 280.028564 385.602600 
frame00018.jpg 282.511719 178.356598 535.690613 185.554596 533.700623 391.496674 279.682983 383.789307 
frame00019.jpg 282.355164 176.337097 535.617065 183.652283 532.687805 388.350983 279.594238 381.987427 
frame00020.jpg 283.660461 174.379532 535.057190 181.323685 531.910217 385.852478 281.253448 378.598206 
frame00021.jpg 286.488922 172.261444 539.191406 180.443924 535.424500 383.397400 285.267548 375.400085 
frame00022.jpg 292.500214 169.313995 543.282837 177.899521 539.250854 381.414490 290.251343 372.138916 
frame00023.jpg 297.082306 167.823318 546.528503 175.461487 543.273254 378.491150 295.083313 369.737671 
frame00024.jpg 300.976044 166.385605 549.728333 173.377243 546.764832 376.146362 299.522858 368.158356 
frame00025.jpg 305.583740 164.499496 553.677734 172.150269 549.826050 373.594574 303.445465 365.387268 
frame00026.jpg 308.554474 167.258698 555.091980 172.726578 551.479614 374.201660 306.695038 367.312103 
frame00027.jpg 308.080841 172.091522 553.481567 176.491135 549.930237 376.431396 306.112854 371.160004 
frame00028.jpg 305.111145 174.546707 550.303833 179.961227 547.611572 376.869781 304.067688 372.305206 
frame00029.jpg 304.778290 177.709396 548.049500 181.250092 545.168823 379.773804 303.556580 375.667480 
frame00030.jpg 305.672943 181.640167 546.241821 186.180923 543.841675 383.110291 303.848297 378.169220 
frame00031.jpg 305.417633 182.554764 545.598511 188.011948 543.535706 381.519226 303.367432 378.450134 
frame00032.jpg 305.499481 183.444794 544.136108 188.790176 541.105591 382.723114 303.954071 378.302032 
frame00033.jpg 304.742981 187.373230 540.932007 194.795334 537.015320 385.731018 302.107880 381.205109 
frame00034.jpg 303.953156 191.323380 538.189453 199.457077 536.807434 389.612000 301.002655 384.049377 
frame00035.jpg 303.628845 195.158356 537.530884 201.015228 533.375610 388.551666 301.401733 386.591797 
frame00036.jpg 305.178375 196.704315 535.853577 200.813797 534.911011 386.908051 305.716614 386.266022 
frame00037.jpg 307.498260 197.222305 535.619751 200.318344 536.515991 383.474213 308.242126 384.767517 
frame00038.jpg 309.207703 195.744110 536.883728 198.317749 537.571472 379.659302 310.572906 384.700562 
frame00039.jpg 313.570068 197.138138 537.199036 196.983093 539.614014 377.240631 314.104431 383.428009 
