frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 259.0011 136.0052 514.0032 138.9954 525.9937 488.0133 245.0006 485.9914
frame00002.jpg 258.9924 135.9529 514.0689 138.8590 526.0261 488.1684 245.0148 486.1375
frame00003.jpg 259.0634 135.8086 514.0639 138.7489 525.9826 488.1527 244.9711 486.4806
frame00004.jpg 259.1622 135.7080 514.1758 138.5403 526.0783 488.4850 245.0130 486.8219
frame00005.jpg 259.3717 135.7401 514.3643 138.3254 526.0858 488.5315 245.1038 487.4349
frame00006.jpg 259.7994 135.7270 514.5726 138.0887 526.3358 489.1494 245.2091 488.3868
frame00007.jpg 260.1836 135.9478 514.9385 138.0454 526.4796 489.2520 246.0000 486.0000
frame00008.jpg 260.7561 135.9802 515.3178 138.2001 526.7002 489.4956 246.0000 487.0000
frame00009.jpg 261.4412 135.8633 515.6350 138.3392 526.8202 489.8171 246.0000 485.0000
frame00010.jpg 262.0653 135.4225 515.9672 138.4592 526.9945 490.2309 247.0000 485.0000
frame00011.jpg 262.6249 135.1329 516.4182 138.3346 527.3075 490.3856 248.0000 486.0000
frame00012.jpg 263.2020 135.1739 516.8466 138.3672 527.8301 490.2134 249.0000 485.0000
frame00013.jpg 263.6456 135.1538 517.4045 138.2291 528.5739 490.1914 249.0000 487.0000
frame00014.jpg 264.1206 135.2976 517.8791 138.3967 528.8470 490.3326 249.0000 485.0000
frame00015.jpg 264.5217 135.2519 518.2469 138.5090 529.2221 490.6240 250.0000 486.0000
frame00016.jpg 264.9219 135.4641 518.5888 138.6604 529.5499 490.5811 251.0000 485.0000
frame00017.jpg 265.2427 135.4892 518.8716 138.7816 529.8319 490.5487 251.0000 485.0000
frame00018.jpg 265.5047 135.4264 519.1448 138.8336 530.1144 490.4167 251.0000 486.0000
frame00019.jpg 265.6553 135.1044 519.3957 138.6185 530.3339 490.2730 251.0000 485.0000
frame00020.jpg 265.7904 135.0094 519.6570 138.4557 530.6680 490.0545 251.0000 486.0000
frame00021.jpg 265.8929 135.1391 520.0045 138.2096 531.0096 489.8350 252.0000 487.0000
frame00022.jpg 265.9978 135.5308 520.2265 138.2772 531.3811 489.4915 251.0000 486.0000
frame00023.jpg 266.0760 135.5850 520.3216 138.2563 531.6644 488.9768 251.6870 486.6322
frame00024.jpg 266.0833 135.8350 520.3554 138.3679 531.9066 488.1943 251.7824 485.6108
frame00025.jpg 265.9002 135.8370 520.2541 138.7205 531.8431 486.9760 252.0000 485.0000
frame00026.jpg 265.6204 135.6934 520.1338 139.0713 531.7797 485.8440 252.0000 486.0000
frame00027.jpg 265.1238 135.2170 519.5943 139.6705 531.0908 484.4551 251.0000 484.0000
frame00028.jpg 264.7280 134.9387 519.1667 139.7044 530.0000 487.0000 251.0000 484.0000
frame00029.jpg 264.0952 134.6439 518.5471 139.7585 529.0000 487.0000 250.0000 485.0000
frame00030.jpg 263.5991 134.5866 518.0502 139.6074 528.0000 488.0000 249.0000 484.0000
frame00031.jpg 263.0000 134.2738 517.3860 139.6211 528.0000 487.0000 249.0000 484.0000
frame00032.jpg 262.4985 134.0381 516.8078 139.4261 527.0000 485.0000 248.0000 483.0000
frame00033.jpg 261.9371 133.6843 516.2838 139.1480 526.0000 487.0000 247.0000 483.0000
frame00034.jpg 261.4753 133.3761 515.8488 138.7786 526.0000 488.0000 247.0000 483.0000
frame00035.jpg 260.9702 133.1212 515.4731 138.4684 526.0000 486.0000 246.0000 483.0000
frame00036.jpg 260.4329 132.5935 515.0300 138.3270 525.0000 487.0000 246.0000 482.0000
frame00037.jpg 260.0434 132.5331 514.6972 138.0567 524.0000 486.0000 245.0000 481.0000
frame00038.jpg 259.5719 132.2469 514.2581 138.0147 525.0000 486.0000 245.0000 482.0000
frame00039.jpg 259.1591 132.1920 513.8977 137.9252 524.0000 486.0000 245.0000 481.0000
frame00040.jpg 258.8054 132.1852 513.4985 137.8345 524.0000 485.0000 245.0000 480.0000
frame00041.jpg 258.5554 132.1816 513.0908 137.6867 523.0000 485.0000 245.0000 481.0000
frame00042.jpg 258.1497 131.9901 512.8018 137.6852 523.0000 486.0000 244.0000 481.0000
frame00043.jpg 257.8835 132.0126 512.5344 137.4945 522.0000 485.0000 244.0000 480.0000
frame00044.jpg 257.5941 131.7836 512.2342 137.2577 522.0000 485.0000 243.0000 480.0000
frame00045.jpg 257.2517 131.6061 511.9218 137.1075 523.0000 484.0000 243.0000 481.0000
frame00046.jpg 257.0003 131.4070 511.6618 136.6832 522.7429 481.4532 242.5594 478.2523
frame00047.jpg 256.7253 131.2386 511.4738 136.4944 522.4171 481.2277 242.3976 478.1444
frame00048.jpg 256.6092 131.0925 511.3117 136.1884 522.2837 481.2631 242.2768 477.9091
frame00049.jpg 256.4949 130.6732 511.2054 135.5542 522.1883 481.5148 242.2059 478.0055
frame00050.jpg 256.4553 130.2374 511.1012 135.0861 522.0962 481.6576 242.0639 478.2893
frame00051.jpg 256.4357 129.8833 511.1418 134.5275 522.1129 481.9477 242.0112 478.4412
frame00052.jpg 256.4284 129.7248 511.2046 134.1471 522.1198 482.0820 241.9550 478.7521
frame00053.jpg 256.3844 129.4795 511.1372 134.1029 522.0777 482.0551 241.8324 478.9262
frame00054.jpg 256.3713 129.5315 511.1627 133.9571 522.0757 481.7507 241.8204 478.8414
frame00055.jpg 256.3388 129.5513 511.0971 133.9541 522.0336 481.3966 241.8158 478.5226
frame00056.jpg 256.2105 129.2951 511.0792 133.8531 521.9289 480.8119 241.8036 477.8150
